
Average loss: 9.1648 | Effect accuracy: 0.5292 | Outcome accuracy: 0.0077 | Avg accuracy: 0.2684
Average loss: 1.1195 | Effect accuracy: 0.8978 | Outcome accuracy: 0.6873 | Avg accuracy: 0.7925
Average loss: 1.1077 | Effect accuracy: 0.8970 | Outcome accuracy: 0.6882 | Avg accuracy: 0.7926
Average loss: 1.0932 | Effect accuracy: 0.9022 | Outcome accuracy: 0.6882 | Avg accuracy: 0.7952
Average loss: 1.0812 | Effect accuracy: 0.9023 | Outcome accuracy: 0.6853 | Avg accuracy: 0.7938
Average loss: 1.0770 | Effect accuracy: 0.8976 | Outcome accuracy: 0.6876 | Avg accuracy: 0.7926
Average loss: 1.0593 | Effect accuracy: 0.8987 | Outcome accuracy: 0.6880 | Avg accuracy: 0.7933
Average loss: 1.0546 | Effect accuracy: 0.9009 | Outcome accuracy: 0.6876 | Avg accuracy: 0.7943
Average loss: 1.0469 | Effect accuracy: 0.9005 | Outcome accuracy: 0.6909 | Avg accuracy: 0.7957
Average loss: 1.0337 | Effect accuracy: 0.9007 | Outcome accuracy: 0.6911 | Avg accuracy: 0.7959
Average loss: 1.0309 | Effect accuracy: 0.9016 | Outcome accuracy: 0.6907 | Avg accuracy: 0.7962
Average loss: 1.0253 | Effect accuracy: 0.9016 | Outcome accuracy: 0.6891 | Avg accuracy: 0.7954
Average loss: 1.0207 | Effect accuracy: 0.9038 | Outcome accuracy: 0.6902 | Avg accuracy: 0.7970
Average loss: 1.0143 | Effect accuracy: 0.8985 | Outcome accuracy: 0.6896 | Avg accuracy: 0.7941
Average loss: 1.0004 | Effect accuracy: 0.9042 | Outcome accuracy: 0.6933 | Avg accuracy: 0.7987
Average loss: 1.0036 | Effect accuracy: 0.9040 | Outcome accuracy: 0.6917 | Avg accuracy: 0.7978
Average loss: 0.9924 | Effect accuracy: 0.9044 | Outcome accuracy: 0.6898 | Avg accuracy: 0.7971
Average loss: 0.9903 | Effect accuracy: 0.9022 | Outcome accuracy: 0.6913 | Avg accuracy: 0.7967
Average loss: 0.9885 | Effect accuracy: 0.9009 | Outcome accuracy: 0.6875 | Avg accuracy: 0.7942
Average loss: 0.9859 | Effect accuracy: 0.9007 | Outcome accuracy: 0.6860 | Avg accuracy: 0.7933
Average loss: 0.9786 | Effect accuracy: 0.9027 | Outcome accuracy: 0.6900 | Avg accuracy: 0.7964
Average loss: 0.9771 | Effect accuracy: 0.9014 | Outcome accuracy: 0.6862 | Avg accuracy: 0.7938
Average loss: 0.9709 | Effect accuracy: 0.9003 | Outcome accuracy: 0.6913 | Avg accuracy: 0.7958
Average loss: 0.9652 | Effect accuracy: 0.9047 | Outcome accuracy: 0.6898 | Avg accuracy: 0.7973
Average loss: 0.9663 | Effect accuracy: 0.9009 | Outcome accuracy: 0.6928 | Avg accuracy: 0.7968
Average loss: 0.9644 | Effect accuracy: 0.9018 | Outcome accuracy: 0.6906 | Avg accuracy: 0.7962
Average loss: 0.9569 | Effect accuracy: 0.9025 | Outcome accuracy: 0.6915 | Avg accuracy: 0.7970
Average loss: 0.9536 | Effect accuracy: 0.9051 | Outcome accuracy: 0.6920 | Avg accuracy: 0.7986
Average loss: 0.9599 | Effect accuracy: 0.9031 | Outcome accuracy: 0.6867 | Avg accuracy: 0.7949
Average loss: 0.9509 | Effect accuracy: 0.9009 | Outcome accuracy: 0.6895 | Avg accuracy: 0.7952
Average loss: 0.9461 | Effect accuracy: 0.9011 | Outcome accuracy: 0.6887 | Avg accuracy: 0.7949
Average loss: 0.9457 | Effect accuracy: 0.9018 | Outcome accuracy: 0.6918 | Avg accuracy: 0.7968
Average loss: 0.9432 | Effect accuracy: 0.9016 | Outcome accuracy: 0.6880 | Avg accuracy: 0.7948
Average loss: 0.9383 | Effect accuracy: 0.9011 | Outcome accuracy: 0.6915 | Avg accuracy: 0.7963
Average loss: 0.9335 | Effect accuracy: 0.9033 | Outcome accuracy: 0.6911 | Avg accuracy: 0.7972
Average loss: 0.9403 | Effect accuracy: 0.9053 | Outcome accuracy: 0.6920 | Avg accuracy: 0.7986
Average loss: 0.9359 | Effect accuracy: 0.9009 | Outcome accuracy: 0.6887 | Avg accuracy: 0.7948
Average loss: 0.9326 | Effect accuracy: 0.9014 | Outcome accuracy: 0.6926 | Avg accuracy: 0.7970
Average loss: 0.9265 | Effect accuracy: 0.9069 | Outcome accuracy: 0.6902 | Avg accuracy: 0.7986
Average loss: 0.9283 | Effect accuracy: 0.9044 | Outcome accuracy: 0.6871 | Avg accuracy: 0.7957
Average loss: 0.9259 | Effect accuracy: 0.9011 | Outcome accuracy: 0.6887 | Avg accuracy: 0.7949
Average loss: 0.9254 | Effect accuracy: 0.9022 | Outcome accuracy: 0.6878 | Avg accuracy: 0.7950
Average loss: 0.9225 | Effect accuracy: 0.9020 | Outcome accuracy: 0.6869 | Avg accuracy: 0.7944
Average loss: 0.9274 | Effect accuracy: 0.9065 | Outcome accuracy: 0.6834 | Avg accuracy: 0.7950
Average loss: 0.9221 | Effect accuracy: 0.9011 | Outcome accuracy: 0.6926 | Avg accuracy: 0.7968
Average loss: 0.9193 | Effect accuracy: 0.9031 | Outcome accuracy: 0.6865 | Avg accuracy: 0.7948
Average loss: 0.9154 | Effect accuracy: 0.9031 | Outcome accuracy: 0.6931 | Avg accuracy: 0.7981
Average loss: 0.9205 | Effect accuracy: 0.9049 | Outcome accuracy: 0.6849 | Avg accuracy: 0.7949
Average loss: 0.9177 | Effect accuracy: 0.9016 | Outcome accuracy: 0.6928 | Avg accuracy: 0.7972
Average loss: 0.9151 | Effect accuracy: 0.9009 | Outcome accuracy: 0.6878 | Avg accuracy: 0.7943
Average loss: 0.9121 | Effect accuracy: 0.9005 | Outcome accuracy: 0.6907 | Avg accuracy: 0.7956
Average loss: 0.9132 | Effect accuracy: 0.9022 | Outcome accuracy: 0.6926 | Avg accuracy: 0.7974
Average loss: 0.9127 | Effect accuracy: 0.9007 | Outcome accuracy: 0.6913 | Avg accuracy: 0.7960
Average loss: 0.9083 | Effect accuracy: 0.9058 | Outcome accuracy: 0.6884 | Avg accuracy: 0.7971
Average loss: 0.9039 | Effect accuracy: 0.9054 | Outcome accuracy: 0.6928 | Avg accuracy: 0.7991
Average loss: 0.9088 | Effect accuracy: 0.9001 | Outcome accuracy: 0.6913 | Avg accuracy: 0.7957
Average loss: 0.9035 | Effect accuracy: 0.9042 | Outcome accuracy: 0.6864 | Avg accuracy: 0.7953
Average loss: 8.8539 | Effect accuracy: 0.5688 | Outcome accuracy: 0.0082 | Avg accuracy: 0.2885
Average loss: 7.5226 | Effect accuracy: 0.6128 | Outcome accuracy: 0.0188 | Avg accuracy: 0.3158
Average loss: 8.8855 | Effect accuracy: 0.5561 | Outcome accuracy: 0.0102 | Avg accuracy: 0.2832
Average loss: 7.5309 | Effect accuracy: 0.6074 | Outcome accuracy: 0.0208 | Avg accuracy: 0.3141
Average loss: 7.2150 | Effect accuracy: 0.6456 | Outcome accuracy: 0.0375 | Avg accuracy: 0.3415
Average loss: 6.9637 | Effect accuracy: 0.6545 | Outcome accuracy: 0.0554 | Avg accuracy: 0.3550
Average loss: 6.7327 | Effect accuracy: 0.6650 | Outcome accuracy: 0.0761 | Avg accuracy: 0.3705
Average loss: 6.5124 | Effect accuracy: 0.6745 | Outcome accuracy: 0.0975 | Avg accuracy: 0.3860
Average loss: 6.2990 | Effect accuracy: 0.6715 | Outcome accuracy: 0.1110 | Avg accuracy: 0.3913
Average loss: 6.0997 | Effect accuracy: 0.6794 | Outcome accuracy: 0.1222 | Avg accuracy: 0.4008
Average loss: 5.8976 | Effect accuracy: 0.6896 | Outcome accuracy: 0.1324 | Avg accuracy: 0.4110
Average loss: 5.6949 | Effect accuracy: 0.6902 | Outcome accuracy: 0.1439 | Avg accuracy: 0.4171
Average loss: 5.5182 | Effect accuracy: 0.6917 | Outcome accuracy: 0.1575 | Avg accuracy: 0.4246
Average loss: 5.3228 | Effect accuracy: 0.6997 | Outcome accuracy: 0.1800 | Avg accuracy: 0.4398
Average loss: 5.1469 | Effect accuracy: 0.7050 | Outcome accuracy: 0.1853 | Avg accuracy: 0.4451
Average loss: 4.9650 | Effect accuracy: 0.7092 | Outcome accuracy: 0.1986 | Avg accuracy: 0.4539
Average loss: 4.7963 | Effect accuracy: 0.7107 | Outcome accuracy: 0.2169 | Avg accuracy: 0.4638
Average loss: 4.6321 | Effect accuracy: 0.7253 | Outcome accuracy: 0.2257 | Avg accuracy: 0.4755
Average loss: 4.4820 | Effect accuracy: 0.7253 | Outcome accuracy: 0.2462 | Avg accuracy: 0.4857
Average loss: 4.3332 | Effect accuracy: 0.7253 | Outcome accuracy: 0.2560 | Avg accuracy: 0.4907
Average loss: 4.2023 | Effect accuracy: 0.7313 | Outcome accuracy: 0.2782 | Avg accuracy: 0.5048
Average loss: 4.0656 | Effect accuracy: 0.7357 | Outcome accuracy: 0.2941 | Avg accuracy: 0.5149
Average loss: 3.9420 | Effect accuracy: 0.7420 | Outcome accuracy: 0.3105 | Avg accuracy: 0.5262
Average loss: 3.8321 | Effect accuracy: 0.7383 | Outcome accuracy: 0.3232 | Avg accuracy: 0.5307
Average loss: 3.7303 | Effect accuracy: 0.7427 | Outcome accuracy: 0.3332 | Avg accuracy: 0.5379
Average loss: 3.6306 | Effect accuracy: 0.7412 | Outcome accuracy: 0.3488 | Avg accuracy: 0.5450
Average loss: 3.5386 | Effect accuracy: 0.7487 | Outcome accuracy: 0.3661 | Avg accuracy: 0.5574
Average loss: 3.4498 | Effect accuracy: 0.7538 | Outcome accuracy: 0.3740 | Avg accuracy: 0.5639
Average loss: 3.3605 | Effect accuracy: 0.7549 | Outcome accuracy: 0.3921 | Avg accuracy: 0.5735
Average loss: 3.2775 | Effect accuracy: 0.7549 | Outcome accuracy: 0.4007 | Avg accuracy: 0.5778
Average loss: 3.2168 | Effect accuracy: 0.7569 | Outcome accuracy: 0.4119 | Avg accuracy: 0.5844
Average loss: 3.1472 | Effect accuracy: 0.7676 | Outcome accuracy: 0.4153 | Avg accuracy: 0.5914
Average loss: 3.0729 | Effect accuracy: 0.7679 | Outcome accuracy: 0.4250 | Avg accuracy: 0.5965
Average loss: 3.0223 | Effect accuracy: 0.7650 | Outcome accuracy: 0.4283 | Avg accuracy: 0.5967
Average loss: 2.9517 | Effect accuracy: 0.7729 | Outcome accuracy: 0.4400 | Avg accuracy: 0.6064
Average loss: 2.9094 | Effect accuracy: 0.7745 | Outcome accuracy: 0.4415 | Avg accuracy: 0.6080
Average loss: 2.8520 | Effect accuracy: 0.7800 | Outcome accuracy: 0.4548 | Avg accuracy: 0.6174
Average loss: 2.7971 | Effect accuracy: 0.7783 | Outcome accuracy: 0.4614 | Avg accuracy: 0.6199
Average loss: 2.7503 | Effect accuracy: 0.7789 | Outcome accuracy: 0.4755 | Avg accuracy: 0.6272
Average loss: 2.6984 | Effect accuracy: 0.7798 | Outcome accuracy: 0.4766 | Avg accuracy: 0.6282
Average loss: 2.6461 | Effect accuracy: 0.7855 | Outcome accuracy: 0.4856 | Avg accuracy: 0.6355
Average loss: 2.6126 | Effect accuracy: 0.7877 | Outcome accuracy: 0.4903 | Avg accuracy: 0.6390
Average loss: 2.5753 | Effect accuracy: 0.7873 | Outcome accuracy: 0.4945 | Avg accuracy: 0.6409
Average loss: 2.5197 | Effect accuracy: 0.7893 | Outcome accuracy: 0.5062 | Avg accuracy: 0.6478
Average loss: 2.4956 | Effect accuracy: 0.7919 | Outcome accuracy: 0.5080 | Avg accuracy: 0.6500
Average loss: 2.4592 | Effect accuracy: 0.7899 | Outcome accuracy: 0.5212 | Avg accuracy: 0.6555
Average loss: 2.4091 | Effect accuracy: 0.7886 | Outcome accuracy: 0.5225 | Avg accuracy: 0.6555
Average loss: 2.3849 | Effect accuracy: 0.7963 | Outcome accuracy: 0.5272 | Avg accuracy: 0.6618
Average loss: 2.3410 | Effect accuracy: 0.7981 | Outcome accuracy: 0.5296 | Avg accuracy: 0.6639
Average loss: 2.3184 | Effect accuracy: 0.7994 | Outcome accuracy: 0.5382 | Avg accuracy: 0.6688
Average loss: 2.2782 | Effect accuracy: 0.7994 | Outcome accuracy: 0.5443 | Avg accuracy: 0.6718
Average loss: 2.2533 | Effect accuracy: 0.8003 | Outcome accuracy: 0.5463 | Avg accuracy: 0.6733
Average loss: 2.2175 | Effect accuracy: 0.8069 | Outcome accuracy: 0.5527 | Avg accuracy: 0.6798
Average loss: 2.1745 | Effect accuracy: 0.8111 | Outcome accuracy: 0.5512 | Avg accuracy: 0.6811
Average loss: 2.1659 | Effect accuracy: 0.8047 | Outcome accuracy: 0.5600 | Avg accuracy: 0.6823
Average loss: 2.1245 | Effect accuracy: 0.8105 | Outcome accuracy: 0.5677 | Avg accuracy: 0.6891
Average loss: 2.0980 | Effect accuracy: 0.8087 | Outcome accuracy: 0.5702 | Avg accuracy: 0.6895
Average loss: 2.0764 | Effect accuracy: 0.8065 | Outcome accuracy: 0.5722 | Avg accuracy: 0.6894
Average loss: 2.0461 | Effect accuracy: 0.8078 | Outcome accuracy: 0.5827 | Avg accuracy: 0.6952
Average loss: 2.0135 | Effect accuracy: 0.8149 | Outcome accuracy: 0.5808 | Avg accuracy: 0.6979
Average loss: 2.0023 | Effect accuracy: 0.8122 | Outcome accuracy: 0.5900 | Avg accuracy: 0.7011
Average loss: 1.9705 | Effect accuracy: 0.8166 | Outcome accuracy: 0.5986 | Avg accuracy: 0.7076
Average loss: 1.9540 | Effect accuracy: 0.8162 | Outcome accuracy: 0.5940 | Avg accuracy: 0.7051
Average loss: 1.9160 | Effect accuracy: 0.8204 | Outcome accuracy: 0.5962 | Avg accuracy: 0.7083
Average loss: 1.8889 | Effect accuracy: 0.8226 | Outcome accuracy: 0.6020 | Avg accuracy: 0.7123
Average loss: 1.8762 | Effect accuracy: 0.8149 | Outcome accuracy: 0.6037 | Avg accuracy: 0.7093
Average loss: 1.8682 | Effect accuracy: 0.8232 | Outcome accuracy: 0.6063 | Avg accuracy: 0.7147
Average loss: 1.8347 | Effect accuracy: 0.8250 | Outcome accuracy: 0.6161 | Avg accuracy: 0.7206
Average loss: 1.8133 | Effect accuracy: 0.8297 | Outcome accuracy: 0.6189 | Avg accuracy: 0.7243
Average loss: 1.7994 | Effect accuracy: 0.8275 | Outcome accuracy: 0.6116 | Avg accuracy: 0.7196
Average loss: 1.7737 | Effect accuracy: 0.8286 | Outcome accuracy: 0.6244 | Avg accuracy: 0.7265
Average loss: 1.7559 | Effect accuracy: 0.8347 | Outcome accuracy: 0.6273 | Avg accuracy: 0.7310
Average loss: 1.7596 | Effect accuracy: 0.8275 | Outcome accuracy: 0.6251 | Avg accuracy: 0.7263
Average loss: 1.7310 | Effect accuracy: 0.8314 | Outcome accuracy: 0.6277 | Avg accuracy: 0.7295
Average loss: 1.7177 | Effect accuracy: 0.8281 | Outcome accuracy: 0.6302 | Avg accuracy: 0.7292
Average loss: 1.6806 | Effect accuracy: 0.8381 | Outcome accuracy: 0.6362 | Avg accuracy: 0.7372
Average loss: 1.6706 | Effect accuracy: 0.8389 | Outcome accuracy: 0.6348 | Avg accuracy: 0.7368
Average loss: 1.6597 | Effect accuracy: 0.8354 | Outcome accuracy: 0.6370 | Avg accuracy: 0.7362
Average loss: 1.6424 | Effect accuracy: 0.8317 | Outcome accuracy: 0.6324 | Avg accuracy: 0.7321
Average loss: 1.6231 | Effect accuracy: 0.8392 | Outcome accuracy: 0.6469 | Avg accuracy: 0.7431
Average loss: 1.6133 | Effect accuracy: 0.8361 | Outcome accuracy: 0.6507 | Avg accuracy: 0.7434
Average loss: 1.5997 | Effect accuracy: 0.8363 | Outcome accuracy: 0.6534 | Avg accuracy: 0.7449
Average loss: 1.5761 | Effect accuracy: 0.8407 | Outcome accuracy: 0.6542 | Avg accuracy: 0.7474
Average loss: 1.5693 | Effect accuracy: 0.8460 | Outcome accuracy: 0.6531 | Avg accuracy: 0.7495
Average loss: 1.5507 | Effect accuracy: 0.8495 | Outcome accuracy: 0.6527 | Avg accuracy: 0.7511
Average loss: 1.5500 | Effect accuracy: 0.8424 | Outcome accuracy: 0.6554 | Avg accuracy: 0.7489
Average loss: 1.5371 | Effect accuracy: 0.8456 | Outcome accuracy: 0.6551 | Avg accuracy: 0.7504
Average loss: 1.5089 | Effect accuracy: 0.8446 | Outcome accuracy: 0.6609 | Avg accuracy: 0.7527
Average loss: 1.5039 | Effect accuracy: 0.8466 | Outcome accuracy: 0.6662 | Avg accuracy: 0.7564
Average loss: 1.4964 | Effect accuracy: 0.8453 | Outcome accuracy: 0.6551 | Avg accuracy: 0.7502
Average loss: 1.4862 | Effect accuracy: 0.8467 | Outcome accuracy: 0.6609 | Avg accuracy: 0.7538
Average loss: 1.4633 | Effect accuracy: 0.8526 | Outcome accuracy: 0.6662 | Avg accuracy: 0.7594
Average loss: 1.4651 | Effect accuracy: 0.8469 | Outcome accuracy: 0.6666 | Avg accuracy: 0.7568
Average loss: 1.4598 | Effect accuracy: 0.8515 | Outcome accuracy: 0.6723 | Avg accuracy: 0.7619
Average loss: 1.4447 | Effect accuracy: 0.8460 | Outcome accuracy: 0.6708 | Avg accuracy: 0.7584
Average loss: 1.4231 | Effect accuracy: 0.8550 | Outcome accuracy: 0.6774 | Avg accuracy: 0.7662
Average loss: 1.4137 | Effect accuracy: 0.8520 | Outcome accuracy: 0.6768 | Avg accuracy: 0.7644
Average loss: 1.4094 | Effect accuracy: 0.8592 | Outcome accuracy: 0.6743 | Avg accuracy: 0.7667
Average loss: 1.4118 | Effect accuracy: 0.8520 | Outcome accuracy: 0.6748 | Avg accuracy: 0.7634
Average loss: 1.3803 | Effect accuracy: 0.8548 | Outcome accuracy: 0.6840 | Avg accuracy: 0.7694
Average loss: 1.3804 | Effect accuracy: 0.8590 | Outcome accuracy: 0.6776 | Avg accuracy: 0.7683
Average loss: 1.3542 | Effect accuracy: 0.8641 | Outcome accuracy: 0.6790 | Avg accuracy: 0.7716
