PharmGKB Accession Id;Drug;ATC Identifiers;Type;Clin_Var_Pathway
PA451998;ARYLHYDRAZINES;;Drug Class;0:0:0
PA164712513;ARYLOXYACETIC ACID DERIVATIVES;C03CC;Drug Class;0:0:0
PA164712515;ASCORBIC ACID (VITAMIN C), COMBINATIONS;A11GB;Drug Class;0:0:0
PA164712514;ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS;A11G;Drug Class;0:0:0
PA164712516;ASCORBIC ACID (VITAMIN C), PLAIN;A11GA;Drug Class;0:0:0
PA448493;ASPARTAME;;Drug;0:0:0
PA448497;ASPIRIN;A01AD05, B01AC06, N02BA01;Drug;79:314:1
PA166205381;ASTEGOLIMAB;;Drug;0:0:0
PA448498;ASTEMIZOLE;R06AX11;Drug;0:0:0
PA166128168;ASUNAPREVIR;;Drug;0:1:0
PA166200301;AT-001;;Drug;0:0:0
PA166354161;ATABECESTAT;;Drug;0:0:0
PA10251;ATAZANAVIR;J05AE08, J05AR15;Drug;17:95:1
PA166182674;ATAZANAVIR / COBICISTAT;;Drug;0:0:0
PA166182624;ATAZANAVIR / RITONAVIR;J05AR23;Drug;1:12:0
PA166320882;ATOGEPANT;N02CD07;Drug;0:0:1
PA134688071;ATOMOXETINE;N06BA09;Drug;6:40:1
PA448500;ATORVASTATIN;C10AA05;Drug;54:286:1
PA448502;ATOVAQUONE;P01AX06;Drug;0:1:0
PA164776840;ATRACURIUM;M03AC04;Drug;0:0:0
PA166312781;ATRELEUTON;;Drug;0:0:0
PA448505;ATROPINE;A03BA01, S01FA01;Drug;0:0:0
PA164781017;ATTAPULGITE;A07BC04;Drug;0:0:0
PA166341541;ATULIFLAPON;;Drug;0:0:0
PA166307381;AUMOLERTINIB;L01EB11;Drug;0:0:0
PA448510;AURANOFIN;M01CB03;Drug;0:0:0
PA166344302;AVACOPAN;L04AA59, L04AJ05;Drug;0:0:1
PA166182681;AVANAFIL;;Drug;0:0:0
PA166179849;AVATROMBOPAG;B02BX08;Drug;0:8:1
PA166169875;AVELUMAB;L01FF04;Drug;0:5:0
PA164712517;AVERMECTINES;P02CF;Drug Class;0:0:0
PA166324841;AVIBACTAM;;Drug;0:0:0
PA166211861;AXATILIMAB;;Drug;0:0:0
PA451996;AZACITIDINE;L01BC07;Drug;0:6:0
PA166049192;AZAPROPAZONE;;Drug;0:0:0
PA164712518;AZASPIRODECANEDIONE DERIVATIVES;N05BE;Drug Class;0:1:0
PA164747157;AZATADINE;R06AX09;Drug;0:0:0
PA448515;AZATHIOPRINE;L04AX01;Drug;21:210:1
PA164754850;AZELAIC ACID;D10AX03;Drug;0:0:0
PA448517;AZELASTINE;R01AC03, R06AX19, S01GX07;Drug;0:0:0
PA166329921;AZELNIDIPINE;;Drug;0:0:0
PA165958414;AZIDOCILLIN;J01CE04;Drug;0:0:0
PA448519;AZITHROMYCIN;J01FA10, S01AA26;Drug;0:5:1
PA164749135;AZLOCILLIN;J01CA09;Drug;0:0:0
PA448523;AZTREONAM;J01DF01;Drug;0:0:0
PA164745461;BACAMPICILLIN;J01CA06;Drug;0:1:0
PA448531;BACITRACIN;D06AX05, J01XX10, R02AB04;Drug;0:0:0
PA448533;BACLOFEN;M03BX01;Drug;0:0:0
PA164712519;BACTERIAL AND VIRAL VACCINES, COMBINED;J07C, J07CA;Drug Class;0:0:0
PA164712520;BACTERIAL VACCINES;J07A;Drug Class;0:0:0
PA166327081;BALOVAPTAN;;Drug;0:0:0
PA448536;BALSALAZIDE;A07EC04;Drug;0:0:0
PA164743113;BAMBUTEROL;R03CC12;Drug;0:0:0
PA166226401;BAMLANIVIMAB;;Drug;0:0:0
PA166185162;BAMOCAFTOR;;Drug;0:0:0
PA164738432;BARASERTIB;;Drug;0:0:0
PA448538;BARBITAL;N05CA04;Drug;0:0:0
PA164712523;BARBITURATES, COMBINATIONS;N05CB;Drug Class;0:0:0
PA164712522;BARBITURATES IN COMBINATION WITH OTHER DRUGS;N01AG;Drug Class;0:0:0
PA10827;BARBITURATES, PLAIN;N01AF, N03AA, N05CA;Drug Class;6:36:0
PA166197621;BARICITINIB;;Drug;0:0:0
PA448540;BARIUM SULFATE;;Drug;0:0:0
PA164712524;BARIUM SULFATE CONTAINING X-RAY CONTRAST MEDIA;V08BA;Drug Class;0:0:0
PA164747126;BASILIXIMAB;L04AC02;Drug;0:0:0
PA166327502;BAXDROSTAT;;Drug;0:0:0
PA166220606;BAZEDOXIFENE;;Drug;0:0:0
PA166305841;BCR-ABL TYROSINE KINASE INHIBITORS;L01EA;Drug Class;0:0:0
PA166332521;BEBT-109;;Drug;0:0:0
PA164749511;BECAPLERMIN;A01AD08, D03AX06;Drug;0:0:0
PA448547;BECLOMETHASONE;A07EA07, D07AC15, R01AD01, R03BA01;Drug;0:3:0
PA166342921;BECLOMETHASONE DIPROPIONATE;;Prodrug;0:0:0
PA166182604;BEDAQUILINE;;Drug;0:0:0
PA166351681;BEFOTERTINIB;;Drug;0:0:0
PA166334941;BELANTAMAB MAFODOTIN;L01FX15;Drug;0:0:0
PA166114904;BELIMUMAB;L04AA26;Drug;0:1:0
PA165971474;BELINOSTAT;L01XH04;Drug;0:7:1
PA164712526;BELLADONNA ALKALOIDS, SEMISYNTHETIC, QUATERNARY AMMONIUM COMPOUNDS;A03BB;Drug Class;0:0:0
PA164712527;BELLADONNA ALKALOIDS, TERTIARY AMINES;A03BA;Drug Class;0:0:0
PA164712528;BELLADONNA AND DERIVATIVES IN COMBINATION WITH ANALGESICS;A03DB;Drug Class;0:0:0
PA164712529;BELLADONNA AND DERIVATIVES IN COMBINATION WITH PSYCHOLEPTICS;A03CB;Drug Class;0:0:0
PA164712525;BELLADONNA AND DERIVATIVES, PLAIN;A03B;Drug Class;0:0:0
PA166395741;BELUMOSUDIL;L04AA48;Drug;0:0:0
PA166268761;BELZUTIFAN;L01XX74;Drug;0:2:0
PA166208581;BEMNIFOSBUVIR;;Drug;0:0:0
PA166352981;BEMPEDOIC ACID;C10AX15;Drug;0:0:0
PA166353821;BEMPEDOIC ACID / EZETIMIBE;C10BA10;Drug;0:0:0
PA448563;BENDROFLUMETHIAZIDE;C03AA01;Drug;0:0:0
PA166355021;BENMELSTOBART;;Drug;0:0:0
PA166049178;BENOXAPROFEN;M01AE06;Drug;0:0:0
PA165360203;BENSERAZIDE;;Drug;0:0:0
PA164750572;BENTIROMIDE;V04CK03;Drug;0:0:0
PA164748098;BENTOQUATAM;;Drug;0:0:0
PA448571;BENZALDEHYDE;;Drug;0:0:0
PA164712530;BENZAMIDES;N05AL;Drug Class;7:26:0
PA134852920;BENZBROMARONE;M04AB03;Drug;0:2:1
PA451991;BENZENE;;Drug;0:1:0
PA164712531;BENZIMIDAZOLE DERIVATIVES;P02CA;Drug Class;0:0:0
PA166228321;BENZNIDAZOLE;;Drug;0:0:0
PA448576;BENZOCAINE;C05AD03, D04AB04, N01BA05, R02AD01;Drug;0:0:0
PA164712532;BENZODIAZEPINE RELATED DRUGS;N05CF;Drug Class;0:0:0
PA448578;BENZOIC ACID;;Drug;0:0:0
PA164712533;BENZOMORPHAN DERIVATIVES;N02AD;Drug Class;0:0:0
PA164745459;BENZONATATE;R05DB01;Drug;0:0:0
PA164712534;BENZOTHIAZEPINE DERIVATIVES;C08DB;Drug Class;1:13:0
PA166287643;BENZOYLECGONINE;;Drug, Metabolite;0:0:1
PA166182627;BENZOYL PEROXIDE;;Drug;0:0:0
PA448586;BENZPHETAMINE;;Drug;0:0:0
PA164749018;BENZQUINAMIDE;;Drug;0:0:0
PA164776841;BENZTHIAZIDE;;Drug;0:0:0
PA448591;BENZTROPINE;N04AC01;Drug;0:0:0
PA134687812;BENZYDAMINE;A01AD02, G02CC03, M01AX07, M02AA05, R02AX03;Drug;0:0:0
PA448594;BENZYL ALCOHOL;;Drug;0:0:0
PA164748881;BENZYL BENZOATE;P03AX01;Drug;0:0:0
PA164754810;BENZYLPENICILLOYL POLYLYSINE;;Drug;0:0:0
PA164781356;BEPOTASTINE;;Drug;0:0:0
PA164754755;BEPRIDIL;C08EA02;Drug;0:1:0
PA166334921;BERMEKIMAB;L01FX11;Drug;0:0:0
PA166123556;BERYLLIUM;;Drug;0:0:0
PA164712536;BETA BLOCKING AGENTS AND OTHER ANTIHYPERTENSIVES;C07F;Drug Class;0:0:0
PA164712537;BETA BLOCKING AGENTS AND OTHER DIURETICS;C07C;Drug Class;0:0:0
PA164712538;BETA BLOCKING AGENTS AND THIAZIDES;C07B;Drug Class;0:0:0
PA164712539;BETA BLOCKING AGENTS AND VASODILATORS;C07E;Drug Class;0:0:0
PA164712541;BETA BLOCKING AGENTS, NON-SELECTIVE;C07AA;Drug Class;7:32:1
PA164712542;BETA BLOCKING AGENTS, NON-SELECTIVE, AND OTHER ANTIHYPERTENSIVES;C07FA;Drug Class;0:0:0
PA164712543;BETA BLOCKING AGENTS, NON-SELECTIVE, AND OTHER DIURETICS;C07CA;Drug Class;0:0:0
PA164712544;BETA BLOCKING AGENTS, NON-SELECTIVE, AND THIAZIDES;C07BA;Drug Class;0:0:0
PA164712545;BETA BLOCKING AGENTS, NON-SELECTIVE, AND VASODILATORS;C07EA;Drug Class;0:0:0
PA164712546;BETA BLOCKING AGENTS, NON-SELECTIVE, THIAZIDES AND OTHER DIURETICS;C07DA;Drug Class;0:0:0
PA164712548;BETA BLOCKING AGENTS, SELECTIVE, AND OTHER ANTIHYPERTENSIVES;C07FB;Drug Class;0:0:0
PA164712549;BETA BLOCKING AGENTS, SELECTIVE, AND OTHER DIURETICS;C07CB;Drug Class;0:0:0
PA164712550;BETA BLOCKING AGENTS, SELECTIVE, AND THIAZIDES;C07BB;Drug Class;0:0:0
PA164712551;BETA BLOCKING AGENTS, SELECTIVE, AND VASODILATORS;C07EB;Drug Class;0:0:0
PA164712552;BETA BLOCKING AGENTS, SELECTIVE, THIAZIDES AND OTHER DIURETICS;C07DB;Drug Class;0:0:0
PA164712540;BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS;C07D;Drug Class;0:0:0
PA448601;BETA CAROTENE;A11CA02, D02BB01;Drug;0:0:0
PA166320721;BETA-EUDESMOL;;Drug;0:0:0
PA165958372;BETAHISTINE;N07CA01;Drug;0:0:0
PA448603;BETAINE;A16AA06;Drug;0:0:0
PA452154;BETA-LACTAM ANTIBACTERIALS, PENICILLINS;J01C;Drug Class;10:68:0
PA164712554;BETA-LACTAMASE INHIBITORS;J01CG;Drug Class;0:0:0
PA164712555;BETA-LACTAMASE RESISTANT PENICILLINS;J01CF;Drug Class;4:20:0
PA164712556;BETA-LACTAMASE SENSITIVE PENICILLINS;J01CE;Drug Class;2:4:0
PA164754818;BETAMETHASONE;A07EA04, C05AA05, D07AC01, D07XC01, H02AB01, R01AD06, R03BA04, S01BA06, S01CB04, S02BA07, S03BA03;Drug;0:0:0
PA448611;BETAXOLOL;C07AB05, S01ED02;Drug;0:0:0
PA164784036;BETAZOLE;V04CG02;Drug;0:0:0
PA448613;BETHANECHOL;N07AB02;Drug;0:0:0
PA164743235;BETHANIDINE;C02CC01;Drug;0:0:0
PA166342402;BETRIXABAN;B01AF04;Drug;0:0:0
PA164743236;BEVANTOLOL;C07AB06;Drug;0:1:0
PA164752250;BEXAROTENE;L01XX25;Drug;0:0:0
PA162364313;BEZAFIBRATE;C10AB02;Drug;0:4:0
PA164746255;BICALUTAMIDE;L02BB03;Drug;0:0:0
PA166335661;BICTEGRAVIR;;Drug;0:0:0
PA166335681;BICTEGRAVIR / EMTRICITABINE / TENOFOVIR ALAFENAMIDE;J05AR20;Drug;0:0:0
PA164746464;BIFONAZOLE;D01AC10;Drug;0:0:0
PA164712557;BIGUANIDES;A10BA, P01BB;Drug Class;29:144:0
PA164712559;BIGUANIDES AND AMIDINES;D08AC;Drug Class;0:0:0
PA166338421;BILASTINE;R06AX29, S01GX13;Drug;0:0:0
PA448617;BILE ACID PREPARATIONS;A05A, A05AA, C10AC;Drug Class;0:0:0
PA164712560;BILE AND LIVER THERAPY;A05;Drug Class;0:0:0
PA164748867;BIMATOPROST;S01EE03;Drug;0:0:0
PA164712561;BIOFLAVONOIDS;C05CA;Drug Class;0:0:0
PA448625;BIOTIN;A11HA05;Drug;0:0:0
PA448626;BIPERIDEN;N04AA02;Drug;0:0:0
PA164924560;BIRICODAR;;Drug;0:0:0
PA146096021;BISANTRENE;;Drug;0:3:0
PA164712562;BISMUTH PREPARATIONS;A07BB;Drug Class;0:0:0
PA164774805;BISMUTH SUBSALICYLATE;;Drug;0:0:0
PA166184057;BISOPROLOL FUMARATE / PERINDOPRIL ARGININE;C09BX02;Drug;0:0:0
PA164712564;BISPHOSPHONATES, COMBINATIONS;M05BB;Drug Class;0:0:0
PA164712565;BISQUATERNARY AMMONIUM COMPOUNDS;C02BC;Drug Class;0:0:0
PA10032;BIVALIRUDIN;B01AE06;Drug;0:0:0
PA166319041;BLONANSERIN;;Drug;0:3:0
PA164712566;BLOOD AND BLOOD FORMING ORGANS;B;Drug Class;283:2922:0
PA164712567;BLOOD AND RELATED PRODUCTS;B05A;Drug Class;0:0:0
PA164712570;BLOOD COAGULATION FACTORS;B02BD;Drug Class;0:0:0
PA164712568;BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS;A10B;Drug Class;75:508:0
PA164712569;BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05;Drug Class;1:5:0
PA164712571;BLOOD SUBSTITUTES AND PLASMA PROTEIN FRACTIONS;B05AA;Drug Class;0:0:0
PA164712572;BLOOD TESTS, AUXILIARY PRODUCTS;V07AD;Drug Class;0:0:0
PA164712573;BLOOD TRANSFUSION, AUXILIARY PRODUCTS;V07AC;Drug Class;0:0:0
PA166122526;BNP-32;;Drug;0:0:0
PA164712574;BONE MORPHOGENETIC PROTEINS;M05BC;Drug Class;0:0:0
PA165958425;BOPINDOLOL;C07AA17;Drug;0:0:0
PA164712575;BORIC ACID PRODUCTS;D08AD;Drug Class;0:0:0
PA10034;BOSENTAN;C02KX01;Drug;0:13:0
PA164747061;BOTULINUM TOXIN TYPE B;;Drug;0:0:0
PA166305861;B-RAF SERINE-THREONINE KINASE (BRAF) INHIBITORS;L01EC;Drug Class;0:5:0
PA166415721;BRENSOCATIB;;Drug;0:0:0
PA165948903;BRENTUXIMAB VEDOTIN;L01FX05;Drug;0:0:0
PA448662;BRETYLIUM;;Drug;0:0:0
PA166160053;BREXPIPRAZOLE;N05AX16;Drug;0:6:1
PA448665;BRIMONIDINE;D11AX21, S01EA05;Drug;0:0:1
PA166324482;BRINCIDOFOVIR;J05AB17;Drug;0:1:0
PA164744929;BRINZOLAMIDE;S01EC04;Drug;0:0:0
PA164924492;BRIVANIB;;Drug;0:0:1
PA166184058;BRIVUDINE;;Drug;0:0:0
PA166411581;BRODALUMAB;L04AC12;Drug;0:0:0
PA10035;BROMAZEPAM;N05BA08;Drug;0:0:1
PA448670;BROMFENAC;S01BC11;Drug;0:0:0
PA448671;BROMOCRIPTINE;G02CB01, N04BC01;Drug;0:0:0
PA164760854;BROMODIPHENHYDRAMINE;R06AA01;Drug;0:0:0
PA448675;BROMPHENIRAMINE;R06AB01;Drug;0:0:0
PA166119001;BROSTALLICIN;;Drug;0:1:0
PA166175777;BROTIZOLAM;;Drug;0:0:0
PA164712576;BRUCELLOSIS VACCINES;J07AD;Drug Class;0:0:0
PA166305921;BRUTON'S TYROSINE KINASE (BTK) INHIBITORS;L01EL;Drug Class;0:6:0
PA166123566;BUCILLAMINE;;Drug;0:2:0
PA164748223;BUCLIZINE;R06AE01;Drug;0:0:0
PA166300481;BULEVIRTIDE;J05AX28;Drug;0:0:0
PA164712577;BULK PRODUCERS;A06AC;Drug Class;0:0:0
PA135057240;BUPIVACAINE;N01BB01;Drug;0:0:0
PA165958426;BUPRANOLOL;C07AA19;Drug;0:0:0
PA448687;BUPROPION;N06AX12;Drug;34:112:1
PA10253;BUSERELIN;;Drug;0:0:0
PA448689;BUSPIRONE;N05BE01;Drug;0:1:0
PA164743463;BUTABARBITAL;;Drug;0:0:0
PA448695;BUTALBITAL;;Drug;0:0:0
PA164745478;BUTENAFINE;D01AE23;Drug;0:0:0
PA164748035;BUTETHAL;N05CA03;Drug;0:0:0
PA164781353;BUTOCONAZOLE;G01AF15;Drug;0:0:0
PA448704;BUTYLATED HYDROXYTOLUENE;;Drug;0:0:0
PA164712578;BUTYLPYRAZOLIDINES;M01AA;Drug Class;0:1:0
PA164712579;BUTYROPHENONE DERIVATIVES;N05AD;Drug Class;11:58:0
PA165958401;CABAZITAXEL;L01CD04;Drug;0:11:0
PA448708;CABERGOLINE;G02CB03, N04BC06;Drug;0:0:0
PA166251361;CABOTEGRAVIR;J05AJ04;Drug;0:0:0
PA165906891;CABOZANTINIB;L01EX07;Drug;0:3:1
PA164745614;CALCIDIOL;A11CC06;Drug, Metabolite, Biological Intermediate;0:0:0
PA164712580;CALCINEURIN INHIBITORS;L04AD;Drug Class;108:1258:0
PA448714;CALCIPOTRIOL;D05AX02;Drug;0:0:0
PA164712581;CALCITONIN PREPARATIONS;H05BA;Drug Class;0:0:0
PA448717;CALCITRIOL;A11CC04, D05AX03;Drug, Metabolite, Biological Intermediate;0:4:0
PA164746897;CALCIUM ACETATE;;Drug;0:0:0
PA448726;CALCIUM CARBONATE;;Drug;0:0:0
PA164712584;CALCIUM CHANNEL BLOCKERS AND DIURETICS;C08G, C08GA;Drug Class;0:0:0
PA448729;CALCIUM CHLORIDE;A12AA07, B05XA07, G04BA03;Drug;0:0:0
PA164712588;CALCIUM, COMBINATIONS WITH OTHER DRUGS;A12AX;Drug Class;0:0:0
PA164712587;CALCIUM COMPOUNDS;A02AC;Drug Class;0:0:0
PA164746233;CALCIUM GLUCEPTATE;A12AA10;Drug;0:0:0
PA448735;CALCIUM GLUCONATE;;Drug;0:0:0
PA164712585;CALCIUM HOMEOSTASIS;H05;Drug Class;0:1:0
PA448744;CALCIUM PANTOTHENATE;;Drug;0:0:0
PA10373;CALCIUM PHOSPHATE;;Drug;0:0:0
PA166197181;CAMOSTAT MESILATE;;Drug;0:0:0
PA153590860;CAMPTOTHECIN;;Drug;0:0:0
PA166362702;CAMRELIZUMAB;;Drug;0:0:0
PA166368021;CANAGLIFLOZIN;A10BK02;Drug;0:0:0
PA165958358;CANAKINUMAB;;Drug;0:7:0
PA166182234;CANDESARTAN CILEXETIL;;Prodrug;0:0:1
PA164754911;CANDICIDIN;G01AA04;Drug;0:0:0
PA164764517;CANDOXATRIL;;Drug;0:0:0
PA134687925;CANERTINIB;;Drug;0:0:0
PA131889722;CANFOSFAMIDE;;Drug;0:0:0
PA166175791;CANNABIDIOL;;Drug;0:5:1
PA164712589;CAPILLARY STABILIZING AGENTS;C05C;Drug Class;0:0:0
PA164746226;CAPREOMYCIN;J04AB30;Drug;0:0:0
PA164745489;CAPROMAB;;Drug;0:0:0
PA448776;CAPSAICIN;M02AB01, N01BX04;Drug;0:0:0
PA164712590;CAPSAICIN AND SIMILAR AGENTS;M02AB;Drug Class;0:0:0
PA448784;CARBACHOL;N07AB01, S01EB02;Drug;0:0:0
PA164712591;CARBAMATES;N05BC;Drug Class;0:0:0
PA164712592;CARBAMIC ACID ESTERS;M03BA;Drug Class;1:2:0
PA164712593;CARBAMIDE PRODUCTS;D02AE;Drug Class;0:0:0
PA164712594;CARBAPENEMS;J01DH;Drug Class;0:0:0
PA166184059;CARBASALATE CALCIUM;;Drug;0:0:0
PA448788;CARBENICILLIN;J01CA03;Drug;0:0:0
PA164743086;CARBETOCIN;H01BB03;Drug;0:0:0
PA448794;CARBIDOPA;;Drug;0:0:1
PA164746898;CARBINOXAMINE;R06AA08;Drug;0:0:0
PA448797;CARBOHYDRATES;V06DC;Drug Class;0:0:0
PA164712595;CARBOHYDRATES/PROTEINS/MINERALS/VITAMINS, COMBINATIONS;V06DA;Drug Class;0:0:0
PA448801;CARBON DIOXIDE;;Drug;0:0:0
PA10410;CARBONIC ANHYDRASE INHIBITORS;S01EC;Drug Class;3:15:0
PA164754883;CARBOPROST TROMETHAMINE;G02AD04;Drug;0:0:0
PA164712596;CARBOXAMIDE DERIVATIVES;N03AF;Drug Class;72:431:0
PA164712597;CARDIAC GLYCOSIDES;C01A;Drug Class;7:39:0
PA164712598;CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES;C01C;Drug Class;5:20:0
PA164712599;CARDIAC THERAPY;C01;Drug Class;42:222:0
PA164712600;CARDIOVASCULAR SYSTEM;C, V09G;Drug Class;559:2133:0
PA166346661;CARFENTANIL;;Drug;0:0:0
PA166165203;CARFILZOMIB;;Drug;0:4:0
PA165958402;CARGLUMIC ACID;A16AA05;Drug;0:0:0
PA164712602;CARIES PROPHYLACTIC AGENTS;A01AA;Drug Class;0:0:0
PA448810;CARMUSTINE;L01AD01;Drug;0:0:0
PA164750571;CARPHENAZINE;;Drug;0:0:0
PA164781361;CARPROFEN;;Drug;0:0:0
PA448814;CARRAGEENAN;;Drug;0:0:0
PA164768736;CARTEOLOL;C07AA15, S01ED05;Drug;0:0:0
PA166255843;CASIRIVIMAB;;Drug;0:0:0
PA166255844;CASIRIVIMAB / IMDEVIMAB;J06BD07;Drug;0:0:0
PA166129533;CASOPITANT;;Drug;0:1:0
PA164743013;CASPOFUNGIN;J02AX04;Drug;0:0:0
PA448827;CASTOR OIL;;Drug;0:0:0
PA452605;CATIONIC XENOBIOTICS;;Drug Class;0:0:0
PA166334861;CATUMAXOMAB;L01FX03;Drug;0:0:0
PA166305962;CD20 (CLUSTERS OF DIFFERENTIATION 20) INHIBITORS;L01FA;Drug Class;10:37:0
PA166305963;CD22 (CLUSTERS OF DIFFERENTIATION 22) INHIBITORS;L01FB;Drug Class;0:0:0
PA166305981;CD38 (CLUSTERS OF DIFFERENTIATION 38) INHIBITORS;L01FC;Drug Class;0:0:0
PA166325661;CEDIROGANT;;Drug;0:0:0
PA164776752;CEFACETRILE;J01DB10;Drug;0:0:0
PA164749137;CEFACLOR;J01DC04;Drug;0:5:0
PA448835;CEFADROXIL;J01DB05;Drug;0:0:0
PA448886;CEFALOTIN;J01DB03;Drug;0:0:0
PA448837;CEFAMANDOLE;J01DC03;Drug;0:0:0
PA448839;CEFAZOLIN;J01DB04;Drug;0:0:0
PA164768739;CEFDINIR;J01DD15;Drug;0:0:0
PA164747187;CEFDITOREN;J01DD16;Drug;0:0:0
PA164754876;CEFEPIME;J01DE01;Drug;0:0:0
PA166351301;CEFIDEROCOL;J01DI04;Drug;0:0:0
PA164768821;CEFIXIME;J01DD08;Drug;0:0:0
PA164750569;CEFMENOXIME;J01DD05;Drug;0:0:0
PA164746819;CEFMETAZOLE;J01DC09;Drug;0:0:0
PA164743021;CEFONICID;J01DC06;Drug;0:0:0
PA448849;CEFOPERAZONE;J01DD12;Drug;0:0:0
PA164746057;CEFORANIDE;J01DC11;Drug;0:0:0
PA164784033;CEFOTETAN;J01DC05;Drug;0:0:0
PA164749298;CEFOTIAM;J01DC07;Drug;0:0:0
PA448856;CEFOXITIN;J01DC01;Drug;0:0:0
PA164748136;CEFPIRAMIDE;J01DD11;Drug;0:0:0
PA164746385;CEFPODOXIME;J01DD13;Drug;0:0:0
PA164746342;CEFPROZIL;J01DC10;Drug;0:0:0
PA448890;CEFRADINE;J01DB09;Drug;0:0:0
PA448861;CEFTAZIDIME;J01DD02;Drug;0:0:0
PA166324821;CEFTAZIDIME-AVIBACTAM;;Drug;0:0:0
PA164744555;CEFTIBUTEN;J01DD14;Drug;0:0:0
PA164748758;CEFTIZOXIME;J01DD07;Drug;0:0:0
PA448868;CEFUROXIME;J01DC02, S01AA27;Drug;0:0:0
PA448871;CELECOXIB;L01XX33, M01AH01;Drug;6:44:2
PA164924561;CELIPROLOL;C07AB08;Drug;0:4:0
PA448873;CELLULOSE;;Drug;0:0:0
PA166220421;CENICRIVIROC;;Drug;0:0:0
PA164712604;CENTRALLY ACTING ANTIOBESITY PRODUCTS;A08AA;Drug Class;1:2:0
PA164712605;CENTRALLY ACTING SYMPATHOMIMETICS;N06BA;Drug Class;82:289:0
PA164712603;CENTRAL NERVOUS SYSTEM;V09A;Drug Class;0:0:0
PA164781027;CEPHALOGLYCIN;;Drug;0:0:0
PA164749340;CEPHAPIRIN;J01DB08;Drug;0:0:0
PA166220607;CEPHARANTHINE;;Drug;0:0:0
PA166169879;CERLIPONASE ALFA;A16AB17;Drug;0:0:0
PA164764551;CERULENIN;;Drug;0:0:0
PA164774919;CERULETIDE;V04CC04;Drug;0:0:0
PA448905;CETIRIZINE;R06AE07;Drug;0:0:0
PA164764506;CETRORELIX;H01CC02;Drug;0:0:0
PA164754754;CEVIMELINE;N07AX03;Drug;0:0:0
PA448918;CHARCOAL PREPARATIONS;A07BA;Drug Class;0:0:0
PA164712606;CHEMICALS AND REAGENTS FOR ANALYSIS;V07AZ;Drug Class;0:0:0
PA164712607;CHEMOTHERAPEUTICS FOR TOPICAL USE;D06B;Drug Class;2:8:0
PA165958403;CHENODEOXYCHOLIC ACID;A05AA01;Drug;0:0:0
PA166359802;CHIGLITAZAR;;Drug;0:0:0
PA164748134;CHLOPHEDIANOL;R05DB10;Drug;0:0:0
PA448925;CHLORAL HYDRATE;N05CC01;Drug;0:0:0
PA448932;CHLORDIAZEPOXIDE;N05BA02;Drug;0:0:0
PA164776863;CHLORHEXIDINE;A01AB03, B05CA02, D08AC02, D09AA12, R02AA05, S01AX09, S02AA09, S03AA04;Drug;0:0:0
PA164712608;CHLORINE CONTAINING PRODUCTS;P03AB;Drug Class;0:0:0
PA164748977;CHLORMERODRIN;;Drug;0:0:0
PA448939;CHLORMEZANONE;M03BB02;Drug;0:0:0
PA448942;CHLOROPHYLL;;Drug;0:0:0
PA448946;CHLOROPROCAINE;N01BA04;Drug;0:0:0
PA165958419;CHLOROPYRAMINE;D04AA09, R06AC03;Drug;0:0:0
PA164768822;CHLOROTRIANISENE;G03CA06;Drug;0:0:0
PA164754879;CHLOROXINE;;Drug;0:0:0
PA164784022;CHLORPHENESIN;D01AE07;Drug;0:0:0
PA448960;CHLORPHENIRAMINE;R06AB04;Drug;0:0:0
PA166228322;CHLORPROGUANIL / DAPSONE;;Drug;0:0:0
PA448966;CHLORPROPAMIDE;A10BB02;Drug;0:0:0
PA164781400;CHLORPROTHIXENE;N05AF03;Drug;0:0:0
PA448971;CHLORZOXAZONE;M03BB03;Drug;0:0:0
PA164748138;CHOLECALCIFEROL;A11CC05;Drug, Biological Intermediate;0:0:0
PA164712609;CHOLERA VACCINES;J07AE;Drug Class;0:0:0
PA448974;CHOLESTYRAMINE;C10AC01;Drug;0:0:0
PA166160055;CHOLIC ACID;A05AA03;Drug;0:0:0
PA448976;CHOLINE;;Drug;0:0:0
PA164712610;CHOLINE DERIVATIVES;M03AB;Drug Class;58:88:0
PA164712611;CHOLINE ESTERS;N07AB;Drug Class;0:0:0
PA166182865;CHOP;;Drug;0:0:0
PA164783947;CHORIOGONADOTROPIN ALFA;G03GA08;Drug;0:0:0
PA448989;CHROMIUM;;Drug;0:0:0
PA448994;CHYMOTRYPSIN;;Drug;0:0:0
PA164712612;CICATRIZANTS;D03A;Drug Class;0:0:0
PA164781399;CICLESONIDE;R01AD13, R03BA08;Drug;0:0:0
PA164747060;CICLOPIROX;D01AE14, G01AX12;Drug;0:0:0
PA448998;CILASTATIN;;Drug;0:0:0
PA164748302;CILAZAPRIL;C09AA08;Drug;0:0:0
PA164924491;CILENGITIDE;;Drug;0:0:1
PA165948031;CILOMILAST;;Drug;0:0:0
PA449001;CIMETIDINE;A02BA01;Drug;0:1:0
PA164776671;CINACALCET;H05BX01;Drug;0:1:0
PA164743057;CINALUKAST;;Drug;0:0:0
PA165958427;CINITAPRIDE;;Drug;0:0:0
