FLUORURO SODICO;SODIUM FLUORIDE
ALISKIREN + AMLODIPINO + HIDROCLOROTIAZIDA; ALISKIREN + AMLODIPINE + HYDROCHLOROTHIAZIDE
SIMVASTATINA; SIMVASTATIN
LOVASTATINA; LOVASTATIN
PRAVASTATINA; Pravastatin
FLUVASTATINA; FLUVASTATIN
ATORVASTATINA; ATORVASTATIN
CERIVASTATINA; CERIVASTATIN
ROSUVASTATINA; ROSUVASTATIN
PITAVASTATINA; PITAVASTATIN
INHIBIDORES DE LA HMG-COA REDUCTASA (MODIFICADORES LIPIDOS) NE; HMG-COA REDUCTASE INHIBITORS (LIPID MODIFIERS) NE
CLOFIBRATO; CLOFIBRATE
BEZAFIBRATO; BEZAFIBRATE
CLOFIBRATO ALUMINIO; ALUMINUM CLOFIBRATE
GEMFIBROZILO; GEMFIBROZIL
FENOFIBRATO; Fenofibrate
ETOFIBRATO; ETOFIBRATE
CLOFIBRIDA; CLOFIBRIDE
FENOFIBRATO DE COLINA; CHOLINE FENOFIBRATE
CLOFIBRATO EN ASOCIACION; CLOFIBRATE IN ASSOCIATION
CLOFIBRATO ALUMINIO EN ASOCIACION; ALUMINUM CLOFIBRATE IN ASSOCIATION
BINIFIBRATO; BINIFIBRATE
PLAFIBRIDA; PLAFIBRIDE
PIRIFIBRATO; PYRIFIBRATE
CLOFIBRATO+PIRICARBATO; CLOFIBRATE+PYRICARBATE
TOCOFIBRATO; Tocofibrate
CLOFIBRATO ALUMINIO+PIRICARBATO; ALUMINUM CLOFIBRATE+PYRICARBATE
NICOFIBRATO; Nicofibrate
COLESTIRAMINA; Cholestyramine
COLESTIPOL; COLESTIPOL
COLEXTRAN; COLEXTRAN
COLEVESELAM; COLEVESELAM
NICERITROL; NICERITROL
PIRIDILCARBINOL (NICOTINIL ALCOHOL);PYRIDILCARBINOL (NICOTINYL ALCOHOL)
ACIPIMOX; ACIPIMOX
NICOTINICO ACIDO EN ASOCIACION; NICOTINIC ACID IN ASSOCIATION
NICOTINATO DE TOCOFEROL; TOCOPHEROL NICOTINATE
NICOTINATO TOCOFEROL EN ASOCIACION; Nicotinate and Tocopherol in Association
PIRICARBATO; PYRICARBATE
PIRICARBATO EN ASOCIACION; PYRICARBATE IN ASSOCIATION
PIROZADILO; PYROZADIL
NICOCLONATO; NICOTINAMIDE
NICOTINICO ACIDO+PENTOSANOPOLISULFURICO; NICOTINIC ACID+PENTOSANOPOLYSULFURIC ACID
NICOTINATO XANTINOL+MUCOPOLISACARIDO; NICOTINATE XANTHINOL+MUCOPOLYSACCHARIDE
PROBUCOL; PROBUCOL
TIADENOL; TIADENOL
TRIGLICERIDOS OMEGA-3, INCL. OTROS ESTERES Y ACIDOS; OMEGA-3 TRIGLYCERIDES, INCLUDING OTHER ESTERS AND ACIDS
POLICOSANOL; POLICOSANOL
EZETIMIBA; Ezetimibe
ALIPOGEN TIPARVOVEC; ALIPOGEN TIPARVOVEC
LOMITAPIDA; LOMITAPIDE
EVOLOCUMAB; EVOLOCUMAB
ALIROCUMAB; ALIROCUMAB
TRIGLICERIDOS OMEGA-3 EN ASOCIACION; OMEGA-3 TRIGLYCERIDES IN ASSOCIATION
DEXTROTIROSINA; DEXTROTYROSINE
SULODEXIDA; SULODEXIDE
HEPARINOIDE; HEPARINOID
SULTOSILATO DE PIPERAZINA; Piperazine sultosylate
AMILASA+LIPASA+TIROSINASA; AMYLASE+LIPASE+TYROSINASE
FOSFOLIPIDOS EN ASOCIACION; PHOSPHOLIPIDS IN ASSOCIATION
OTROS MODIFICADORES DE LOS LIPIDOS NE; OTHER LIPID MODIFIERS NE
LOVASTATINA ASOCIADA A ACIDO NICOTINICO; LOVASTATIN ASSOCIATED WITH NICOTINIC ACID
SIMVASTATINA ASOCIADA A EZETIMIBA; SIMVASTATIN ASSOCIATED WITH EZETIMIBA
ATORVASTATINA ASOCIADA A FENOFIBRATO; ATORVASTATIN ASSOCIATED WITH FENOFIBRATE
SIMVASTATINA Y FENOFIBRATO; SIMVASTATIN AND FENOFIBRATE
ATORVASTATINA Y EZETIMIBA; ATORVASTATIN AND EZETIMIBE
ROSUVASTATINA Y EZETIMIBA; Rosuvastatin and Ezetimibe
SIMVASTATINA ASOCIADA A ACIDO ACETILSALICILICO; SIMVASTATIN ASSOCIATED WITH ACETYLSALICYLIC ACID
PRAVASTATINA ASOCIADA A ACIDO ACETILSALICILICO;PRAVASTATIN ASSOCIATED WITH ACETYLSALICYLIC ACID
ATORVASTATINA ASOCIADA A AMLODIPINO; ATORVASTATIN ASSOCIATED WITH AMLODIPINE
SIMVASTATINA + ACETILSALICILICO ACIDO + RAMIPRILO; SIMVASTATIN + ACETYLSALICALIC ACID + RAMIPRIL
ATORVASTATINA, ACIDO ACETILSALICILICO Y RAMIPRIL; ATORVASTATIN, ACETYLSALICYLIC ACID AND RAMIPRIL
ROSUVASTATINA Y AMLODIPINO; Rosuvastatin and Amlodipine
ROSUVASTATINA Y VALSARTAN; Rosuvastatin and Valsartan
NISTATINA; Nystatin
NATAMICINA; NATAMYCIN
HACHIMICINA; HACHIMICINE
PECILOCINA; PECILOCIN
MEPARTRICINA; Mepartricin
PIRROLNITRINA; PYRROLNITRINE
GRISEOFULVINA; GRISEOFULVIN
NISTATINA DEN ASOCIACION; Nystatin Association
CLOTRIMAZOL; CLOTRIMAZOLE
MICONAZOL; Miconazole
ECONAZOL; ECONAZOL
CLOMIDAZOL; CLOMIDAZOLE
ISOCONAZOL; ISOCONAZOL
TIABENDAZOL; Thiabendazole
TIOCONAZOL; THIOCONAZOLE
KETOCONAZOL; KETOCONAZOLE
SULCONAZOL; SULCONAZOL
BIFONAZOL; BIFONAZOLE
OXICONAZOL; Oxyconazole
FENTICONAZOL; FENTICONAZOLE
OMOCONAZOL; Omoconazole
SERTACONAZOL; SERTACONAZOL
FLUCONAZOL; FLUCONAZOLE
FLUTRIMAZOL; FLUTRIMAZOLE
EBERCONAZOL; EBERCONAZOL
CLOTRIMAZOL EN ASOCIACION; CLOTRIMAZOLE IN ASSOCIATION
MICONAZOL EN ASOCIACION; MICONAZOLE IN ASSOCIATION
EBERCONAZOL; EBERCONAZOL
BROMOSALICILCLOROANILIDA; BROMOSALICYLCHLORONANILIDE
METILROSANILINA (VIOLETA DE GENCIANA); METHYLROSANILINE (GENTENIAN VIOLET)
TRIBROMOMETACRESOL; TRIBROMOMETACRESOL
UNDECILENICO ACIDO; UNDECYLENIC ACID
POLINOXILINA; POLYNOXYLIN
CLOROFENESINA; Chlorophenesin
TICLATONA; TICLATONA
SULBENTINA; SULBENTINE
ETIL HIDROXIBENZOATO; ETHYL HYDROXYBENZOATE
HALOPROGINA; HALOPROGINE
SALICILICO ACIDO; SALICYLIC ACID
SULFURO SELENIO; SELENIUM SULFIDE
CICLOPIROX; CICLOPIROX
TERBINAFINA; TERBINAFINE
AMOROLFINA;AMOROLFINA
DIMAZOL; Dimazole
TOLNAFTATO; Tolnaftate
TOLCICLATO; TOLCICLATE
ASOCIACIONES (ANTIFUNGICOS TOPICOS); ASSOCIATIONS (TOPICAL ANTIFUNGALS)
FLUCITOSINA; FLUCYTOSINE
NAFTIFINA; NAFTIFINE
BUTENAFINA; BUTENAFINE
BROMOSALICILCLOROANILIDA EN ASOCIACION; BROMOSALICYLCHLORONANILIDE IN ASSOCIATION
METILROSANILINA EN ASOCIACION; METHYLROSANILINE IN ASSOCIATION
UNDECILENICO ACIDO EN ASOCIACION; UNDECYLENIC ACID IN ASSOCIATION
SALICILICO ACIDO EN ASOCIACION; SALICYLIC ACID IN ASSOCIATION
OTROS ANTIFUNGICOS DE USO TOPICO NE; OTHER TOPICAL ANTIFUNGAL AGENTS NE
GRISEOFULVINA; GRISEOFULVIN
TERBINAFINA; TERBINAFINE
ZINC OXIDO; ZINC OXIDE
ZINC OXIDO EN ASOCIACION; ZINC OXIDE IN ASSOCIATION
ZINC SULFATO; ZINC SULFATE
PRODUCTOS DE ZINC NE; ZINC PRODUCTS NE
VASELINA; VASELINE
GLICEROL; GLYCEROL
VASELINA+LANOLINA+CETILICO ACIDO; Petroleum jelly + lanolin + cetyl acid
PARAFINA FLUIDA Y PRODUCTOS GRASOS NE; FLUID PARAFFIN AND FATTY PRODUCTS NE
TIRAM EN ASOCIACION; TIRAM IN ASSOCIATION
PELICULA PROTECTORA PIEL SANA; PROTECTIVE FILM FOR HEALTHY SKIN
SALICILICO ACIDO EN ASOCIACION; SALICYLIC ACID IN ASSOCIATION
PREPARADOS CON ACIDO SALICILICO NE; PREPARATIONS WITH SALICYLIC ACID NE
MIRISTATO DE ISOPROPILO; ISOPROPYL MYRISTATE
OTROS EMOLIENTES Y PROTECTORES DERMATOLOGICOS NE; OTHER EMOLLIENTS AND DERMATOLOGICAL PROTECTORS NE
AMINOBENZOICO ACIDO; AMINOBENZOIC ACID
OCTIL METOXICINNAMATO; OCTYL METHOXYCINNAMATE
BETACAROTENO; BETACAROTENE
AFAMELANOTIDA; AFAMELANOTIDE
CADEXOMERO IODADO; CADEXOMER IODINATED
DEXTRANOMERO; DEXTRANOMER
DEXPANTENOL; DEXPANTHENOL
CALCIO PANTOTENATO; Calcium pantothenate
HIALURONICO ACIDO; HYALURONIC ACID
BECAPLERMINA; BECAPLERMINE
ENOXOLONA; ENOXOLONE
ACIDO HIALURONICO EN ASOCIACION; HYALURONIC ACID IN ASSOCIATION
PREPARADOS ANTIESCARAS; ANTI-BEDSORE PREPARATIONS
SANGRE EXTO; BLOOD EXTRACT
ACEXAMICO ACIDO;ACEXAMIC ACID
ACEXAMICO ACIDO+NEOMICINA; ACEXAMIC ACID+NEOMYCIN
CENTELLA ASIATICA EXTO; CENTELLA ASIATICA EXTRACT
CENTELLA ASIATICA EXTO+NEOMICINA; CENTELLA ASIATIC EXTO+NEOMYCIN
BALSAMO DEL PERU EN ASOCIACION; BALSAM OF PERU IN ASSOCIATION
CLORAMFENICOL EN ASOCIACION; CHLORAMPHENICOL IN ASSOCIATION
FENOXIETANOL EN ASOCIACION; PHENOXYETHANOL IN ASSOCIATION
SILICONAS; SILICONES
OTROS CICATRIZANTES NE; OTHER HEALING AGENTS NE
TRIPSINA; TRYPSIN
COLAGENASA; COLLAGENASE
BROMELAINAS; Bromelains
TRIPSINA EN ASOCIACION; TRYPSIN IN ASSOCIATION
COLAGENASA EN ASOCIACION; COLLAGENASE IN ASSOCIATION
CATALASA; Catalase
DEXOSIRRIBONUCLEASA+FIBRINOLISINA; DEXOSYRIBONUCLEASE+FIBRINOLYSIN
ESTREPTOQUINASA+ESTREPTODORNASA; STREPTOKINASE+STREPTODORNASE
TRIPELENAMINA; TRIPELENAMINE
PROMETAZINA; PROMETHAZINE
DIMETINDENE; DIMETINDENE
DIFENHIDRAMINA; Diphenhydramine
DEXCLORFENIRAMINA EN ASOCIACION; DEXCHLORPHENIRAMINE IN ASSOCIATION
ANTIHISTAMINICOS DE USO TOPICO NE; TOPICAL ANTIHISTAMINES NE
LIDOCAINA; Lidocaine
BENZOCAINA; BENZOCAINE
TETRACAINA; TETRACAINE
PRAMOCAINA; PRAMOCAINE
TETRACAINA EN ASOCIACION; TETRACAINE IN ASSOCIATION
ANESTESICOS DE USO TOPICO NE; TOPICAL ANESTHETICS NE
CALAMINA; CALAMINE
ICTIOL EN ASOCIACION; ICTIOL IN ASSOCIATION
ALCANFOR + MENTOL; CAMPHOR + MENTHOL
OTROS ANTIPRURIGINOSOS NE; OTHER ANTIPRUGINOSES NE
BREA DE HULLA; COAL PITCH
BREA DE HULLA EN ASOCIACION; COAL PITCH IN ASSOCIATION
ACEITE DE ENEBRO (CADE); JUNIPER OIL (CADE)
ALQUITRANES (ANTIPSORIASICOS USO TOPICO) NE; TAR (ANTIPSORIATIC TOPICAL USE) NE
DITRANOL; DITRANOL
DITRANOL EN ASOCIACION; DITRANOL IN ASSOCIATION
TRIOXISALENO; TRIOXYSALENE
METOXSALENO; METHOXSALEN
FUMARICO ACIDO; FUMARIC ACID
CALCIPOTRIOL;CALCIPOTRIOL
CALCITRIOL; CALCITRIOL
TACALCITOL; TACALCITOL
TAZAROTENO; TAZAROTENE
CALCIPOTRIOL EN ASOCIACION; CALCIPOTRIOL IN ASSOCIATION
TRIOXISALENO; TRIOXYSALENE
METOXSALENO; METHOXSALEN
BERGAPTEN; BERGAPTEN
ETRETINATO; ETRETINATE
ACITRETINA; Acitretin
DIMETIL FUMARATO; DIMETHYL FUMARATE
CALAGUALA EXTO (POLIPODIUM LEUCOTOMOS); CALAGUALA EXTO (POLIPODIUM LEUCOTOMOS)
DEMECLOCICLINA; DEMECLOCYCLINE
CLORTETRACICLINA; Chlortetracycline
OXITETRACICLINA (SOLA/ASOC. OTROS ANTIB); OXYTETRACYCLINE (ALONE/ASSOCIATE WITH OTHER ANTIBODIES)
ANTIBIOTICOS DE USO TOPICO (DERMATOLOGICOS) NE NE; TOPICAL ANTIBIOTICS (DERMATOLOGICAL) NE NE
FUSIDICO ACIDO; FUSIDICUI ACID
CLORAMFENICOL; Chloramphenicol
NEOMICINA (SOLA O ASOC.A OTROS ANTIBIOT); NEOMYCIN (ALONE OR ASSOCIATED WITH OTHER ANTIBIOTICS)
BACITRACINA; BACITRACIN
GENTAMICINA; GENTAMICIN
TIROTRICINA; THYROTRICIN
MUPIROCINA; MUPIROCIN
VIRGINIAMICINA; VIRGINIAMYCIN
RIFAXIMINA; RIFAXIMIN
AMICACINA; AMICACIN
RETAPAMULINA; RETAPAMULIN
OZENOXACINO; OZENOXACIN
SULFADIAZINA ARGENTICA; SILVER SULFADIAZINE
SULFATIAZOL; SULFATHIAZOLE
MAFENIDA; MAFENIDA
SULFANILAMIDA; SULFANILAMIDE
SULFAMERAZINA; Sulfamerazine
SULFADIAZINA ARGENTICA EN ASOCIACION; ARGENTIC SULFADIAZINE IN ASSOCIATION
SULFATIAZOL EN ASOCIACION; SULFATHIAZOLE IN ASSOCIATION
MAFENIDA EN ASOCIACION; MAFENIDA IN ASSOCIATION
SULFANILAMIDA EN ASOCIACION; SULFANILAMIDE IN ASSOCIATION
IDOXURIDINA; IDOXURIDINE
TROMANTADINA; TROMANTADINE
ACICLOVIR; Acyclovir
PODOFILOTOXINA; PODOPHYLLOTOXIN
PENCICLOVIR; PENCILCLOVIR
LISOZIMA; LYSOZYME
IMIQUIMOD; IMIQUIMOD
DOCOSANOL; DOCOSANOL
SINECATEQUINAS; SINECATHECINS
IDOXURIDINA EN ASOCIACION; IDOXURIDINE IN ASSOCIATION
ACICLOVIR EN ASOCIACION;ACYCLOVIR IN ASSOCIATION
ANTIVIRALES (QUIMIOTERAPICOS TOPICOS DERMATOLOGIC) NE; ANTIVIRALS (TOPICAL CHEMOTHERAPY DERMATOLOGICAL) NE
METRONIDAZOL; METRONIDAZOLE
INGENOL MEBUTATO; INGENOL MEBUTATE
OTROS QUIMIOTERAPICOS (TOPICOS DERMATOLOGICOS) NE; OTHER CHEMOTHERAPEUTIC AGENTS (DERMATOLOGICAL TOPICALS) NE
METILPREDNISOLONA; METHYLPREDNISOLONE
HIDROCORTISONA; HYDROCORTISONE
PREDNISOLONA; PREDNISOLONE
CLOBETASONA; CLOBETASONE
HIDROCORTISONA BUTIRATO; HYDROCORTISONE BUTYRATE
FLUMETASONA; Flumethasone
FLUOCORTINA; FLUOCORTIN
FLUOROMETOLONA; FLUOROMETHOLONE
FLUPREDNIDENO; FLUPREDNIDENE
DESONIDA; DESONIDA
TRIAMCINOLONA; TRIAMCINOLONE
ALCLOMETASONA; ALCLOMETASONE
HIDROCORTISONA BUTEPRATO; Hydrocortisone Buteprate
DEXAMETASONA; Dexamethasone
CLOCORTOLONA; CHLOCORTOLONE
DICLORISONA; Dichlororisone
BETAMETASONA; BETAMETHASONE
FLUCLOROLONA; Fluclorolone
DESOXIMETASONA; DEOXYMETHASONE
FLUOCINOLONA ACETONIDO; FLUOCINOLONE ACETONIDE
FLUOCORTOLONA; FLUOCORTOLONE
DIFLUCORTOLONA; Diflucortolone
FLUDROXICORTIDA; FLUDROXICORTIDE
FLUOCINONIDA; FLUOCINONIDE
BUDESONIDA; BUDESONIDE
DIFLORASONA; DIFLORASONE
AMCINONIDA; AMCINONIDE
HALOMETASONA; HALOMETHASONE
MOMETASONA; Mometasone
METILPREDNISOLONA ACEPONATO; METHYLPREDNISOLONE ACEPONATE
BECLOMETASONA; BECLOMETHASONE
HIDROCORTISONA ACEPONATO; Hydrocortisone Aceponate
FLUTICASONA; FLUTICASONE
PREDNICARBATO; PREDNICARBATE
DIFLUPREDNATO; Difluprendnate
ULOBETASOL; ULOBETASOL
ASOC.CORTICOSTEROIDES MODERAD. POTENTES; MODERATELY STRONG CORTICOSTEROID ASSOCIATION
FLUPAMESONA; FLUPAMESONE
CLOBETASOL; CLOBETASOL
HALCINONIDA; HALCINONIDE
HIDROCORTISONA+ANTISEPTICOS; HYDROCORTISONE + ANTISEPTIC
FLUOCINOLONA ACETONIDO+ANTISEPTICOS; FLUOCINOLONE ACETONIDE+ANTISEPTICS
DIFLUCORTOLONA ASOCIADA A ANTISEPTICO; DIFLUCORTOLONE ASSOCIATED WITH ANTISEPTIC
BECLOMETASONA+ANTISEPTICOS; BECLOMETHASONE+ANTISEPTICS
HALOMETASONA+ANTISEPTICOS;HALOMETASONE+ANTISEPTICS
HIDROCORTISONA+ANTIBIOTICOS; HYDROCORTISONE + ANTIBIOTICS
METILPREDNISOLONA+ANTIBIOTICOS; METHYLPREDNISOLONE+ANTIBIOTICS
PREDNISOLONA+ANTIBIOTICOS; PREDNISOLONE + ANTIBIOTICS
TRIAMCINOLONA+ANTIBIOTICOS; TRIAMCINOLONE + ANTIBIOTICS
FLUPREDNIDENO+ANTIBIOTICOS; Fluprednidene + Antibiotics
FLUOROMETOLONA+ANTIBIOTICOS; FLUOROMETHOLONE + ANTIBIOTICS
DEXAMETASONA+ANTIBIOTICOS; DEXAMETHASONE + ANTIBIOTICS
BETAMETASONA+ANTIBIOTICOS; BETAMETHASONE + ANTIBIOTICS
FLUOCINOLONA ACETONIDO+ANTIBIOTICOS; FLUOCINOLONE ACETONIDE + ANTIBIOTICS
BECLOMETASONA+ANTIBIOTICOS; BECLOMETHASONE + ANTIBIOTICS
FLUOCINONIDA+ANTIBIOTICOS; Fluocinonide + Antibiotics
FLUOCORTOLONA+ANTIBIOTICOS; FLUOCORTOLONE+ANTIBIOTICS
FLUDROCORTISONA+ANTIBIOTICOS; Fludrocortisone + Antibiotics
FLUPAMESONA ASOCIADA A ANTIBIOTICOS; FLUPAMESONE ASSOCIATED WITH ANTIBIOTICS
CLOBETASOL+ANTIBIOTICOS; CLOBETASOIL+ANTIBIOTICS
CORTICOIDES DERMATOLOGICOS NE NE NE; DERMATOLOGICAL CORTICOIDS NE NE NE
HIDROCORTISONA OTRAS ASOCIACIONES; HYDROCORTISONE OTHER ASSOCIATIONS
PREDNISOLONA OTRAS ASOCIACIONES; PREDNISOLONE OTHER ASSOCIATIONS
FLUMETASONA OTRAS ASOCIACIONES; FLUMETASONE OTHER ASSOCIATIONS
TRIAMCINOLONA OTRAS ASOCIACIONES; TRIAMCINOLONE OTHER ASSOCIATIONS
FLUOROMETOLONA OTRAS ASOCIACIONES; FLUOROMETHOLONE OTHER ASSOCIATIONS
DEXAMETASONA OTRAS ASOCIACIONES; DEXAMETHASONE OTHER ASSOCIATIONS
BETAMETASONA OTRAS ASOCIACIONES; BETAMETHASONE OTHER ASSOCIATIONS
MOMETASONA OTRAS ASOCIACIONES; MOMETASONA OTHER ASSOCIATIONS
FLUOCINOLONA ACETONIDO EN OTRAS ASOCIACIONES; FLUOCINOLONE ACETONIDE IN OTHER ASSOCIATIONS
FLUPAMESONA EN OTRAS ASOCIACIONES; FLUPAMESONE IN OTHER ASSOCIATIONS
CORTICOSTEROIDES POTENTES+OTRAS SUSTANCIAS (DERMATOLOGICOS) NE;POWERFUL CORTICOSTEROIDS+OTHER SUBSTANCES (DERMATOLOGICAL) NE
AGUA DE BUROW; BUROW WATER
CLORHEXIDINA; Chlorhexidine
HEXAMIDINA; HEXAMIDINE
CLORHEXIDINA EN ASOCIACION; CHLORHEXIDINE IN ASSOCIATION
PREPARADOS CON ACIDO BORICO; PREPARED WITH BORIC ACID
ALCOHOL BORICADO; BORICATED ALCOHOL
FENOL; PHENOL
TRICLOSAN EN ASOCIACION; TRICLOSAN IN ASSOCIATION
NITROFURAL; Nitrofural
POVIDONA IODADA; POVIDONE IODINE
IODO; Iodine
LUGOL; LUGOL
ALCOHOL IODADO; Iodinated Alcohol
PRODUCTOS IODADOS NE; IODIZED PRODUCTS NE
BENZALCONIO CLORURO; BENZALKONIUM CHLORIDE
CETRIMONIO; CETRIMONIUM
CETILPIRIDINIO, CLORURO DE; CETYLPYRIDINIUM CHLORIDE
CETRIMIDA; CETRIMIDE
BENZETONIO CLORURO; BENZETHONIUM CHLORIDE
OCTENIDINA EN ASOCIACION; OCTENIDINE IN ASSOCIATION
CETILPIRIDINIO+ALCOHOL; CETYLPYRIDINIUM+ALCOHOL
COMPUESTOS DE AMONIO CUATERNARIO (ANTISEPTICOS/DESINFECTANT) NE; QUATERNARY AMMONIUM COMPOUNDS (ANTISEPTIC/DISINFECTANT) NE
MERCUROCROMO; MERCUROCHROME
TIOMERSAL; Thiomersal
MERCUROBUTOL; MERCUROBUTOL
PRODUCTOS MERCURIALES (ANTISEPTICOS/DESINFECTANTES TOPICOS) NE; MERCURIAL PRODUCTS (TOPICAL ANTISEPTIC/DISINFECTANTS) NE
PLATA NITRATO; SILVER NITRATE
AGUA OXIGENADA (PEROXIDO HIDROGENO); Hydrogen peroxide (hydrogen peroxide)
EOSINA; EOSIN
TOSILCLORAMIDA SODICA; SODIUM TOSYLCHLORAMIDE
PERMANGANATO POTASICO; Potassium permanganate
ALCOHOL (ETANOL); ALCOHOL (ETHANOL)
OTROS ANTISEPTICOS Y DESINFECTANTES NE; OTHER ANTISEPTIC AND DISINFECTANTS NE
POVIDONA IODADA EN TUL; POVIDONE IODINE IN TULLE
IODOFORMO; Iodoform
BENZALCONIO EN ASOCIACION EN APOSITO; BENZALCONIUM IN ASSOCIATION IN DRESSING
APOSITO CON ANTIBIOTICOS EN ASOCACION; ANTIBIOTICS DRESSING IN ASSOCIATION
APOSITOS MEDICAMENTOSOS NE NE; MEDICATED DRESSINGS NE NE
TUL CON BALSAMO DEL PERU EN ASOCIACION;TULLE WITH PERU BALSAM IN ASSOCIATION
APOSITO ESTERIL DE CARBON ACTIVO; STERILE ACTIVATED CARBON DRESSING
APOSITO ESTERIL DE POLIURETANO; STERILE POLYURETHANE DRESSING
APOSITO ESTERIL DE COLAGENO; STERILE COLLAGEN DRESSING
OTROS APOSITOS; OTHER DRESSINGS
FLUOROMETOLONA; FLUOROMETHOLONE
METILPREDNISOLONA; METHYLPREDNISOLONE
DEXAMETASONA; Dexamethasone
METILPREDNISOLONA EN ASOCIACION; METHYLPREDNISOLONE IN ASSOCIATION
BITIONOL; BITIONOL
AZUFRE; SULFUR
TIOXOLONA; TIOXOLONE
MESULFENO; Mesulfene
AZUFRE EN ASOCIACION; SULFUR IN ASSOCIATION
TRETINOINA; TRETINOIN
RETINOL; RETINOL
ADALAPENO; ADALAPENO
ISOTRETINOINA; ISOTRETINOIN
MOTRETINIDA; MOTRETINIDE
TRIFAROTENO; Trifarotene
TRETINOINA EN ASOCIACION; TRETINOIN IN ASSOCIATION
ADAPALENO EN ASOCIACION; ADAPALENE IN ASSOCIATION
ISOTRETINOINA EN ASOCIACION; ISOTRETINOIN IN ASSOCIATION
RETINOIDES ANTI-ACNE DE USO TOPICO NE; ANTI-ACNE RETINOIDS FOR TOPICAL USE NE
BENZOILO PEROXIDO; Benzoyl peroxide
CLINDAMICINA; CLINDAMYCIN
ERITROMICINA; ERYTHROMYCIN
CLORAMFENICOL; Chloramphenicol
MECLOCICLINA; MECLOCYCLINE
NADIFLOXACINO; NADIFLOXACIN
CLINDAMICINA EN ASOCIACION; CLINDAMYCIN IN ASSOCIATION
ERITROMICINA EN ASOCIACION; ERYTHROMYCIN IN ASSOCIATION
NADIFLOXACINA; NADIFLOXACIN
ANTIINFECCIOSOS PARA TRATAMIENTO DEL ACNE NE; ANTIINFECTIVES FOR ACNE TREATMENT NE
RESORCINOL; RESORCINOL
AZELAICO ACIDO; AZELAIC ACID
DAPSONA; DAPSONE
ANTIACNEICOS EN ASOCIACION; ANTI-ACNEICS IN ASSOCIATION
ISOTRETINOINA; ISOTRETINOIN
ICTASOL; ICTASOL
OTROS PREPARADOS ANTI-ACNE SISTEMICOS NE; OTHER SYSTEMIC ANTI-ACNE PREPARATIONS NE
CETRIMIDA; CETRIMIDE
COMPUESTOS DE CADMIO; CADMIUM COMPOUNDS
COMPUESTOS DE SELENIO; SELENIUM COMPOUNDS
POVIDONA IODADA; POVIDONE IODINE
CHAMPUS CON AZUFRE; SHAMPOOS WITH SULFUR
OTROS CHAMPUS MEDICINALES; OTHER MEDICINAL SHAMPOOS
ACIDO SALICILICO EN ASOCIACION;SALICYLIC ACID IN ASSOCIATION
CLORURO FERRICO; FERRIC CHLORIDE
CANTARIDINA EN ASOCIACION; CANTHARIDIN IN ASSOCIATION
PREPARADOS ANTIVERRUGAS Y CALLICIDAS NE; ANTI-WART AND CALLICIDE PREPARATIONS NE
TACROLIMUS; Tacrolimus
PIMECROLIMUS; PIMECROLIMUS
CROMOGLICICO ACIDO; Cromoglycic Acid
ALITRETINOINA; ALITRETINOIN
DUPILUMAB; DUPILUMAB
MINOXIDIL; MINOXIDIL
MEQUINOL; MEQUINOL
FINASTERIDA; FINASTERIDE
HIDROQUINONA; HYDROQUINONE
ZINC PIRITIONATO; ZINC PYRITHIONATE
TACROLIMUS; Tacrolimus
PIMECROLIMUS; PIMECROLIMUS
EFLORNITINA; EFLORNITHINE
CROMOGLICICO ACIDO; Cromoglycic Acid
DICLOFENACO; Diclofenac
ALITRETOINA; ALITRETOIN
BRIMONIDINA; BRIMONIDINE
IVERMECTINA; IVERMECTIN
ACIDO DESOXICOLICO; DEOXYCHOLIC ACID
ACETIL PARAMINOBENZOICO ACIDO (ACEDOBEN); ACETYL PARAMINOBENZOIC ACID (ACEDOBEN)
OTROS DERMATOLOGICOS NE; OTHER DERMATOLOGICAL NE
NISTATINA; Nystatin
AMFOTERICINA B; AMPHOTERICIN B
HACHIMICINA; HACHIMICINE
CLINDAMICINA; CLINDAMYCIN
AMFOTERICINA B+TETRACICLINA; AMPHOTERICIN B+TETRACYCLINE
DIIODOHIDROXIQUINOLINA; DIIODOHYDROXYQUINOLINE
CLORQUINALDOL; CHLORQUINALDOL
DECALINIO; DECALINIUM
CLORQUINALDOL EN ASOCIACION; CHLORQUINALDOL IN ASSOCIATION
ACIDOS ORGANICOS NE; ORGANIC ACIDS NE
METRONIDAZOL; METRONIDAZOLE
CLOTRIMAZOL; CLOTRIMAZOLE
MICONAZOL; Miconazole
ECONAZOL; ECONAZOL
TIOCONAZOL; THIOCONAZOLE
KETOCONAZOL; KETOCONAZOLE
FENTICONAZOL; FENTICONAZOLE
OMOCONAZOL; Omoconazole
OXICONAZOL; Oxyconazole
FLUTRIMAZOL; FLUTRIMAZOLE
SERTACONAZOL; SERTACONAZOL
DERIVADOS DEL IMIDAZOL EN ASOCIACION; IMIDAZOLE DERIVATIVES IN ASSOCIATION
SERTACONAZOL; SERTACONAZOL
NIFURATEL; NIFURATEL
POVIDONA IODADA; POVIDONE IODINE
CICLOPIROX; CICLOPIROX
LACTOBACILO, FERMENTO; LACTOBACILLUS, FERMENT
OCTENIDINA EN ASOCIACION; OCTENIDINE IN ASSOCIATION
