drug	gene
etanercept	TNFRSF1A
etanercept	TNFRSF1B
etanercept	TRAF1
etanercept	TNF
lenalidomide	ABCB1
lenalidomide	CTNNB1
lenalidomide	FGF2
setmelanotide	LEPR
setmelanotide	PCSK1
setmelanotide	POMC
rilonacept	HLA-DRB1
halothane	RYR1
halothane	CACNA1S
mitapivat	PKLR
amlodipine	CYP3A4
amlodipine	CYP3A5
amlodipine	NPPA
amlodipine	AGT
abacavir	ADH1A
abacavir	ADH1B
abacavir	ADH1C
abacavir	ADK
abacavir	LTA
abacavir	LTB
abacavir	HLA-B
abacavir	HLA-DQB1
abacavir	HLA-DRB1
abacavir	LST1
norfloxacin	G6PD
acalabrutinib	CYP3A4
raloxifene_6-glucuronide	UGT1A1
erythromycin	ABCC2
erythromycin	CYP3A4
erythromycin	KCNH2
erythromycin	ABCB1
erythromycin	NR1I2
fosphenytoin	CYP2C9
fosphenytoin	HLA-B
pergolide	DRD2
nivolumab	CD274
nivolumab	ALK
nivolumab	BRAF
nivolumab	ERBB2
nivolumab	EGFR
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	CDKAL1
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	MOB3B
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	PGLYRP4
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	C9orf72
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	FBXL19
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	LY96
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	CERS6
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	IL23R
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	GBP6
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	CNPY4
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	ARAP2
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	ZNF816
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	IL6
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	CD14
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	CSRP3
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	CST5
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	CTLA4
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	CTNNA2
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	IFNG
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	IL12B
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	IL17A
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	IL17RA
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	IL1B
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	IL1RN
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	KLRC4
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	MAFB
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	MAP3K1
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	MICA
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	PON1
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	PTPRC
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	HLA-C
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	HLA-DQA1
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	SH3BP2
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	TLR2
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	TLR4
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	TNFAIP3
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	TNFRSF10A
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	TNFRSF1A
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	TNFRSF1B
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	TRAF1
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	SLCO1C1
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	SLC12A8
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	TLR9
Tumor_necrosis_factor_alpha_(TNF-alpha)_inhibitors	TNF
zanubrutinib	MYD88
zanubrutinib	TP53
urofollitropin	FSHR
plain_Ascorbic_acid_(vitamin_C)	G6PD
fruquintinib	KRAS
milnacipran	MDGA2
milnacipran	HTR1A
milnacipran	HTR2A
milnacipran	ADRA2A
prilocaine	G6PD
fampridine	SLC22A2
minocycline	HLA-B
minocycline	NR1I2
raloxifene	ZNF423
raloxifene	ESR1
raloxifene	ESR2
raloxifene	UGT1A8
raloxifene	UGT1A1
SN-38	CES1
SN-38	ABCC2
SN-38	SLCO1B1
SN-38	ABCC1
SN-38	BCHE
SN-38	ABCB1
SN-38	TOP1
SN-38	UGT1A10
SN-38	UGT1A3
SN-38	UGT1A4
SN-38	UGT1A6
SN-38	UGT1A8
SN-38	CES2
SN-38	ABCG2
SN-38	UGT1A9
posaconazole	CYP3A4
perphenazine	CYP2D6
perphenazine	RELN
perphenazine	RGS4
certolizumab_pegol	ATP5F1E
certolizumab_pegol	KLRC1
certolizumab_pegol	KLRD1
certolizumab_pegol	HLA-E
methionine	CBS
methionine	CPS1
methionine	ALDH1L1
methionine	GNMT
methionine	PSPH
dantrolene	RYR1
voxilaprevir	IFNL3
voxilaprevir	IFNL4
tiotropium	CYP2D6
tiotropium	ADRB2
lomitapide	LDLR
lomitapide	PCSK9
lomitapide	APOB
Biricodar	ABCB1
mesalazine	NAT1
mesalazine	G6PD
lesinurad	CYP2C9
amivantamab	EGFR
carbasalate_calcium	G6PD
etrasimod	CYP2C9
sotorasib	KRAS
itraconazole	CYP3A4
itraconazole	CYP3A5
itraconazole	ABCB1
cefradine	NR1I2
celecoxib	CDKN1A
celecoxib	CDKN1B
celecoxib	CYP2C9
celecoxib	CYP3A4
celecoxib	CACNA2D4
celecoxib	CYP3A5
celecoxib	IL23R
celecoxib	KCNQ1
celecoxib	ATP2A1
celecoxib	ATP2A3
celecoxib	BCAR1
celecoxib	CA12
celecoxib	CA9
celecoxib	CACNA1A
celecoxib	CACNA1B
celecoxib	CACNA1E
celecoxib	CACNA1F
celecoxib	CACNA1I
celecoxib	CACNA2D2
celecoxib	CACNA2D3
celecoxib	CACNB4
celecoxib	CASP3
celecoxib	CASP9
celecoxib	CTNNB1
celecoxib	DDIT3
celecoxib	PPARG
celecoxib	PTGER4
celecoxib	PTGS2
celecoxib	IGFBP3
celecoxib	KCNQ2
celecoxib	KCNQ3
celecoxib	KCNQ4
celecoxib	KCNQ5
celecoxib	MMP9
celecoxib	PDK1
celecoxib	PTGES
celecoxib	VEGFA
celecoxib	CACNA1H
celecoxib	CACNA1G
celecoxib	ALOX12
celecoxib	ATP2A2
celecoxib	CACNA1C
celecoxib	CACNA1D
celecoxib	CACNA1S
celecoxib	CACNA2D1
celecoxib	CACNB1
celecoxib	CACNB2
celecoxib	CACNB3
ropeginterferon_alfa-2b	JAK2
tipifarnib	ABCB1
ixabepilone	ESR1
ixabepilone	PGR
ixabepilone	ERBB2
ixabepilone	ESR2
fluoxetine_/_olanzapine	CYP2D6
nitrendipine	KCNH2
nitrendipine	ABCB1
nitrendipine	AGTR1
tositumomab	MS4A1
drospirenone_/_ethinyl_estradiol	CYP2C19
drospirenone_/_ethinyl_estradiol	F5
drospirenone_/_ethinyl_estradiol	PROC
drospirenone_/_ethinyl_estradiol	PROS1
drospirenone_/_ethinyl_estradiol	SERPINC1
ramucirumab	ALK
ramucirumab	KRAS
ramucirumab	EGFR
umifenovir	CYP3A4
canakinumab	HLA-DRB1
lidocaine_and_tetracaine	CYB5R3
lidocaine_and_tetracaine	G6PD
dolutegravir	CYP3A4
dolutegravir	CYP3A5
dolutegravir	NR1I2
dolutegravir	ABCG2
dolutegravir	UGT1A1
benztropine	COMT
troglitazone	SLCO1B1
troglitazone	GSTT1
troglitazone	NR1I2
albendazole	CYP1A2
albendazole	CYP2J2
fulvestrant	ESR1
fulvestrant	PGR
fulvestrant	ERBB2
fulvestrant	ESR2
telaprevir	IFNL3
telaprevir	IFNL4
telaprevir	CYP24A1
nateglinide	CYP2C9
nateglinide	CYP3A4
nateglinide	SLCO1B1
other_combinations_HMG_CoA_reductase_inhibitors	EYS
Platinum_compounds	ABCC2
Platinum_compounds	SLC31A1
Platinum_compounds	MALAT1
Platinum_compounds	CXXC4
Platinum_compounds	KLC3
Platinum_compounds	POLR1G
Platinum_compounds	ERCC1
Platinum_compounds	HOTAIR
Platinum_compounds	TMEM167A
Platinum_compounds	APLF
Platinum_compounds	GSTM1
Platinum_compounds	MTHFR
Platinum_compounds	AXIN2
Platinum_compounds	NOS3
Platinum_compounds	CASP7
Platinum_compounds	ABCB1
Platinum_compounds	DYNC2H1
Platinum_compounds	EIF3A
Platinum_compounds	ERCC2
Platinum_compounds	ERCC3
Platinum_compounds	ERCC4
Platinum_compounds	GSTP1
Platinum_compounds	H19
Platinum_compounds	HSPA5
Platinum_compounds	IL16
Platinum_compounds	RRM1
Platinum_compounds	IL1B
Platinum_compounds	MDM2
Platinum_compounds	MEG3
Platinum_compounds	NQO1
Platinum_compounds	SLC19A1
Platinum_compounds	SLC22A2
Platinum_compounds	PPP1R13L
Platinum_compounds	TP53
Platinum_compounds	XPA
Platinum_compounds	XRCC1
Platinum_compounds	XBP1
Platinum_compounds	XPC
Platinum_compounds	XRCC3
Platinum_compounds	XRCC4
Platinum_compounds	WNT5B
Platinum_compounds	WIF1
Platinum_compounds	ABCG2
Platinum_compounds	ATP7A
Platinum_compounds	ATP7B
naproxen	ABCB1
naproxen	PTGS2
naproxen	LTA
naproxen	LST1
naproxen	TNF
sacubitril	CES1
raltitrexed	SLC19A1
raltitrexed	TYMS
rasagiline	DRD2
tucatinib	ERBB2
tucatinib	HRAS
tucatinib	KRAS
tucatinib	NRAS
diethylstilbestrol	NR1I2
sorafenib	ABCC2
sorafenib	CYP2B6
sorafenib	CYP2C8
sorafenib	CYP2C9
sorafenib	CYP3A4
sorafenib	SLCO1B1
sorafenib	PIK3R5
sorafenib	GALNT14
sorafenib	ADAMTS18
sorafenib	ARAF
sorafenib	NOS3
sorafenib	BRAF
sorafenib	CDH13
sorafenib	ABCB1
sorafenib	EPAS1
sorafenib	FGFR1
sorafenib	FLT1
sorafenib	FLT3
sorafenib	FLT4
sorafenib	MAPK8
sorafenib	HIF1A
sorafenib	KDR
sorafenib	KIT
sorafenib	MAP2K6
sorafenib	MAPK1
sorafenib	MAPK10
sorafenib	MAPK11
sorafenib	MAPK12
sorafenib	MAPK13
sorafenib	MAPK14
sorafenib	MAPK3
sorafenib	MAPK4
sorafenib	MAPK6
sorafenib	MAPK7
sorafenib	MAPK9
sorafenib	SLC22A1
sorafenib	PDGFRB
sorafenib	PRKCE
sorafenib	RAF1
sorafenib	RET
sorafenib	SLC15A2
sorafenib	VEGFA
sorafenib	VEGFB
sorafenib	WWOX
sorafenib	UGT1A9
sorafenib	TNF
sorafenib	EGFR
imidapril	CYP11B2
imidapril	AGT
imidapril	BDKRB2
combinations_Ascorbic_acid_(vitamin_C)	G6PD
Sympathomimetics	OPRM1
binimetinib	BRAF
binimetinib	UGT1A1
elosulfase_alfa	GALNS
atrasentan	SLCO1B1
Drugs_Used_In_Diabetes	IRS1
metyrosine	TH
erdafitinib	CYP2C9
erdafitinib	FGFR3
nitrous_oxide	MTHFR
enfortumab_vedotin	NECTIN4
6beta-hydroxyprogesterone	CYP2C19
amiodarone	CYP2D6
amiodarone	CYP3A4
amiodarone	CYP3A5
amiodarone	NOS1AP
amiodarone	KCNE1
amiodarone	KCNH2
amiodarone	ABCB1
amiodarone	CYP2J2
amiodarone	SCN5A
remimazolam	CES1
dicumarol	NQO1
succinylcholine	BCHE
succinylcholine	RYR1
succinylcholine	CACNA1S
thiazolidinediones	AQP2
diclofenac_acyl_glucuronide	CYP2C8
diclofenac_acyl_glucuronide	UGT2B7
ketorolac	CYP2C9
ketorolac	CYP2D6
ketorolac	LTA
ketorolac	LST1
ketorolac	TNF
cefaclor	NR1I2
montelukast	CYP2C8
montelukast	CYP3A5
montelukast	LTC4S
montelukast	LTA4H
montelukast	ABCC1
montelukast	CA10
montelukast	MLLT3
montelukast	SLCO2B1
montelukast	UGT1A3
montelukast	GALNT17
montelukast	CYSLTR1
montelukast	ABCC9
montelukast	ALOX5
rhodamine_123	ABCG2
etoposide_catechol	COMT
radiotherapy	TANC1
radiotherapy	ERCC1
radiotherapy	TMEM167A
radiotherapy	GSTM1
radiotherapy	APEX1
radiotherapy	AREG
radiotherapy	MEG3
radiotherapy	MUTYH
radiotherapy	OSGEP
radiotherapy	PRKCE
radiotherapy	XRCC1
radiotherapy	XRCC4
radiotherapy	CDK1
apixaban	CYP3A5
apixaban	ABCB1
apixaban	ABCG2
capecitabine	CES1
capecitabine	ENOSF1
capecitabine	CES1P1
capecitabine	C18orf56
capecitabine	DPYS
capecitabine	ERCC1
capecitabine	TYMP
capecitabine	MIR27A
capecitabine	MTHFR
capecitabine	ADCY2
capecitabine	ANK3
capecitabine	AREG
capecitabine	ABCB1
capecitabine	CYP19A1
capecitabine	CYP1A1
capecitabine	DLG5
capecitabine	ERBB2
capecitabine	EXO1
capecitabine	GSTP1
capecitabine	PTGS2
capecitabine	MGAT4A
capecitabine	PPARD
capecitabine	PTEN
capecitabine	REV3L
capecitabine	HLA-G
capecitabine	SELE
capecitabine	SLC22A7
capecitabine	UMPS
capecitabine	VEGFA
capecitabine	ABCG2
capecitabine	UGT1A1
capecitabine	CDA
Vitamin_K	AIFM2
Vitamin_K	CYP4F2
Vitamin_K	G6PD
vincristine	ABCC2
vincristine	CYP3A4
vincristine	DROSHA
vincristine	CEP72
vincristine	LINC00251
vincristine	ABCC10
vincristine	ABCC1
vincristine	ABL1
vincristine	ACTG1
vincristine	BCL2
vincristine	BCR
vincristine	BMP7
vincristine	DOK5
vincristine	CAPG
vincristine	ABCB1
vincristine	CPT1A
vincristine	GATA3
vincristine	GSTA1
vincristine	IGHMBP2
vincristine	RALBP1
vincristine	CXCL12
vincristine	ABCC3
vincristine	NR1I2
vincristine	PNPLA3
sofosbuvir	IFNL3
mavacamten	CYP2C19
sufentanil	COMT
sufentanil	CYP3A4
sufentanil	ABCB1
sufentanil	NFKBIA
sufentanil	OPRM1
temozolomide	MGMT
temozolomide	ABCB1
temozolomide	HDAC4
triamterene	SCNN1A
triamterene	SCNN1B
triamterene	SCNN1G
A_synthetic_conjugated_estrogens	PROC
A_synthetic_conjugated_estrogens	PROS1
A_synthetic_conjugated_estrogens	SERPINC1
azathioprine	IL23R
azathioprine	C18orf56
azathioprine	NUDT15
azathioprine	MOCOS
azathioprine	FTO
azathioprine	DDRGK1
azathioprine	GSTM1
azathioprine	AOX1
azathioprine	CASP9
azathioprine	ABCB1
azathioprine	ITPA
azathioprine	PACSIN2
azathioprine	RAC1
azathioprine	HLA-DQA1
azathioprine	HLA-DRB1
azathioprine	TYMS
azathioprine	ABCC4
fenoterol	ADRB2
bucindolol	ADRA2C
bucindolol	ADRB1
indinavir	CYP3A4
indinavir	ABCB1
thioguanosine_triphosphate	TPMT
cevimeline	CYP2D6
ofatumumab	MS4A1
cosibelimab	CD274
tafamidis	TTR
troleandomycin	NR1I2
carvedilol	SLCO1B1
carvedilol	GRK5
carvedilol	ABCB1
carvedilol	GRK4
carvedilol	ADRA2C
carvedilol	ADRB1
carvedilol	ADRB2
FOLFIRINOX	UGT1A1
doxycycline	ESR1
doxycycline	ABCB1
doxycycline	NR1I2
oxaliplatin	ABCC2
oxaliplatin	KLC3
oxaliplatin	ERCC1
oxaliplatin	PARD3B
oxaliplatin	MTHFR
oxaliplatin	NOS3
oxaliplatin	ABCB1
oxaliplatin	CSMD1
oxaliplatin	ERCC2
oxaliplatin	GNA13
oxaliplatin	GSTP1
oxaliplatin	PTGS2
oxaliplatin	MGAT4A
oxaliplatin	MT1A
oxaliplatin	NQO1
oxaliplatin	PIN1
oxaliplatin	PON1
oxaliplatin	SELE
oxaliplatin	VEGFA
oxaliplatin	ABCG2
oxaliplatin	ABCC5
talinolol	ABCC2
talinolol	ABCB1
n-desmethylclozapine	CYP2C19
n-desmethylclozapine	CYP3A4
n-desmethylclozapine	CYP1A2
lofexidine	CYP2D6
belimumab	TNFSF13B
repaglinide	CYP2C8
repaglinide	IGF2BP2
repaglinide	CYP3A4
repaglinide	SLC30A8
repaglinide	NOS1AP
repaglinide	KCNJ11
repaglinide	KCNQ1
repaglinide	NEUROD1
repaglinide	PAX4
repaglinide	TCF7L2
repaglinide	NR1I2
telithromycin	CYP3A4
telithromycin	KCNH2
hydrocortisone	CYP3A4
hydrocortisone	ABCB1
hydrocortisone	NR1I2
meclizine	CYP2D6
efgartigimod_alfa	CHRNA3
efgartigimod_alfa	CHRNA7
efgartigimod_alfa	CHRNA1
efgartigimod_alfa	CHRNA4
efgartigimod_alfa	CHRNA5
efgartigimod_alfa	CHRNA6
efgartigimod_alfa	CHRNB1
efgartigimod_alfa	CHRNE
cabozantinib	RET
methazolamide	HLA-B
methazolamide	HLA-C
thalidomide	SNORD68
thalidomide	ERCC1
thalidomide	SULT1C4
thalidomide	NAT2
thalidomide	GSTT1
thalidomide	CHST3
thalidomide	CTNNB1
thalidomide	CYP4B1
thalidomide	FGF2
thalidomide	SLC10A2
thalidomide	PPARD
thalidomide	RPL13
thalidomide	SPG7
thalidomide	XRCC5
thalidomide	ABCC6
thalidomide	ATP7A
alectinib	CYP3A4
alectinib	ALK
sulfamethoxazole	CYP2C9
sulfamethoxazole	CYP3A4
sulfamethoxazole	NAT2
sulfamethoxazole	G6PD
sulfamethoxazole	GCLC
adalimumab	CRP
adalimumab	ATG16L1
adalimumab	IL6
adalimumab	ATG5
adalimumab	ATP5F1E
adalimumab	FCGR2A
adalimumab	FCGR3A
adalimumab	HFE
adalimumab	KLRC1
adalimumab	KLRD1
adalimumab	PTPRC
adalimumab	HLA-DRB1
adalimumab	HLA-E
adalimumab	TF
adalimumab	TNFRSF1A
adalimumab	TRAF1
Vitamin_B-complex_with_vitamin_C	G6PD
ceritinib	ALK
temsirolimus	ABCB1
temsirolimus	NR1I2
elagolix	SLCO1B1
probucol	KCNH2
rivastigmine	CHRNA7
rivastigmine	ACHE
rivastigmine	BCHE
rivastigmine	CHAT
vitamin_e	ABCB1
vitamin_e	CYP4F2
sumatriptan	COMT
sumatriptan	DBH
sumatriptan	GNB3
sumatriptan	HTR2A
sumatriptan	DRD2
sumatriptan	HTR1B
sumatriptan	BDNF
sumatriptan	OPRM1
lumefantrine	CYP3A4
lumefantrine	CYP3A5
lumefantrine	ZSCAN25
carboplatin	SLC31A1
carboplatin	CYP3A5
carboplatin	C6orf15
carboplatin	PPP1R18
carboplatin	DOCK8
carboplatin	MUCL3
carboplatin	ATAT1
carboplatin	HCP5
carboplatin	ERCC1
carboplatin	GSTT1
carboplatin	ACSS2
carboplatin	MTHFR
carboplatin	AKT1
carboplatin	ALDH1A1
carboplatin	BARD1
carboplatin	PRRC2A
carboplatin	BCL2
carboplatin	CDSN
carboplatin	DSCAM
carboplatin	EIF3A
carboplatin	ERBB2
carboplatin	ERBB3
carboplatin	ETS2
carboplatin	FNTB
carboplatin	GPX5
carboplatin	GSR
carboplatin	MAP3K1
carboplatin	MSH5
carboplatin	MTR
carboplatin	NRAS
carboplatin	OPRM1
carboplatin	SLC19A1
carboplatin	PIK3CA
carboplatin	PSORS1C1
carboplatin	PTEN
carboplatin	RAF1
carboplatin	RNF8
carboplatin	SCN10A
carboplatin	SERPINC1
carboplatin	HLA-C
carboplatin	SERPINA5
carboplatin	SLCO1B3
carboplatin	SOX10
carboplatin	MAD1L1
carboplatin	VEGFA
carboplatin	XYLT2
carboplatin	UGT1A1
carboplatin	TNF
carboplatin	ATP7B
futibatinib	FGFR2
medroxyprogesterone	CYP3A5
medroxyprogesterone	ESR1
medroxyprogesterone	ESR2
medroxyprogesterone	VDR
formoterol	CYP2C19
formoterol	CYP2D6
formoterol	ADRB2
gliclazide	CYP2C9
gliclazide	KCNJ11
gliclazide	G6PD
dronabinol	CYP2C9
verapamil	CYP3A4
verapamil	PLEKHH2
verapamil	NOS1AP
verapamil	KCNMB1
verapamil	GRK4
verapamil	KCNIP1
verapamil	NR1H3
verapamil	PTPRD
verapamil	CACNA1C
l-methylfolate	MTHFR
non-steroids_Antiinflammatory_agents	COMT
non-steroids_Antiinflammatory_agents	CYP2C9
non-steroids_Antiinflammatory_agents	DBH
non-steroids_Antiinflammatory_agents	CDKN2B-AS1
non-steroids_Antiinflammatory_agents	HTR2A
non-steroids_Antiinflammatory_agents	PTGS1
non-steroids_Antiinflammatory_agents	CTLA4
non-steroids_Antiinflammatory_agents	DRD2
non-steroids_Antiinflammatory_agents	PTGS2
non-steroids_Antiinflammatory_agents	IL10
non-steroids_Antiinflammatory_agents	BDNF
non-steroids_Antiinflammatory_agents	OPRM1
non-steroids_Antiinflammatory_agents	HLA-DRB1
non-steroids_Antiinflammatory_agents	AGT
Calcineurin_inhibitors	CYP2C8
topoisomerase_I_inhibitors	SLFN11
topoisomerase_I_inhibitors	EGFR
solithromycin	NAT2
Dipeptidyl_peptidase_4_(DPP-4)_inhibitors	CDKAL1
Dipeptidyl_peptidase_4_(DPP-4)_inhibitors	TCF7L2
highly_active_antiretroviral_therapy_(haart)	ABCB1
highly_active_antiretroviral_therapy_(haart)	OPRM1
methotrexate	ABCC2
methotrexate	CYP2B6
methotrexate	ENOSF1
methotrexate	ARID5B
methotrexate	DROSHA
methotrexate	FASTKD3
methotrexate	NALCN
methotrexate	SLC46A1
methotrexate	SPECC1L
methotrexate	ADORA2A-AS1
methotrexate	LINC00251
methotrexate	FPGS
methotrexate	GSTT1
methotrexate	FOXP3
methotrexate	ABCC1
methotrexate	ADA
methotrexate	ADORA2A
methotrexate	AHRR
methotrexate	AMPD1
methotrexate	ATIC
methotrexate	ATP5F1E
methotrexate	BMP7
methotrexate	NOS3
methotrexate	DOK5
methotrexate	CLCN6
methotrexate	CPT1A
methotrexate	ERCC2
methotrexate	FGFR4
methotrexate	FOLH1
methotrexate	FOLR1
methotrexate	GATA3
methotrexate	IGHMBP2
methotrexate	ITPA
methotrexate	KIR2DS4
methotrexate	KLRC1
methotrexate	KLRD1
methotrexate	MSH3
methotrexate	MTRR
methotrexate	SLCO1A2
methotrexate	PACSIN2
methotrexate	PTPRM
methotrexate	PYGL
methotrexate	HLA-C
methotrexate	HLA-E
methotrexate	SHMT1
methotrexate	SLC16A7
methotrexate	SOD2
methotrexate	TLR4
methotrexate	TNFAIP3
methotrexate	UGT1A10
methotrexate	UGT1A3
methotrexate	UGT1A4
methotrexate	UGT1A5
methotrexate	UGT1A6
methotrexate	UGT1A7
methotrexate	UGT1A8
methotrexate	ABCC3
methotrexate	SLC22A9
methotrexate	SLC22A11
methotrexate	SLC22A8
methotrexate	ABCG2
methotrexate	ABCC4
methotrexate	UGT1A9
methotrexate	UGT1A1
methotrexate	GGH
methotrexate	CCND1
Tariquidar	ABCB1
brimonidine	ADRA2A
brimonidine	ADRA2B
brimonidine	ADRA2C
desmethylclozapine_glucuronide	UGT1A4
glyburide	NOS1AP
glyburide	G6PD
glyburide	SCNN1B
glyburide	NR1I2
lumasiran	AGXT
salvianolic_acid_b	ACE
salvianolic_acid_b	NOS3
Vitamin_K1	CYP4F2
antineoplastic_agents	DPYD
antineoplastic_agents	RBFOX1
antineoplastic_agents	ABCB1
antineoplastic_agents	SERPINA3
antineoplastic_agents	TYMS
antineoplastic_agents	TP53
epirubicin	SLCO1B1
epirubicin	PERP
epirubicin	GNL3
epirubicin	C18orf56
epirubicin	TP53AIP1
epirubicin	INSR
epirubicin	IRS1
epirubicin	NOS1
epirubicin	NOS3
epirubicin	CBR3
epirubicin	CCNK
epirubicin	CYP1B1
epirubicin	FOXO1
epirubicin	GSTP1
epirubicin	HMMR
epirubicin	MDM4
epirubicin	NQO1
epirubicin	PIGB
epirubicin	PIK3R2
epirubicin	PON1
epirubicin	PPP2R5D
epirubicin	RBX1
epirubicin	TOP2A
epirubicin	TP53
dihydrostreptomycin	MT-RNR1
nebivolol	CYP2D6
nebivolol	GRK5
nebivolol	GRK4
nebivolol	ADRA2C
nebivolol	ADRB1
R101933	ABCB1
tretinoin	CYP3A5
tretinoin	PML
tretinoin	RARA
aflibercept	VEGFA
aflibercept	VEGFB
aflibercept	VEGFC
carbimazole	HLA-B
carbimazole	HLA-DRB1
amoxicillin	CYP2C19
amoxicillin	GSTT1
amoxicillin	HLA-A
amoxicillin	HLA-B
amoxicillin	HLA-C
amoxicillin	HLA-DPB1
amoxicillin	HLA-DQB1
amoxicillin	HLA-DRB1
amoxicillin	HLA-DRB5
amoxicillin	NR1I2
saquinavir	CYP3A4
saquinavir	ABCB1
saquinavir	NR1I2
glimepiride	NOS1AP
glimepiride	G6PD
loratadine	CYP3A5
phenprocoumon	CYP2C19
phenprocoumon	VKORC1
phenprocoumon	CYP4F2
phenprocoumon	EPHX1
phenprocoumon	PPARA
phenprocoumon	PROC
phenprocoumon	STX4
valproic_acid	COMT
valproic_acid	CYP2A6
valproic_acid	ANKK1
valproic_acid	RABEP1
valproic_acid	SH2B1
valproic_acid	LEPR
valproic_acid	ABAT
valproic_acid	MTHFR
valproic_acid	ALDH5A1
valproic_acid	CACNA1F
valproic_acid	ABCB1
valproic_acid	CPS1
valproic_acid	CYP1A1
valproic_acid	GABRA1
valproic_acid	GRIN2B
valproic_acid	HDAC1
valproic_acid	SCN1A
valproic_acid	OGDH
valproic_acid	OTC
valproic_acid	SCN2A
valproic_acid	COL1A1
valproic_acid	HLA-C
valproic_acid	SOD2
valproic_acid	UGT2B7
valproic_acid	UGT1A10
valproic_acid	UGT1A3
valproic_acid	UGT1A5
valproic_acid	UGT1A6
valproic_acid	UGT1A7
valproic_acid	UGT1A8
valproic_acid	NR1I2
valproic_acid	HDAC9
valproic_acid	HDAC11
valproic_acid	UGT1A9
valproic_acid	CACNA1C
valproic_acid	CACNA1D
brexpiprazole	CYP2D6
brexpiprazole	CYP3A4
sulfinpyrazone	CYP3A4
sulfinpyrazone	NR1I2
sulfinpyrazone	UGT1A9
silibinin	ABCB1
darifenacin	CYP2D6
epinephrine	ADRA1D
epinephrine	ADRA1B
epinephrine	ADRA1A
epinephrine	ADRA2A
epinephrine	ADRA2B
epinephrine	ADRA2C
epinephrine	ADRB1
epinephrine	ADRB2
ciprofloxacin	CYP2D6
ciprofloxacin	G6PD
plain_sulfonamides	SLC12A1
rosiglitazone	CYP2C9
rosiglitazone	LPIN1
rosiglitazone	PAX4
rosiglitazone	PLIN1
rosiglitazone	NR1I2
Immunoglobulins	COQ8B
Immunoglobulins	ITPKC
eflornithine	MYCN
enalapril	CES1
enalapril	CYP3A4
enalapril	SLCO1B1
enalapril	ACE
enalapril	NR3C2
enalapril	NOS3
enalapril	VEGFA
enalapril	ADRB2
enalapril	BDKRB2
metyrapone	NR1I2
tipranavir	CYP3A4
dacarbazine	GSTM1
dacarbazine	CYP1A1
dacarbazine	CYP1A2
maprotiline	ABCB1
opioids	COMT
opioids	CYP2B6
opioids	CYP2D6
opioids	CYP3A4
opioids	CYP3A5
opioids	ANKK1
opioids	ZNF568
opioids	CNIH3
opioids	EXOC4
opioids	BDNF-AS
opioids	ADGRV1
opioids	ZSCAN25
opioids	TAOK3
opioids	RHBDF2
opioids	DBH
opioids	CLCC1
opioids	LKAAEAR1
