Input Name	PubChem Name	CID	Molecular Formula	Molecular Weight	SMILES_code	SMILES_connectivity	Status	Notes	Name	Type	ID	Mol_Weight	LogP	sID
coptisine	5,7,17,19-tetraoxa-13-azoniahexacyclo[11.11.0.02,10.04,8.015,23.016,20]tetracosa-1(13),2,4(8),9,14,16(20),21,23-octaene	72322.0	C19H14NO4+	320.3	C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6	C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6	Found in Compounds							
corr-4a	N-[5-[2-(5-chloro-2-methoxyanilino)-1,3-thiazol-4-yl]-4-methyl-1,3-thiazol-2-yl]benzamide	1144671.0	C21H17ClN4O2S2	457.0	CC1=C(SC(=N1)NC(=O)C2=CC=CC=C2)C3=CSC(=N3)NC4=C(C=CC(=C4)Cl)OC	CC1=C(SC(=N1)NC(=O)C2=CC=CC=C2)C3=CSC(=N3)NC4=C(C=CC(=C4)Cl)OC	Found in Subs							
							Found in Substances (No Structure)		corticosteroids	Biologic/Complex		N/A (Biologic)	N/A (Biologic)	53790464
Corticosterone 21-stearate	[2-[(8S,9S,10R,11S,13S,14S,17S)-11-hydroxy-10,13-dimethyl-3-oxo-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] octadecanoate	126088.0	C39H64O5	612.9	CCCCCCCCCCCCCCCCCC(=O)OCC(=O)[C@H]1CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C	CCCCCCCCCCCCCCCCCC(=O)OCC(=O)C1CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C	Found in Compounds	Auto-corrected from corticosteroids for systemic use						
cortisone acetate	[2-[(8S,9S,10R,13S,14S,17R)-17-hydroxy-10,13-dimethyl-3,11-dioxo-1,2,6,7,8,9,12,14,15,16-decahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] acetate	5745.0	C23H30O6	402.5	CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O	CC(=O)OCC(=O)C1(CCC2C1(CC(=O)C3C2CCC4=CC(=O)CCC34C)C)O	Found in Compounds							
							Found in Substances (No Structure)		cosibelimab	Biologic/Complex		N/A (Biologic)	N/A (Biologic)	381608748
cotinine	(5S)-1-methyl-5-pyridin-3-ylpyrrolidin-2-one	854019.0	C10H12N2O	176.21	CN1[C@@H](CCC1=O)C2=CN=CC=C2	CN1C(CCC1=O)C2=CN=CC=C2	Found in Compounds							
cotinine glucuronide	3,4,5-trihydroxy-6-[3-(1-methyl-5-oxopyrrolidin-2-yl)pyridin-1-ium-1-yl]oxane-2-carboxylate	3398121.0	C16H20N2O7	352.34	CN1C(CCC1=O)C2=C[N+](=CC=C2)C3C(C(C(C(O3)C(=O)[O-])O)O)O	CN1C(CCC1=O)C2=C[N+](=CC=C2)C3C(C(C(C(O3)C(=O)[O-])O)O)O	Found in Compounds							
coumarin	chromen-2-one	323.0	C9H6O2	146.14	C1=CC=C2C(=C1)C=CC(=O)O2	C1=CC=C2C(=C1)C=CC(=O)O2	Found in Compounds							
							Found in Substances (No Structure)		coxibs	Biologic/Complex		N/A (Biologic)	N/A (Biologic)	134222217
creatine	2-[carbamimidoyl(methyl)amino]acetic acid	586.0	C4H9N3O2	131.13	CN(CC(=O)O)C(=N)N	CN(CC(=O)O)C(=N)N	Found in Compounds							
cremophor el	oxirane;propane-1,2,3-triol	104840.0	C5H12O4	136.15	C1CO1.C(C(CO)O)O	C1CO1.C(C(CO)O)O	Found in Compounds							
							Found in Substances (No Structure)		crizanlizumab-tmca	Biologic/Complex		N/A (Biologic)	N/A (Biologic)	384585456
crizotinib	3-[(1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy]-5-(1-piperidin-4-ylpyrazol-4-yl)pyridin-2-amine	11626560.0	C21H22Cl2FN5O	450.3	C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N	CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N	Found in Compounds							
Crizotinib	3-[(1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy]-5-(1-piperidin-4-ylpyrazol-4-yl)pyridin-2-amine	11626560.0	C21H22Cl2FN5O	450.3	C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N	CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N	Found in Compounds	Auto-corrected from crizotinib m10						
curcumin	(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione	969516.0	C21H20O6	368.4	COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O	COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O	Found in Compounds							
cyanocobalamin		166596686.0	C63H88CoN14O14P	1355.4	CC1=CC2=C(C=C1C)[N+](=CN2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)(O)O[C@H](C)CNC(=O)CC[C@@]4([C@H]([C@@H]5[C@]6([C@@]([C@@H](C(=N6)/C(=C\7/[C@@]([C@@H](/C(=C/C8=N/C(=C(\C4=N5)/C)/[C@H](C8(C)C)CCC(=N)[O-])/N7)CCC(=N)[O-])(C)CC(=O)N)/C)CCC(=N)[O-])(C)CC(=O)N)C)CC(=O)N)C)O.[C]#N.[Co+2]	CC1=CC2=C(C=C1C)[N+](=CN2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=N)[O-])N7)CCC(=N)[O-])(C)CC(=O)N)C)CCC(=N)[O-])(C)CC(=O)N)C)CC(=O)N)C)O.[C]#N.[Co+2]	Found in Compounds							
cyclobenzaprine	N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,9,11,13-heptaenylidene)propan-1-amine	2895.0	C20H21N	275.4	CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31	CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31	Found in Compounds							
cycloguanil	1-(4-chlorophenyl)-6,6-dimethyl-1,3,5-triazine-2,4-diamine	9049.0	C11H14ClN5	251.71	CC1(N=C(N=C(N1C2=CC=C(C=C2)Cl)N)N)C	CC1(N=C(N=C(N1C2=CC=C(C=C2)Cl)N)N)C	Found in Compounds							
cyclophosphamide	N,N-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine	2907.0	C7H15Cl2N2O2P	261.08	C1CNP(=O)(OC1)N(CCCl)CCCl	C1CNP(=O)(OC1)N(CCCl)CCCl	Found in Compounds							
cyclosporine	(3S,6S,9S,12R,15S,18S,21S,24S,30S,33S)-30-ethyl-33-[(E,1R,2R)-1-hydroxy-2-methylhex-4-enyl]-1,4,7,10,12,15,19,25,28-nonamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone	5284373.0	C62H111N11O12	1202.6	CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C	CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C	Found in Compounds							
cyproterone	(1S,2S,3S,5R,11R,12S,15R,16S)-15-acetyl-9-chloro-15-hydroxy-2,16-dimethylpentacyclo[9.7.0.02,8.03,5.012,16]octadeca-7,9-dien-6-one	5284537.0	C22H27ClO3	374.9	CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)[C@@H]5C[C@@H]5[C@]34C)Cl)C)O	CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)O	Found in Compounds							
cysteamine	2-aminoethanethiol	6058.0	C2H7NS	77.15	C(CS)N	C(CS)N	Found in Compounds							
cysteine-s-sulfate	(2R)-2-amino-3-sulfosulfanylpropanoic acid	115015.0	C3H7NO5S2	201.2	C([C@@H](C(=O)O)N)SS(=O)(=O)O	C(C(C(=O)O)N)SS(=O)(=O)O	Found in Compounds							
cytarabine	4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one	6253.0	C9H13N3O5	243.22	C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O	Found in Compounds							
dabigatran	3-[[2-[(4-carbamimidoylanilino)methyl]-1-methylbenzimidazole-5-carbonyl]-pyridin-2-ylamino]propanoic acid	216210.0	C25H25N7O3	471.5	CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N	CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N	Found in Compounds							
bilirubin diglucuronide	(2S,3S,4S,5R,6S)-6-[3-[2-[[3-[3-[(2S,3R,4S,5S,6S)-6-carboxy-3,4,5-trihydroxyoxan-2-yl]oxy-3-oxopropyl]-5-[(Z)-(3-ethenyl-4-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-2-yl]methyl]-5-[(Z)-(4-ethenyl-3-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-3-yl]propanoyloxy]-3,4,5-trihydroxyoxane-2-carboxylic acid	5280817.0	C45H52N4O18	936.9	CC1=C(NC(=C1CCC(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O)CC3=C(C(=C(N3)/C=C\4/C(=C(C(=O)N4)C)C=C)C)CCC(=O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O)/C=C\6/C(=C(C(=O)N6)C=C)C	CC1=C(NC(=C1CCC(=O)OC2C(C(C(C(O2)C(=O)O)O)O)O)CC3=C(C(=C(N3)C=C4C(=C(C(=O)N4)C)C=C)C)CCC(=O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C=C6C(=C(C(=O)N6)C=C)C	Found in Compounds	Auto-corrected from dabigatran glucuronide						
dabrafenib	N-[3-[5-(2-aminopyrimidin-4-yl)-2-tert-butyl-1,3-thiazol-4-yl]-2-fluorophenyl]-2,6-difluorobenzenesulfonamide	44462760.0	C23H20F3N5O2S2	519.6	CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F	CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F	Found in Compounds							
dacarbazine	4-[(E)-dimethylaminodiazenyl]-1H-imidazole-5-carboxamide	135398738.0	C6H10N6O	182.18	CN(C)/N=N/C1=C(NC=N1)C(=O)N	CN(C)N=NC1=C(NC=N1)C(=O)N	Found in Compounds							
daclatasvir	methyl N-[(2S)-1-[(2S)-2-[5-[4-[4-[2-[(2S)-1-[(2S)-2-(methoxycarbonylamino)-3-methylbutanoyl]pyrrolidin-2-yl]-1H-imidazol-5-yl]phenyl]phenyl]-1H-imidazol-2-yl]pyrrolidin-1-yl]-3-methyl-1-oxobutan-2-yl]carbamate	25154714.0	C40H50N8O6	738.9	CC(C)[C@@H](C(=O)N1CCC[C@H]1C2=NC=C(N2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CN=C(N5)[C@@H]6CCCN6C(=O)[C@H](C(C)C)NC(=O)OC)NC(=O)OC	CC(C)C(C(=O)N1CCCC1C2=NC=C(N2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CN=C(N5)C6CCCN6C(=O)C(C(C)C)NC(=O)OC)NC(=O)OC	Found in Compounds							
dacomitinib	(E)-N-[4-(3-chloro-4-fluoroanilino)-7-methoxyquinazolin-6-yl]-4-piperidin-1-ylbut-2-enamide	11511120.0	C24H25ClFN5O2	469.9	COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)/C=C/CN4CCCCC4	COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)C=CCN4CCCCC4	Found in Compounds							
dactinomycin	2-amino-4,6-dimethyl-3-oxo-1-N,9-N-bis[(3R,6S,7R,10S,16S)-7,11,14-trimethyl-2,5,9,12,15-pentaoxo-3,10-di(propan-2-yl)-8-oxa-1,4,11,14-tetrazabicyclo[14.3.0]nonadecan-6-yl]phenoxazine-1,9-dicarboxamide	457193.0	C62H86N12O16	1255.4	C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C	CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C	Found in Compounds							
dalcetrapib	S-[2-[[1-(2-ethylbutyl)cyclohexanecarbonyl]amino]phenyl] 2-methylpropanethioate	6918540.0	C23H35NO2S	389.6	CCC(CC)CC1(CCCCC1)C(=O)NC2=CC=CC=C2SC(=O)C(C)C	CCC(CC)CC1(CCCCC1)C(=O)NC2=CC=CC=C2SC(=O)C(C)C	Found in Compounds							
danazol	(1S,2R,13R,14S,17R,18S)-17-ethynyl-2,18-dimethyl-7-oxa-6-azapentacyclo[11.7.0.02,10.04,8.014,18]icosa-4(8),5,9-trien-17-ol	28417.0	C22H27NO2	337.5	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC5=C(C[C@]34C)C=NO5	CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5	Found in Compounds							
daniquidone	8-amino-10H-isoindolo[1,2-b]quinazolin-12-one	71750.0	C15H11N3O	249.27	C1C2=C(C=CC(=C2)N)N=C3N1C(=O)C4=CC=CC=C43	C1C2=C(C=CC(=C2)N)N=C3N1C(=O)C4=CC=CC=C43	Found in Compounds							
dantrolene	1-[(E)-[5-(4-nitrophenyl)furan-2-yl]methylideneamino]imidazolidine-2,4-dione	6914273.0	C14H10N4O5	314.25	C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-]	C1C(=O)NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-]	Found in Compounds							
dapoxetine	(1S)-N,N-dimethyl-3-naphthalen-1-yloxy-1-phenylpropan-1-amine	71353.0	C21H23NO	305.4	CN(C)[C@@H](CCOC1=CC=CC2=CC=CC=C21)C3=CC=CC=C3	CN(C)C(CCOC1=CC=CC2=CC=CC=C21)C3=CC=CC=C3	Found in Compounds							
dapsone	4-(4-aminophenyl)sulfonylaniline	2955.0	C12H12N2O2S	248.3	C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N	C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N	Found in Compounds							
daptomycin	(3S)-3-[[(2R)-4-amino-2-[[(2S)-2-(decanoylamino)-3-(1H-indol-3-yl)propanoyl]amino]-4-oxobutanoyl]amino]-4-[[(3S,6S,9R,15S,18R,21S,24S,30S,31R)-3-[2-(2-aminophenyl)-2-oxoethyl]-24-(3-aminopropyl)-15,21-bis(carboxymethyl)-6-[(2R)-1-carboxypropan-2-yl]-9-(hydroxymethyl)-18,31-dimethyl-2,5,8,11,14,17,20,23,26,29-decaoxo-1-oxa-4,7,10,13,16,19,22,25,28-nonazacyclohentriacont-30-yl]amino]-4-oxobutanoic acid	21585658.0	C72H101N17O26	1620.7	CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]3[C@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)[C@H](C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C	CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC3C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C	Found in Compounds							
darifenacin	2-[(3S)-1-[2-(2,3-dihydro-1-benzofuran-5-yl)ethyl]pyrrolidin-3-yl]-2,2-diphenylacetamide	444031.0	C28H30N2O2	426.5	C1CN(C[C@@H]1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5	C1CN(CC1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5	Found in Compounds							
darunavir	[(3aS,4R,6aR)-2,3,3a,4,5,6a-hexahydrofuro[2,3-b]furan-4-yl] N-[(2S,3R)-4-[(4-aminophenyl)sulfonyl-(2-methylpropyl)amino]-3-hydroxy-1-phenylbutan-2-yl]carbamate	213039.0	C27H37N3O7S	547.7	CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N	CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N	Found in Compounds							
dasabuvir	N-[6-[3-tert-butyl-5-(2,4-dioxopyrimidin-1-yl)-2-methoxyphenyl]naphthalen-2-yl]methanesulfonamide	56640146.0	C26H27N3O5S	493.6	CC(C)(C)C1=CC(=CC(=C1OC)C2=CC3=C(C=C2)C=C(C=C3)NS(=O)(=O)C)N4C=CC(=O)NC4=O	CC(C)(C)C1=CC(=CC(=C1OC)C2=CC3=C(C=C2)C=C(C=C3)NS(=O)(=O)C)N4C=CC(=O)NC4=O	Found in Compounds							
dasabuvir / ombitasvir / paritaprevir / ritonavir	N-[6-[3-tert-butyl-5-(2,4-dioxopyrimidin-1-yl)-2-methoxyphenyl]naphthalen-2-yl]methanesulfonamide;(1S,4R,6S,7Z,14S,18R)-N-cyclopropylsulfonyl-14-[(5-methylpyrazine-2-carbonyl)amino]-2,15-dioxo-18-phenanthridin-6-yloxy-3,16-diazatricyclo[14.3.0.04,6]nonadec-7-ene-4-carboxamide;methyl N-[(2S)-1-[(2S)-2-[[4-[(2S,5S)-1-(4-tert-butylphenyl)-5-[4-[[(2S)-1-[(2S)-2-(methoxycarbonylamino)-3-methylbutanoyl]pyrrolidine-2-carbonyl]amino]phenyl]pyrrolidin-2-yl]phenyl]carbamoyl]pyrrolidin-1-yl]-3-methyl-1-oxobutan-2-yl]carbamate;1,3-thiazol-5-ylmethyl N-[(2S,5S)-3-hydroxy-5-[[3-methyl-2-[[methyl-[(2-propan-2-yl-1,3-thiazol-4-yl)methyl]carbamoyl]amino]butanoyl]amino]-1,6-diphenylhexan-2-yl]carbamate	86291595.0	C153H185N23O25S4	2874.5	CC1=CN=C(C=N1)C(=O)N[C@H]2CCCCC/C=C\[C@@H]3C[C@]3(NC(=O)[C@@H]4C[C@H](CN4C2=O)OC5=NC6=CC=CC=C6C7=CC=CC=C75)C(=O)NS(=O)(=O)C8CC8.CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)CC([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O.CC(C)[C@@H](C(=O)N1CCC[C@H]1C(=O)NC2=CC=C(C=C2)[C@@H]3CC[C@H](N3C4=CC=C(C=C4)C(C)(C)C)C5=CC=C(C=C5)NC(=O)[C@@H]6CCCN6C(=O)[C@H](C(C)C)NC(=O)OC)NC(=O)OC.CC(C)(C)C1=CC(=CC(=C1OC)C2=CC3=C(C=C2)C=C(C=C3)NS(=O)(=O)C)N4C=CC(=O)NC4=O	CC1=CN=C(C=N1)C(=O)NC2CCCCCC=CC3CC3(NC(=O)C4CC(CN4C2=O)OC5=NC6=CC=CC=C6C7=CC=CC=C75)C(=O)NS(=O)(=O)C8CC8.CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O.CC(C)C(C(=O)N1CCCC1C(=O)NC2=CC=C(C=C2)C3CCC(N3C4=CC=C(C=C4)C(C)(C)C)C5=CC=C(C=C5)NC(=O)C6CCCN6C(=O)C(C(C)C)NC(=O)OC)NC(=O)OC.CC(C)(C)C1=CC(=CC(=C1OC)C2=CC3=C(C=C2)C=C(C=C3)NS(=O)(=O)C)N4C=CC(=O)NC4=O	Found in Compounds							
dasatinib	N-(2-chloro-6-methylphenyl)-2-[[6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl]amino]-1,3-thiazole-5-carboxamide	3062316.0	C22H26ClN7O2S	488.0	CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO	CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO	Found in Compounds							
daunorubicin	(7S,9S)-9-acetyl-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione	30323.0	C27H29NO10	527.5	C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O	CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O	Found in Compounds							
daunorubicinol	(7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-[(1S)-1-hydroxyethyl]-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione	443832.0	C27H31NO10	529.5	C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)([C@H](C)O)O)N)O	CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(C)O)O)N)O	Found in Compounds							
db-289	(Z)-but-2-enedioic acid;N'-methoxy-4-[5-[4-[(Z)-N'-methoxycarbamimidoyl]phenyl]furan-2-yl]benzenecarboximidamide	11691495.0	C24H24N4O7	480.5	CO/N=C(\N)/C1=CC=C(C=C1)C2=CC=C(O2)C3=CC=C(C=C3)/C(=N/OC)/N.C(=C\C(=O)O)\C(=O)O	CON=C(C1=CC=C(C=C1)C2=CC=C(O2)C3=CC=C(C=C3)C(=NOC)N)N.C(=CC(=O)O)C(=O)O	Found in Compounds							
debrisoquine	3,4-dihydro-1H-isoquinoline-2-carboximidamide	2966.0	C10H13N3	175.23	C1CN(CC2=CC=CC=C21)C(=N)N	C1CN(CC2=CC=CC=C21)C(=N)N	Found in Compounds							
deferasirox	4-[3,5-bis(2-hydroxyphenyl)-1,2,4-triazol-1-yl]benzoic acid	214348.0	C21H15N3O4	373.4	C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O	C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O	Found in Compounds							
deferiprone	3-hydroxy-1,2-dimethylpyridin-4-one	2972.0	C7H9NO2	139.15	CC1=C(C(=O)C=CN1C)O	CC1=C(C(=O)C=CN1C)O	Found in Compounds							
dehydroaripiprazole	7-[4-[4-(2,3-dichlorophenyl)piperazin-1-yl]butoxy]-1H-quinolin-2-one	10114519.0	C23H25Cl2N3O2	446.4	C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C(C(=CC=C4)Cl)Cl	C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C(C(=CC=C4)Cl)Cl	Found in Compounds							
deleobuvir	(E)-3-[2-[1-[[2-(5-bromopyrimidin-2-yl)-3-cyclopentyl-1-methylindole-6-carbonyl]amino]cyclobutyl]-3-methylbenzimidazol-5-yl]prop-2-enoic acid	56948249.0	C34H33BrN6O3	653.6	CN1C2=C(C=CC(=C2)C(=O)NC3(CCC3)C4=NC5=C(N4C)C=C(C=C5)/C=C/C(=O)O)C(=C1C6=NC=C(C=N6)Br)C7CCCC7	CN1C2=C(C=CC(=C2)C(=O)NC3(CCC3)C4=NC5=C(N4C)C=C(C=C5)C=CC(=O)O)C(=C1C6=NC=C(C=N6)Br)C7CCCC7	Found in Compounds							
demeclocycline	(4S,4aS,5aS,6S,12aR)-7-chloro-4-(dimethylamino)-1,6,10,11,12a-pentahydroxy-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide	54680690.0	C21H21ClN2O8	464.9	CN(C)[C@H]1[C@@H]2C[C@@H]3[C@@H](C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O	CN(C)C1C2CC3C(C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O	Found in Compounds							
							Found in Substances (No Structure)		denileukin diftitox	Biologic/Complex		N/A (Biologic)	N/A (Biologic)	46506950
