Effect_subcat;Entity_Affected
;OTHER:ASTHMA
;DISEASE:ASTHMA
;DISEASE:ASTHMA
;DISEASE:ASTHMA
;DISEASE:ASTHMA
;
;DISEASE:ASTHMA
;DISEASE:SCHIZOPHRENIA
;DISEASE:SCHIZOPHRENIA
;DISEASE:SCHIZOPHRENIA
;DISEASE:DIABETES_MELLITUS
;DISEASE:SCHIZOPHRENIA
;DISEASE:SCHIZOPHRENIA
;DISEASE:EPILEPSY
;DISEASE:ASTHMA
;DISEASE:SCHIZOPHRENIA
;DISEASE:MACULAR_DEGENERATION
;DISEASE:SCHIZOPHRENIA
;DISEASE:SCHIZOPHRENIA
;DISEASE:MACULAR_DEGENERATION
;DISEASE:EPILEPSY
;DISEASE:SCHIZOPHRENIA
;DISEASE:SCHIZOPHRENIA
;OTHER:DIABETES_MELLITUS_T2
;DISEASE:SCHIZOPHRENIA
;DISEASE:SCHIZOPHRENIA
;DISEASE:MACULAR_DEGENERATION
;
;DISEASE:SCHIZOPHRENIA
;DISEASE:SCHIZOPHRENIA
;DISEASE:NEOPLASMS, DISEASE:PAIN
;OTHER:GASTROINTESTINAL_STROMAL_TUMORS
;OTHER:GASTROINTESTINAL_STROMAL_TUMORS
;
;
;OTHER:SCHIZOPHRENIA
;OTHER:SURGERY
;DISEASE:HYPERTRIGLYCERIDEMIA
;DISEASE:ASTHMA
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;OTHER:NON-HODGKIN_LYMPHOMA, OTHER:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;DISEASE:MOOD_DISORDER
;DISEASE:SCHIZOPHRENIA
;DISEASE:SCHIZOPHRENIA
;OTHER:KIDNEY_TRANSPLANTATION
;DISEASE:SCHIZOPHRENIA
;OTHER:KIDNEY_TRANSPLANTATION
;OTHER:POSTOPERATIVE_PAIN
;
;DISEASE:SCHIZOPHRENIA
;DISEASE:CHRONIC_MYELOGENOUS_LEUKEMIA_BCR-ABL1_POSITIVE
;
;DISEASE:SCHIZOPHRENIA
;DISEASE:SCHIZOPHRENIA
;DISEASE:CORONARY_ARTERY_DISEASE
;DISEASE:HYPERTENSION
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;
;OTHER:PSORIASIS
;OTHER:PSORIASIS
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;
;DISEASE:SCHIZOPHRENIA
;
;OTHER:ALCOHOL_ABUSE
;OTHER:CROHN_DISEASE
;OTHER:CROHN_DISEASE
;DISEASE:DIABETES_MELLITUS_T2
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:HIV_INFECTIOUS_DISEASE
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:HIV_INFECTIOUS_DISEASE
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;OTHER:PSORIASIS
;DISEASE:CORONARY_ARTERY_DISEASE
;OTHER:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:CORONARY_ARTERY_DISEASE
;
;DISEASE:CYSTIC_FIBROSIS
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:PARKINSON_DISEASE
;OTHER:SCHIZOPHRENIA
;DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
;
;OTHER:SCHIZOPHRENIA
;OTHER:DYSLIPIDAEMIA
;DISEASE:CYSTIC_FIBROSIS
;DISEASE:CHRONIC_MYELOGENOUS_LEUKEMIA_BCR-ABL1_POSITIVE
;DISEASE:SCHIZOPHRENIA
;DISEASE:CYSTIC_FIBROSIS
;DISEASE:RENAL_CELL_CARCINOMA
;OTHER:BREAST_NEOPLASMS
;
;DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
;
;DISEASE:SCHIZOPHRENIA
;
;
;
;DISEASE:SCHIZOPHRENIA
;DISEASE:SCHIZOPHRENIA
;DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
;
;DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
;DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
;
;DISEASE:SCHIZOPHRENIA
;
;OTHER:COCAINE_DEPENDENCE
;OTHER:KIDNEY_DISORDER, OTHER:ANEMIA
;
;DISEASE:MACULAR_DEGENERATION
;DISEASE:HEART_FAILURE
;OTHER:GENETIC_VARIATION_AT_RS2289669
;DISEASE:NEOPLASMS
;DISEASE:NEOPLASMS
;DISEASE:EPILEPSY
;DISEASE:NEOPLASMS
;DISEASE:NEOPLASMS
;DISEASE:NEOPLASMS
;DISEASE:EPILEPSY
;DISEASE:NEOPLASMS
;
;DISEASE:KIDNEY_TRANSPLANTATION
;OTHER:DEATH
;OTHER:DEATH
;OTHER:CORONARY_ARTERY_DISEASE
;OTHER:CORONARY_ARTERY_DISEASE
;OTHER:CORONARY_ARTERY_DISEASE
;OTHER:HIV_INFECTIOUS_DISEASE
;DISEASE:PSORIASIS
;DISEASE:EPILEPSY
;DISEASE:EPILEPSY
;DISEASE:PSORIASIS
;OTHER:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;
;DISEASE:CLUSTER_HEADACHE
;DISEASE:PSORIASIS
;OTHER:SYSTEMIC_LUPUS_ERYTHEMATOSUS
;OTHER:PAIN
;OTHER:PAIN
;DISEASE:PSORIASIS
;DISEASE:NEOPLASMS
;OTHER:SYSTEMIC_LUPUS_ERYTHEMATOSUS
;DISEASE:DIABETES_MELLITUS_T2
;OTHER:POSTOPERATIVE_PAIN
;DISEASE:DIABETES_MELLITUS_T2
;DISEASE:NEOPLASMS
;DISEASE:EPILEPSY
;DISEASE:NEOPLASMS
;OTHER:KIDNEY_DISORDER, OTHER:ANEMIA
;DISEASE:EPILEPSY
;DISEASE:NEOPLASMS
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;DISEASE:NEOPLASMS
;DISEASE:EPILEPSY
;DISEASE:EPILEPSY
;DISEASE:NEOPLASMS
;DISEASE:SCHIZOPHRENIA
;DISEASE:HYPERLIPIDEMIAS
;DISEASE:PSORIASIS
;DISEASE:EPILEPSY
;DISEASE:HYPERLIPIDEMIAS
;DISEASE:PSORIASIS
;
;DISEASE:EPILEPSY
;
;DISEASE:EPILEPSY
;DISEASE:PSORIASIS
;
;
;DISEASE:EPILEPSY
;OTHER:POSTOPERATIVE_PAIN
;DISEASE:EPILEPSY
;OTHER:PAIN
;OTHER:POSTOPERATIVE_PAIN
;DISEASE:EPILEPSY
;DISEASE:HYPERTENSION
;
;
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:HIV_INFECTIOUS_DISEASE
;DISEASE:HIV_INFECTIOUS_DISEASE
;DISEASE:NEOPLASMS
;DISEASE:HIV_INFECTIOUS_DISEASE
;OTHER:WARFARIN_MAINTENANCE_TREATMENT
;
;
;DISEASE:NON-SMALL_CELL_LUNG_CARCINOMA
;DISEASE:NON-SMALL_CELL_LUNG_CARCINOMA
;DISEASE:NON-SMALL_CELL_LUNG_CARCINOMA
;DISEASE:NON-SMALL_CELL_LUNG_CARCINOMA
;DISEASE:SCHIZOPHRENIA
;
;DISEASE:SCHIZOPHRENIA
;DISEASE:SCHIZOPHRENIA
;DISEASE:SCHIZOPHRENIA
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:EPILEPSY
;
;OTHER:DIABETES_MELLITUS_T2
;
;OTHER:ALCOHOL_ABUSE
;DISEASE:ALCOHOL_ABUSE
;OTHER:SCHIZOPHRENIA
;OTHER:SCHIZOPHRENIA
;OTHER:SCHIZOPHRENIA
;OTHER:SCHIZOPHRENIA
;DISEASE:PSORIATIC_ARTHRITIS
;OTHER:SURGERY
;OTHER:SCHIZOPHRENIA
;DISEASE:DIABETES_MELLITUS_T2
;
;DISEASE:DIABETES_MELLITUS_T2
;DISEASE:COCAINE_DEPENDENCE
;DISEASE:PSORIATIC_ARTHRITIS,  DISEASE:CROHN_DISEASE,DISEASE:PSORIASIS, DISEASE:SPONDYLITIS
;DISEASE:TUBERCULOSIS
;DISEASE:OVARIAN_NEOPLASMS
;DISEASE:TUBERCULOSIS
;DISEASE:HYPERTENSION
;DISEASE:BETA-THALASSEMIA_AND_RELATED_DISEASES
;DISEASE:PSORIATIC_ARTHRITIS,  DISEASE:CROHN_DISEASE,DISEASE:PSORIASIS, DISEASE:SPONDYLITIS
;DISEASE:HYPERTENSION
;DISEASE:BETA-THALASSEMIA_AND_RELATED_DISEASES
;DISEASE:BETA-THALASSEMIA_AND_RELATED_DISEASES
;OTHER:DIABETES_MELLITUS_T2
;DISEASE:NON-SMALL_CELL_LUNG_CARCINOMA
;OTHER:NEOPLASMS, OTHER:PAIN
;DISEASE:EPILEPSY
;DISEASE:NON-SMALL_CELL_LUNG_CARCINOMA
;OTHER:SCHIZOPHRENIA
;OTHER:NEOPLASMS, OTHER:PAIN
;DISEASE:MYOCARDIAL_INFARCTION
;DISEASE:ATTENTION_DEFICIT_DISORDER_WITH_HYPERACTIVITY
;DISEASE:NON-SMALL_CELL_LUNG_CARCINOMA
;DISEASE:ASTHMA
;DISEASE:EPILEPSY
;DISEASE:EPILEPSY
;DISEASE:NON-SMALL_CELL_LUNG_CARCINOMA
;DISEASE:ASTHMA
;OTHER:KIDNEY_TRANSPLANTATION
;DISEASE:EPILEPSY
;
;DISEASE:ATTENTION_DEFICIT_DISORDER_WITH_HYPERACTIVITY
;DISEASE:ATTENTION_DEFICIT_DISORDER_WITH_HYPERACTIVITY
;OTHER:SCHIZOPHRENIA
;DISEASE:MACULAR_DEGENERATION
;OTHER:SCHIZOPHRENIA
;OTHER:SCHIZOPHRENIA
;
;OTHER:SCHIZOPHRENIA
;OTHER:SCHIZOPHRENIA
;DISEASE:ATRIAL_FIBRILLATION, DISEASE:VENOUS_THROMBOEMBOLISM
;DISEASE:CORONARY_ARTERY_DISEASE
;OTHER:SCHIZOPHRENIA
;OTHER:SCHIZOPHRENIA
;OTHER:HIV_INFECTIOUS_DISEASE
;DISEASE:SCHIZOPHRENIA
;DISEASE:MENOPAUSE, DISEASE:SCHIZOPHRENIA
;OTHER:EOSINOPHILIC_ESOPHAGITIS
;
;DISEASE:NON-SMALL_CELL_LUNG_CARCINOMA
;DISEASE:RHEUMATOID_ARTHRITIS
;DISEASE:MENOPAUSE, DISEASE:SCHIZOPHRENIA
;DISEASE:CORONARY_ARTERY_DISEASE
;DISEASE:BIPOLAR_DISORDER
;DISEASE:RHEUMATOID_ARTHRITIS
;DISEASE:BIPOLAR_DISORDER
;
;DISEASE:BIPOLAR_DISORDER
;
;DISEASE:BIPOLAR_DISORDER
;DISEASE:BIPOLAR_DISORDER
;DISEASE:BIPOLAR_DISORDER
;DISEASE:BIPOLAR_DISORDER
;DISEASE:HIV_INFECTIOUS_DISEASE
;DISEASE:HIV_INFECTIOUS_DISEASE
;DISEASE:CORONARY_ARTERY_DISEASE
;DISEASE:ATRIAL_FIBRILLATION, DISEASE:VENOUS_THROMBOEMBOLISM
;
;DISEASE:CORONARY_ARTERY_DISEASE
;
;
;DISEASE:TOBACCO_USE_DISORDER
;OTHER:RHEUMATOID_ARTHRITIS
;DISEASE:TOBACCO_USE_DISORDER
;DISEASE:TOBACCO_USE_DISORDER
;OTHER:GOUT
;DISEASE:BIPOLAR_DISORDER
;DISEASE:CORONARY_ARTERY_DISEASE
;
;OTHER:TOTAL_KNEE_OR_HIP_ARTHROPLASTY
;
;DISEASE:RHEUMATOID_ARTHRITIS
;
;DISEASE:BIPOLAR_DISORDER
;
;DISEASE:DIABETES_MELLITUS_T2
;DISEASE:BIPOLAR_DISORDER
;DISEASE:BIPOLAR_DISORDER
;OTHER:HEART_FAILURE
;DISEASE:ASTHMA
;
;DISEASE:BIPOLAR_DISORDER
;DISEASE:BIPOLAR_DISORDER
;DISEASE:BIPOLAR_DISORDER
;DISEASE:DIABETES_MELLITUS_T2
;DISEASE:BIPOLAR_DISORDER
;DISEASE:NON-SMALL_CELL_LUNG_CARCINOMA
;DISEASE:MULTIPLE_SCLEROSIS
;DISEASE:EPILEPSY
;OTHER:BREAST_NEOPLASMS
;
;DISEASE:ASTHMA
;
;DISEASE:EPILEPSY
;DISEASE:HYPERTENSION
;
;DISEASE:TOBACCO_USE_DISORDER
;DISEASE:SCHIZOPHRENIA
;EFFICACY:ESSENTIAL_HYPERTENSION
;DISEASE:SCHIZOPHRENIA
;
;
;DISEASE:SCHIZOPHRENIA
;DISEASE:ESSENTIAL_HYPERTENSION
;OTHER:KIDNEY_TRANSPLANTATION
;
;DISEASE:OVARIAN_NEOPLASMS
;DISEASE:HYPERTENSION
;DISEASE:HYPERTENSION
;
;DISEASE:MULTIPLE_SCLEROSIS
;
;OTHER:CARDIOVASCULAR_DISEASE, OTHER:HYPERLIPIDEMIAS
;DISEASE:CYSTIC_FIBROSIS
;OTHER:ATRIAL_FIBRILLATION, OTHER:VENOUS_THROMBOEMBOLISM,OTHER:HEART_VALVE_DISEASES
;OTHER:CARDIOVASCULAR_DISEASE, OTHER:HYPERLIPIDEMIAS
;OTHER:MAJOR_DEPRESSIVE_DISORDER
;OTHER:ATRIAL_FIBRILLATION, OTHER:VENOUS_THROMBOEMBOLISM,OTHER:HEART_VALVE_DISEASES
;DISEASE:HYPERTENSION
;
;DISEASE:HIV_INFECTIOUS_DISEASE
;DISEASE:CHRONIC_MYELOGENOUS_LEUKEMIA_BCR-ABL1_POSITIVE
;DISEASE:CHRONIC_MYELOGENOUS_LEUKEMIA_BCR-ABL1_POSITIVE
;DISEASE:BREAST_NEOPLASMS
;DISEASE:HEPATITIS_C_VIRUS_INFECTION
;OTHER:ATRIAL_FIBRILLATION, OTHER:VENOUS_THROMBOEMBOLISM,OTHER:HEART_VALVE_DISEASES
;DISEASE:CHRONIC_MYELOGENOUS_LEUKEMIA_BCR-ABL1_POSITIVE
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;DISEASE:CHRONIC_MYELOGENOUS_LEUKEMIA_BCR-ABL1_POSITIVE
;DISEASE:HYPERTENSION
;DISEASE:MALARIA, OTHER:PREGNANCY
;OTHER:SCHIZOPHRENIA
;OTHER:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:SCHIZOPHRENIA
;DISEASE:HYPERTENSION
;OTHER:ATRIAL_FIBRILLATION, OTHER:VENOUS_THROMBOEMBOLISM,OTHER:HEART_VALVE_DISEASES
;OTHER:CARDIOVASCULAR_DISEASE, OTHER:HYPERLIPIDEMIAS
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;
;OTHER:ATRIAL_FIBRILLATION, OTHER:VENOUS_THROMBOEMBOLISM,OTHER:HEART_VALVE_DISEASES
;
;DISEASE:MALARIA, OTHER:PREGNANCY
;OTHER:CARDIOVASCULAR_DISEASE, OTHER:HYPERLIPIDEMIAS
;
;
;
;
;DISEASE:MALARIA, OTHER:PREGNANCY
;
;DISEASE:RHEUMATOID_ARTHRITIS
;DISEASE:COLORECTAL_NEOPLASMS
;
;
;
;DISEASE:ALCOHOL_ABUSE
;DISEASE:HYPERTENSION
;DISEASE:COLORECTAL_NEOPLASMS
;DISEASE:RENAL_CELL_CARCINOMA
;OTHER:SCHIZOPHRENIA
;DISEASE:MALARIA, DISEASE:PREGNANCY
;DISEASE:CORONARY_ARTERY_DISEASE
;OTHER:EPILEPSY
;OTHER:POSTOPERATIVE_PAIN
;DISEASE:ESSENTIAL_HYPERTENSION
;OTHER:POSTOPERATIVE_PAIN
;OTHER:EPILEPSY
;OTHER:EPILEPSY
;OTHER:LIVER_TRANSPLANTATION
;
;DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
;DISEASE:HEPATITIS_C_VIRUS_INFECTION
;DISEASE:METABOLIC_BONE_DISORDER
;
;OTHER:PAIN
;OTHER:SCHIZOPHRENIA
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:COLORECTAL_NEOPLASMS
;OTHER:EPILEPSY
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;OTHER:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:RHEUMATOID_ARTHRITIS
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:RHEUMATOID_ARTHRITIS
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;OTHER:KIDNEY_TRANSPLANTATION
;DISEASE:BREAST_NEOPLASMS
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:THROMBOEMBOLISM
;DISEASE:RHEUMATOID_ARTHRITIS
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:THROMBOEMBOLISM
;DISEASE:COLORECTAL_NEOPLASMS
;OTHER:HEMODIALYSIS_TREATMENT
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:HYPERTROPHY, LEFT_VENTRICULAR
;DISEASE:HYPERTROPHY, LEFT_VENTRICULAR
;DISEASE:COLORECTAL_NEOPLASMS
;OTHER:HEMODIALYSIS_TREATMENT
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;OTHER:KIDNEY_TRANSPLANTATION
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;OTHER:KIDNEY_TRANSPLANTATION
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;OTHER:BREAST_NEOPLASMS
;
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;OTHER:CYSTIC_FIBROSIS
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;OTHER:CROHN_DISEASE
;OTHER:EPILEPSY
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;OTHER:EPILEPSY
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;OTHER:EPILEPSY
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;
;OTHER:BREAST_NEOPLASMS
;DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
;
;OTHER:HEART_FAILURE
;
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
;
;DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
;DISEASE:INFLAMMATORY_BOWEL_DISEASES
;DISEASE:SCHIZOPHRENIA
;DISEASE:MULTIPLE_SCLEROSIS
;DISEASE:ANGINA_PECTORIS
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;DISEASE:INFLAMMATORY_BOWEL_DISEASES
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:INFLAMMATORY_BOWEL_DISEASES
;DISEASE:TRANSPLANTATION
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:INFLAMMATORY_BOWEL_DISEASES
;DISEASE:KIDNEY_TRANSPLANTATION
;OTHER:HEART_FAILURE
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:HYPERTRIGLYCERIDEMIA
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;
;DISEASE:HYPERTRIGLYCERIDEMIA
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:MULTIPLE_SCLEROSIS
;DISEASE:KIDNEY_TRANSPLANTATION
;
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;EFFICACY:EPILEPSY
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;EFFICACY:EPILEPSY
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;EFFICACY:EPILEPSY
;OTHER:PSORIASIS
;DISEASE:HYPERTROPHY, LEFT_VENTRICULAR
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:RHEUMATOID_ARTHRITIS
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:RHEUMATOID_ARTHRITIS
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;OTHER:BREAST_NEOPLASMS
;EFFICACY:EPILEPSY
;OTHER:ATRIAL_FIBRILLATION
;DISEASE:HYPERTROPHY, LEFT_VENTRICULAR
;DISEASE:HIV_INFECTIOUS_DISEASE
;OTHER:PSORIASIS
;DISEASE:HYPERTROPHY, LEFT_VENTRICULAR
;OTHER:ATRIAL_FIBRILLATION
;DISEASE:HIV_INFECTIOUS_DISEASE
;
;
;DISEASE:HIV_INFECTIOUS_DISEASE
;DISEASE:SCHIZOPHRENIA
;DISEASE:RHEUMATOID_ARTHRITIS
;DISEASE:HYPERTENSION
;DISEASE:HIV_INFECTIOUS_DISEASE
;DISEASE:GASTROESOPHAGEAL_REFLUX
;DISEASE:POSTOPERATIVE_PAIN
;DISEASE:HIV_INFECTIOUS_DISEASE
;
;DISEASE:RHEUMATOID_ARTHRITIS
;
;DISEASE:DIABETES_MELLITUS_T2
;
;
;
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;
;DISEASE:DIABETES_MELLITUS_T2
;DISEASE:HYPERTENSION
;
;DISEASE:HYPERTENSION
;DISEASE:COLORECTAL_NEOPLASMS
;
;DISEASE:HYPERTENSION
;
;DISEASE:HYPERTRIGLYCERIDEMIA
;DISEASE:HYPERCHOLESTEROLEMIA
;OTHER:HIV_INFECTIOUS_DISEASE
;
;DISEASE:DEPRESSION
;
;
;
;OTHER:ATRIAL_FIBRILLATION, OTHER:VENOUS_THROMBOEMBOLISM,OTHER:HEART_VALVE_DISEASES
;OTHER:ATRIAL_FIBRILLATION, OTHER:VENOUS_THROMBOEMBOLISM,OTHER:HEART_VALVE_DISEASES
;OTHER:TUBERCULOSIS
;OTHER:HIV_INFECTIOUS_DISEASE
;
;
;
;OTHER:ATRIAL_FIBRILLATION, OTHER:VENOUS_THROMBOEMBOLISM,OTHER:HEART_VALVE_DISEASES
;
;OTHER:KIDNEY_TRANSPLANTATION
;OTHER:OPIOID-RELATED_DISORDERS
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;OTHER:KIDNEY_TRANSPLANTATION
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;
;DISEASE:ERECTILE_DYSFUNCTION
;
;DISEASE:ERECTILE_DYSFUNCTION
;
;DISEASE:HYPERTENSION
;DISEASE:BREAST_NEOPLASMS
;DISEASE:BREAST_NEOPLASMS
;OTHER:OPIOID-RELATED_DISORDERS
;DISEASE:PAROXYSMAL_NOCTURNAL_HEMOGLOBINURIA
;
;OTHER:KIDNEY_TRANSPLANTATION
;OTHER:KIDNEY_TRANSPLANTATION
;
;
;
;
;DISEASE:SCHIZOPHRENIA
;OTHER:KIDNEY_TRANSPLANTATION
;
;
;DISEASE:SCHIZOPHRENIA
;OTHER:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;DISEASE:ACUTE_CORONARY_SYNDROME
;DISEASE:HEART_FAILURE
;OTHER:HYPERTROPHY, LEFT_VENTRICULAR
;OTHER:ATRIAL_FIBRILLATION, OTHER:VENOUS_THROMBOEMBOLISM,OTHER:HEART_VALVE_DISEASES
;DISEASE:BREAST_NEOPLASMS
;DISEASE:STOMACH_NEOPLASMS
;DISEASE:HEART_FAILURE
;DISEASE:ACUTE_CORONARY_SYNDROME
;DISEASE:ACUTE_CORONARY_SYNDROME
;DISEASE:BREAST_NEOPLASMS
;OTHER:MAJOR_DEPRESSIVE_DISORDER
;OTHER:ATRIAL_FIBRILLATION, OTHER:VENOUS_THROMBOEMBOLISM,OTHER:HEART_VALVE_DISEASES
;DISEASE:ATTENTION_DEFICIT_DISORDER_WITH_HYPERACTIVITY
;DISEASE:ACUTE_CORONARY_SYNDROME
;OTHER:SCHIZOPHRENIA
;DISEASE:ACUTE_CORONARY_SYNDROME
;OTHER:HEART_VALVE_REPLACEMENT
;DISEASE:HYPERLIPIDEMIAS
;DISEASE:EPILEPSY
;
;OTHER:PAIN, OTHER:NEOPLASMS
;OTHER:PAIN, OTHER:NEOPLASMS
;OTHER:HEART_VALVE_REPLACEMENT
;DISEASE:FUNGAL_INFECTIOUS_DISEASE
;OTHER:PAIN, OTHER:NEOPLASMS
;OTHER:HYPERTROPHY, LEFT_VENTRICULAR
;OTHER:HEPATITIS_B, CHRONIC
;
;DISEASE:BREAST_NEOPLASMS
;OTHER:PAIN, OTHER:NEOPLASMS
;DISEASE:HYPERTRIGLYCERIDEMIA
;OTHER:HEPATITIS_B, CHRONIC
;DISEASE:HIV_INFECTIOUS_DISEASE
;OTHER:PAIN, OTHER:NEOPLASMS
;OTHER:HEART_VALVE_REPLACEMENT
;OTHER:HYPERTROPHY, LEFT_VENTRICULAR
;DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
;DISEASE:HYPERCHOLESTEROLEMIA
;DISEASE:HYPERCHOLESTEROLEMIA
;DISEASE:CYSTIC_FIBROSIS
;DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
;DISEASE:CYSTIC_FIBROSIS
;DISEASE:CYSTIC_FIBROSIS
;DISEASE:NON-SMALL_CELL_LUNG_CARCINOMA
;DISEASE:HYPERTRIGLYCERIDEMIA
;
;DISEASE:AUTISM_SPECTRUM_DISORDER
;
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:POSTOPERATIVE_PAIN
;DISEASE:RHEUMATOID_ARTHRITIS
;OTHER:ASTHMA
;
;OTHER:BIPOLAR_DISORDER
;OTHER:KIDNEY_TRANSPLANTATION
;DISEASE:RHEUMATOID_ARTHRITIS
;DISEASE:RHEUMATOID_ARTHRITIS
;
;
;
;DISEASE:RHEUMATOID_ARTHRITIS
;DISEASE:RHEUMATOID_ARTHRITIS
;DISEASE:RHEUMATOID_ARTHRITIS
;
;DISEASE:RHEUMATOID_ARTHRITIS
;
;DISEASE:STOMACH_NEOPLASMS
;
;DISEASE:DEPRESSION
;
;OTHER:RHEUMATOID_ARTHRITIS
;DISEASE:GOUT
;
;
;OTHER:TUBERCULOSIS
;
;DISEASE:COLORECTAL_NEOPLASMS
;DISEASE:COLORECTAL_NEOPLASMS
;DISEASE:BURKITT_LYMPHOMA, DISEASE:T-CELL_LYMPHOMA,DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;OTHER:TUBERCULOSIS
;DISEASE:BURKITT_LYMPHOMA, DISEASE:T-CELL_LYMPHOMA,DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;OTHER:LUNG_NEOPLASMS, OTHER:POSTOPERATIVE_PAIN
;DISEASE:AUTISM_SPECTRUM_DISORDER
