ATC;COD_ATC;Descripcion;;;;;;
5;C07FB07;BISOPROLOL ASOCIADO A OTROS ANTIHIPERTENSIVOS;;;;;;
4;C07FX;Betabloqueantes, otras combinaciones;;;;;;
5;C07FX01;Propranolol y otras combinaciones;;;;;;
5;C07FX06; Carvedilol e Ivabradina;;;;;;
2;C08;BLOQUEANTES DE LOS CANALES DEL CALCIO;;;;;;
3;C08C;BLOQ. CANALES CALCIO SELECTIVOS EFECTO VASCULAR;;;;;;
4;C08CA;DERIVADOS DE DIHIDROPIRIDINA (BLOQUEANTES CALCIO EFECT.VASC);;;;;;
5;C08CA01;AMLODIPINO;;;;;;
5;C08CA02;FELODIPINO;;;;;;
5;C08CA03;ISRADIPINO;;;;;;
5;C08CA04;NICARDIPINO;;;;;;
5;C08CA05;NIFEDIPINO;;;;;;
5;C08CA06;NIMODIPINO;;;;;;
5;C08CA07;NISOLDIPINO;;;;;;
5;C08CA08;NITRENDIPINO;;;;;;
5;C08CA09;LACIDIPINO;;;;;;
5;C08CA10;NIVALDIPINO;;;;;;
5;C08CA11;MANIDIPINO;;;;;;
5;C08CA12;BARNIDIPINO;;;;;;
5;C08CA13;LERCANIDIPINO;;;;;;
5;C08CA16;CLEVIDIPINA;;;;;;
4;C08CX;OTROS BLOQUEANTES DE CANALES DEL CALCIO CON EFECTO VASCULAR;;;;;;
5;C08CX01;MIBEFRADIL;;;;;;
3;C08D;BLOQ. CANALES CALCIO SELECTIVOS EFECTO CARDIACO;;;;;;
4;C08DA;DERIVADOS DE FENILALQUILAMINA (BLOQUEANTES CALCIO SELECTIV.);;;;;;
5;C08DA01;VERAPAMILO;;;;;;
5;C08DA51;VERAPAMIL, ASOCIACIONES;;;;;;
4;C08DB;DERIVADOS DE BENZOTIAPINA (BLOQUEANTES CALCIO CARDIO-SELECT);;;;;;
5;C08DB01;DILTIAZEM;;;;;;
3;C08G;Bloqueantes de canales de calcio y diureticos;;;;;;
4;C08GA;Bloqueantes de canales de calcio y diureticos;;;;;;
5;C08GA02; Amlodipino y diureticos;;;;;;
5;C08GANE;Bloqueantes de canales de calcio y diureticos NE;;;;;;
2;C09;ANTIHIPERTENSIVOS ACCION SISTEMA RENINA-ANGIOTENS.;;;;;;
3;C09A;INHIBIDORES ENZIMA CONVERTASA ANGIOTENSINA -IECA-;;;;;;
4;C09AA;INHIBIDORES ENZIMA CONVERTASA ANGIOTENSINA SOLOS;;;;;;
5;C09AA01;CAPTOPRIL;;;;;;
5;C09AA02;ENALAPRIL;;;;;;
5;C09AA03;LISINOPRIL;;;;;;
5;C09AA04;PERINDOPRIL;;;;;;
5;C09AA05;RAMIPRIL;;;;;;
5;C09AA06;QUINAPRIL;;;;;;
5;C09AA07;BENAZEPRIL;;;;;;
5;C09AA08;CILAZAPRIL;;;;;;
5;C09AA09;FOSINOPRIL;;;;;;
5;C09AA10;TRANDOLAPRIL;;;;;;
5;C09AA11;ESPIRAPRIL;;;;;;
5;C09AA12;DELAPRIL;;;;;;
5;C09AA13;MOEXIPRIL;;;;;;
5;C09AA14;TEMOCAPRIL;;;;;;
5;C09AA15;ZOFENOPRIL;;;;;;
5;C09AA16;IMIDAPRIL;;;;;;
3;C09B;INHIBIDORES ENZIMA CONVERTASA ANGIOTENSINA EN ASOC;;;;;;
4;C09BA;INHIB.ENZIMA CONVERTASA ANGIOTENSINA ASOCIADOS A DIURETICOS;;;;;;
5;C09BA01;CAPTOPRIL+DIURETICOS;;;;;;
5;C09BA02;ENALAPRIL+DIURETICOS;;;;;;
5;C09BA03;LISINOPRIL+DIURETICOS;;;;;;
5;C09BA04;PERINDOPRIL+DIURETICOS;;;;;;
5;C09BA05;RAMIPRIL+DIURETICOS;;;;;;
5;C09BA06;QUINAPRIL+DIURETICOS;;;;;;
5;C09BA07;BENAZEPRIL+DIURETICOS;;;;;;
5;C09BA08;CILAZAPRIL+DIURETICOS;;;;;;
5;C09BA09;FOSINOPRIL+DIURETICOS;;;;;;
5;C09BA13;MOEXIPRIL+DIURETICOS;;;;;;
5;C09BA15;ZOFENOPRIL+DIURETICOS;;;;;;
5;C09BANE;INHIB.ENZIMA CONVERTASA ANGIOTENSINA ASOCIADOS A DIURETICOS NE;;;;;;
4;C09BB;INHIB.ENZIM.CONVERT.ANGIOT.ASOC. BLOQUEANTES CANALES CALCIO;;;;;;
5;C09BB02;ENALAPRIL+LERCANIDIPINO;;;;;;
5;C09BB03;LISINOPRIL+AMLODIPINO;;;;;;
5;C09BB04;PERINDOPRIL+AMLODIPINO;;;;;;
5;C09BB05;RAMIPRIL+FELODIPINO;;;;;;
5;C09BB06;ENALAPRIL+NITRENDIPINO;;;;;;
5;C09BB07;Ramipril y amlodipino;;;;;;
5;C09BB10;TRANDOLAPRIL+VERAPAMILO;;;;;;
5;C09BB12;DELAPRIL+MANIDIPINO;;;;;;
4;C09BX;Inhibidores de la ECA, otras combinaciones;;;;;;
5;C09BX01;Perindopril/Amlodipino/Indapamida;;;;;;
3;C09C;ANTAGONISTAS ANGIOTENSINA II;;;;;;
4;C09CA;ANTAGONISTAS ANGIOTENSINA II SOLOS;;;;;;
5;C09CA01;LOSARTAN;;;;;;
5;C09CA02;EPROSARTAN;;;;;;
5;C09CA03;VALSARTAN;;;;;;
5;C09CA04;IRBESARTAN;;;;;;
5;C09CA05;TASOSARTAN;;;;;;
5;C09CA06;CANDESARTAN;;;;;;
5;C09CA07;TELMISARTAN;;;;;;
5;C09CA08;OLMESARTAN MEDOXOMILO;;;;;;
5;C09CA09;AZILSARTAN MEDOXOMILO;;;;;;
5;C09CANE;ANTAGONISTAS ANGIOTENSINA II SOLOS NE;;;;;;
3;C09D;ANTAGONISTAS ANGIOTENSINA II EN ASOCIACION;;;;;;
4;C09DA;ANTAGONISTAS ANGIOTENSINA II ASOCIADOS A DIURETICOS;;;;;;
5;C09DA01;LOSARTAN+DIURETICOS;;;;;;
5;C09DA02;EPROSARTAN+DIURETICOS;;;;;;
5;C09DA03;VALSARTAN+DIURETICOS;;;;;;
5;C09DA04;IRBESARTAN+DIURETICOS;;;;;;
5;C09DA06;CANDESARTAN+DIURETICOS;;;;;;
5;C09DA07;TELMISARTAN+DIURETICOS;;;;;;
5;C09DA08;OLMESARTAN MEDOXOMILO+DIURETICOS;;;;;;
5;C09DANE;ANTAGONISTAS ANGIOTENSINA II ASOCIADOS A DIURETICOS NE;;;;;;
4;C09DB;ANTAGONISTAS ANGIOTENSINA II ASOCIADOS A BLOQ.CANALES CALCIO;;;;;;
5;C09DB01;VALSARTAN+AMLODIPINO;;;;;;
5;C09DB02;OLMESARTAN MEDOXOMILO+AMLODIPINO;;;;;;
5;C09DB04;TELMISARTAN+AMLODIPINO;;;;;;
5;C09DB05;IRBESARTAN + AMLODIPINO;;;;;;
5;C09DB07;Candesartan y amlodipino;;;;;;
4;C09DX;ANTAGONISTAS ANGIOTENSIONA II, OTRAS ASOCIACIONES;;;;;;
5;C09DX01;VALSARTAN+AMLODIPINO+HIDROCLOROTIAZIDA;;;;;;
5;C09DX02;VALSARTAN+ALISKIREN;;;;;;
5;C09DX03;OLMESARTAN MEDOXOMILO + AMLODIPINO + HIDROCLOROTIAZIDA;;;;;;
5;C09DX04;Valsartan y sacubitrilo;;;;;;
3;C09X;OTROS AGENTES DE ACCION SOBRE SIST.RENINA-ANGIOTENSINA;;;;;;
4;C09XA;INHIBIDORES DE LA RENINA (ACC.SIST.RENINA-ANGIOTENSINA.);;;;;;
5;C09XA01;REMIKIREN;;;;;;
5;C09XA02;ALISKIREN;;;;;;
5;C09XA52;ALISKIREN + HIDROCLOROTIAZIDA;;;;;;
5;C09XA53;ALISKIREN + AMLODIPINO;;;;;;
5;C09XA54;ALISKIREN + AMLODIPINO + HIDROCLOROTIAZIDA;;;;;;
2;C10;MODIFICADORES DE LOS LIPIDOS;;;;;;
3;C10A;MODIFICADORES DE LOS LIPIDOS SOLOS;;;;;;
4;C10AA;INHIBIDORES DE LA HMG-CoA REDUCTASA (MODIFICADORES LIPIDOS);;;;;;
5;C10AA01;SIMVASTATINA;;;;;;
5;C10AA02;LOVASTATINA;;;;;;
5;C10AA03;PRAVASTATINA;;;;;;
5;C10AA04;FLUVASTATINA;;;;;;
5;C10AA05;ATORVASTATINA;;;;;;
5;C10AA06;CERIVASTATINA;;;;;;
5;C10AA07;ROSUVASTATINA;;;;;;
5;C10AA08;PITAVASTATINA;;;;;;
5;C10AANE;INHIBIDORES DE LA HMG-CoA REDUCTASA (MODIFICADORES LIPIDOS) NE;;;;;;
4;C10AB;FIBRATOS (MODIFICADORES DE LIPIDOS);;;;;;
5;C10AB01;CLOFIBRATO;;;;;;
5;C10AB02;BEZAFIBRATO;;;;;;
5;C10AB03;CLOFIBRATO ALUMINIO;;;;;;
5;C10AB04;GEMFIBROZILO;;;;;;
5;C10AB05;FENOFIBRATO;;;;;;
5;C10AB09;ETOFIBRATO;;;;;;
5;C10AB10;CLOFIBRIDA;;;;;;
5;C10AB11;FENOFIBRATO DE COLINA;;;;;;
5;C10AB51;CLOFIBRATO EN ASOCIACION;;;;;;
5;C10AB53;CLOFIBRATO ALUMINIO EN ASOCIACION;;;;;;
5;C10AB91;BINIFIBRATO;;;;;;
5;C10AB92;PLAFIBRIDA;;;;;;
5;C10AB93;PIRIFIBRATO;;;;;;
5;C10AB94;CLOFIBRATO+PIRICARBATO;;;;;;
5;C10AB96;TOCOFIBRATO;;;;;;
5;C10AB97;CLOFIBRATO ALUMINIO+PIRICARBATO;;;;;;
5;C10AB98;NICOFIBRATO;;;;;;
4;C10AC;SECUESTRANTES DE ACIDOS BILIARES (MODIFICADORES DE LIPIDOS);;;;;;
5;C10AC01;COLESTIRAMINA;;;;;;
5;C10AC02;COLESTIPOL;;;;;;
5;C10AC03;COLEXTRAN;;;;;;
5;C10AC04;COLEVESELAM;;;;;;
4;C10AD;ACIDO NICOTINICO Y DERIVADOS (MODIFICADORES DE LIPIDOS);;;;;;
5;C10AD01;NICERITROL;;;;;;
5;C10AD05;PIRIDILCARBINOL (NICOTINIL ALCOHOL);;;;;;
5;C10AD06;ACIPIMOX;;;;;;
5;C10AD52;NICOTINICO ACIDO EN ASOCIACION;;;;;;
5;C10AD91;NICOTINATO DE TOCOFEROL;;;;;;
5;C10AD92;NICOTINATO TOCOFEROL EN ASOCIACION;;;;;;
5;C10AD93;PIRICARBATO;;;;;;
5;C10AD94;PIRICARBATO EN ASOCIACION;;;;;;
5;C10AD95;PIROZADILO;;;;;;
5;C10AD97;NICOCLONATO;;;;;;
5;C10AD98;NICOTINICO ACIDO+PENTOSANOPOLISULFURICO;;;;;;
5;C10AD99;NICOTINATO XANTINOL+MUCOPOLISACARIDO;;;;;;
4;C10AX;OTROS MODIFICADORES DE LOS LIPIDOS;;;;;;
5;C10AX02;PROBUCOL;;;;;;
5;C10AX03;TIADENOL;;;;;;
5;C10AX06;TRIGLICERIDOS OMEGA-3, INCL. OTROS ESTERES Y ACIDOS;;;;;;
5;C10AX08;POLICOSANOL;;;;;;
5;C10AX09;EZETIMIBA;;;;;;
5;C10AX10;Alipogen tiparvovec;;;;;;
5;C10AX12;Lomitapida;;;;;;
5;C10AX13;Evolocumab;;;;;;
5;C10AX14;Alirocumab;;;;;;
5;C10AX56;TRIGLICERIDOS OMEGA-3 EN ASOCIACION;;;;;;
5;C10AX90;DEXTROTIROSINA;;;;;;
5;C10AX91;SULODEXIDA;;;;;;
5;C10AX94;HEPARINOIDE;;;;;;
5;C10AX95;SULTOSILATO DE PIPERAZINA;;;;;;
5;C10AX97;AMILASA+LIPASA+TIROSINASA;;;;;;
5;C10AX99;FOSFOLIPIDOS EN ASOCIACION;;;;;;
5;C10AXNE;OTROS MODIFICADORES DE LOS LIPIDOS NE;;;;;;
3;C10B;MODIFICADORES DE LOS LIPIDOS EN ASOCIACION;;;;;;
4;C10BA;INHIBIDORES DE LA HMG-CoA REDUCT. ASOC. A OTROS MODIFICAD.;;;;;;
5;C10BA01;LOVASTATINA ASOCIADA A ACIDO NICOTINICO;;;;;;
5;C10BA02;SIMVASTATINA ASOCIADA A EZETIMIBA;;;;;;
5;C10BA03;ATORVASTATINA ASOCIADA A FENOFIBRATO;;;;;;
5;C10BA04;Simvastatina y fenofibrato;;;;;;
5;C10BA05;Atorvastatina y Ezetimiba;;;;;;
5;C10BA06;Rosuvastatina y Ezetimiba;;;;;;
4;C10BX;INHIBIDORES HMG-CoA REDUCTASA OTRAS ASOCIACIONES;;;;;;
5;C10BX01;SIMVASTATINA ASOCIADA A ACIDO ACETILSALICILICO;;;;;;
5;C10BX02;PRAVASTATINA ASOCIADA A ACIDO ACETILSALICILICO;;;;;;
5;C10BX03;ATORVASTATINA ASOCIADA A AMLODIPINO;;;;;;
5;C10BX04;SIMVASTATINA + ACETILSALICILICO ACIDO + RAMIPRILO;;;;;;
5;C10BX06;Atorvastatina, acido acetilsalicilico y ramipril;;;;;;
5;C10BX09;Rosuvastatina y amlodipino;;;;;;
5;C10BX10;ROSUVASTATINA Y VALSARTAN;;;;;;
1;D;DERMATOLOGICOS;;;;;;
2;D01;ANTIFUNGICOS DE USO TOPICO;;;;;;
3;D01A;ANTIFUNGICOS DE USO TOPICO;;;;;;
4;D01AA;ANTIBIOTICOS (ANTIFUNGICOS USO TOPICO);;;;;;
5;D01AA01;NISTATINA;;;;;;
5;D01AA02;NATAMICINA;;;;;;
5;D01AA03;HACHIMICINA;;;;;;
5;D01AA04;PECILOCINA;;;;;;
5;D01AA06;MEPARTRICINA;;;;;;
5;D01AA07;PIRROLNITRINA;;;;;;
5;D01AA08;GRISEOFULVINA;;;;;;
5;D01AA51;NISTATINA DEN ASOCIACION;;;;;;
4;D01AC;DERIVADOS IMIDAZOL Y TRIAZOL (ANTIFUNG.USO TOPICO);;;;;;
5;D01AC01;CLOTRIMAZOL;;;;;;
5;D01AC02;MICONAZOL;;;;;;
5;D01AC03;ECONAZOL;;;;;;
5;D01AC04;CLOMIDAZOL;;;;;;
5;D01AC05;ISOCONAZOL;;;;;;
5;D01AC06;TIABENDAZOL;;;;;;
5;D01AC07;TIOCONAZOL;;;;;;
5;D01AC08;KETOCONAZOL;;;;;;
5;D01AC09;SULCONAZOL;;;;;;
5;D01AC10;BIFONAZOL;;;;;;
5;D01AC11;OXICONAZOL;;;;;;
5;D01AC12;FENTICONAZOL;;;;;;
5;D01AC13;OMOCONAZOL;;;;;;
5;D01AC14;SERTACONAZOL;;;;;;
5;D01AC15;FLUCONAZOL;;;;;;
5;D01AC16;FLUTRIMAZOL;;;;;;
5;D01AC17;Eberconazol;;;;;;
5;D01AC51;CLOTRIMAZOL EN ASOCIACION;;;;;;
5;D01AC52;MICONAZOL EN ASOCIACION;;;;;;
5;D01AC91;EBERCONAZOL;;;;;;
4;D01AE;OTROS ANTIFUNGICOS DE USO TOPICO;;;;;;
5;D01AE01;BROMOSALICILCLOROANILIDA;;;;;;
5;D01AE02;METILROSANILINA (VIOLETA DE GENCIANA);;;;;;
5;D01AE03;TRIBROMOMETACRESOL;;;;;;
5;D01AE04;UNDECILENICO ACIDO;;;;;;
5;D01AE05;POLINOXILINA;;;;;;
5;D01AE07;CLOROFENESINA;;;;;;
5;D01AE08;TICLATONA;;;;;;
5;D01AE09;SULBENTINA;;;;;;
5;D01AE10;ETIL HIDROXIBENZOATO;;;;;;
5;D01AE11;HALOPROGINA;;;;;;
5;D01AE12;SALICILICO ACIDO;;;;;;
5;D01AE13;SULFURO SELENIO;;;;;;
5;D01AE14;CICLOPIROX;;;;;;
5;D01AE15;TERBINAFINA;;;;;;
5;D01AE16;AMOROLFINA;;;;;;
5;D01AE17;DIMAZOL;;;;;;
5;D01AE18;TOLNAFTATO;;;;;;
5;D01AE19;TOLCICLATO;;;;;;
5;D01AE20;ASOCIACIONES (ANTIFUNGICOS TOPICOS);;;;;;
5;D01AE21;FLUCITOSINA;;;;;;
5;D01AE22;NAFTIFINA;;;;;;
5;D01AE23;BUTENAFINA;;;;;;
5;D01AE51;BROMOSALICILCLOROANILIDA EN ASOCIACION;;;;;;
5;D01AE52;METILROSANILINA EN ASOCIACION;;;;;;
5;D01AE54;UNDECILENICO ACIDO EN ASOCIACION;;;;;;
5;D01AE62;SALICILICO ACIDO EN ASOCIACION;;;;;;
5;D01AENE;OTROS ANTIFUNGICOS DE USO TOPICO NE;;;;;;
3;D01B;ANTIFUNGICOS DE USO SISTEMICO (DERMATOLOGICOS);;;;;;
4;D01BA;ANTIBIOTICOS (ANTIFUNGICOS USO SISTEMICO);;;;;;
5;D01BA01;GRISEOFULVINA;;;;;;
5;D01BA02;TERBINAFINA;;;;;;
2;D02;EMOLIENTES Y PROTECTORES DERMATOLOGICOS;;;;;;
3;D02A;EMOLIENTES Y PROTECTORES;;;;;;
4;D02AB;PRODUCTOS DE ZINC;;;;;;
5;D02AB91;ZINC OXIDO;;;;;;
5;D02AB92;ZINC OXIDO EN ASOCIACION;;;;;;
5;D02AB93;ZINC SULFATO;;;;;;
5;D02ABNE;PRODUCTOS DE ZINC NE;;;;;;
4;D02AC;PARAFINA FLUIDA Y PRODUCTOS GRASOS;;;;;;
5;D02AC91;VASELINA;;;;;;
5;D02AC92;GLICEROL;;;;;;
5;D02AC93;VASELINA+LANOLINA+CETILICO ACIDO;;;;;;
5;D02ACNE;PARAFINA FLUIDA Y PRODUCTOS GRASOS NE;;;;;;
4;D02AD;EMPLASTOS LIQUIDOS;;;;;;
5;D02AD91;TIRAM EN ASOCIACION;;;;;;
5;D02AD92;PELICULA PROTECTORA PIEL SANA;;;;;;
4;D02AF;PREPARADOS CON ACIDO SALICILICO;;;;;;
5;D02AF91;SALICILICO ACIDO EN ASOCIACION;;;;;;
5;D02AFNE;PREPARADOS CON ACIDO SALICILICO NE;;;;;;
4;D02AX;OTROS EMOLIENTES Y PROTECTORES DERMATOLOGICOS;;;;;;
5;D02AX91;MIRISTATO DE ISOPROPILO;;;;;;
5;D02AXNE;OTROS EMOLIENTES Y PROTECTORES DERMATOLOGICOS NE;;;;;;
3;D02B;PROTECTORES CONTRA LA RADIACION ULTRAVIOLETA;;;;;;
4;D02BA;PROTECTORES DE LA RADIACION ULTRAVIOLETA TOPICOS;;;;;;
5;D02BA01;AMINOBENZOICO ACIDO;;;;;;
5;D02BA02;OCTIL METOXICINNAMATO;;;;;;
4;D02BB;PROTECTORES DE LA RADIACION ULTRAVIOLETA SISTEMICO;;;;;;
5;D02BB01;BETACAROTENO;;;;;;
5;D02BB02; Afamelanotida;;;;;;
2;D03;PRODUCTOS PARA TRATAMIENTO DE HERIDAS Y ULCERAS;;;;;;
3;D03A;CICATRIZANTES;;;;;;
4;D03AX;OTROS CICATRIZANTES;;;;;;
5;D03AX01;CADEXOMERO IODADO;;;;;;
5;D03AX02;DEXTRANOMERO;;;;;;
5;D03AX03;DEXPANTENOL;;;;;;
5;D03AX04;CALCIO PANTOTENATO;;;;;;
5;D03AX05;HIALURONICO ACIDO;;;;;;
5;D03AX06;BECAPLERMINA;;;;;;
5;D03AX10;ENOXOLONA;;;;;;
5;D03AX55;ACIDO HIALURONICO EN ASOCIACION;;;;;;
5;D03AX90;PREPARADOS ANTIESCARAS;;;;;;
5;D03AX91;SANGRE EXTO;;;;;;
5;D03AX92;ACEXAMICO ACIDO;;;;;;
5;D03AX93;ACEXAMICO ACIDO+NEOMICINA;;;;;;
5;D03AX94;CENTELLA ASIATICA EXTO;;;;;;
5;D03AX95;CENTELLA ASIATICA EXTO+NEOMICINA;;;;;;
5;D03AX96;BALSAMO DEL PERU EN ASOCIACION;;;;;;
5;D03AX97;CLORAMFENICOL EN ASOCIACION;;;;;;
5;D03AX98;FENOXIETANOL EN ASOCIACION;;;;;;
5;D03AX99;SILICONAS;;;;;;
5;D03AXNE;OTROS CICATRIZANTES NE;;;;;;
3;D03B;ENZIMAS (TRATAMIENTO DE HERIDAS);;;;;;
4;D03BA;ENZIMAS PROTEOLITICAS (TRATAMIENTO DE HERIDAS);;;;;;
5;D03BA01;TRIPSINA;;;;;;
5;D03BA02;COLAGENASA;;;;;;
5;D03BA03;Bromelainas;;;;;;
5;D03BA51;TRIPSINA EN ASOCIACION;;;;;;
5;D03BA52;COLAGENASA EN ASOCIACION;;;;;;
5;D03BA91;CATALASA;;;;;;
5;D03BA93;DEXOSIRRIBONUCLEASA+FIBRINOLISINA;;;;;;
5;D03BA94;ESTREPTOQUINASA+ESTREPTODORNASA;;;;;;
2;D04;ANTIPRURIGINOSOS, INCLUIDOS ANTIHISTAMINICOS;;;;;;
3;D04A;ANTIPRURIGINOSOS, INCL. ANTIHISTAM.,ANESTESIC.ETC.;;;;;;
4;D04AA;ANTIHISTAMINICOS DE USO TOPICO;;;;;;
5;D04AA04;TRIPELENAMINA;;;;;;
5;D04AA10;PROMETAZINA;;;;;;
5;D04AA13;DIMETINDENE;;;;;;
5;D04AA32;DIFENHIDRAMINA;;;;;;
5;D04AA91;DEXCLORFENIRAMINA EN ASOCIACION;;;;;;
5;D04AANE;ANTIHISTAMINICOS DE USO TOPICO NE;;;;;;
4;D04AB;ANESTESICOS DE USO TOPICO;;;;;;
5;D04AB01;LIDOCAINA;;;;;;
5;D04AB04;BENZOCAINA;;;;;;
5;D04AB06;TETRACAINA;;;;;;
5;D04AB07;PRAMOCAINA;;;;;;
5;D04AB56;TETRACAINA EN ASOCIACION;;;;;;
5;D04ABNE;ANESTESICOS DE USO TOPICO NE;;;;;;
4;D04AX;OTROS ANTIPRURIGINOSOS;;;;;;
5;D04AX91;CALAMINA;;;;;;
5;D04AX92;ICTIOL EN ASOCIACION;;;;;;
5;D04AX93;ALCANFOR + MENTOL;;;;;;
5;D04AXNE;OTROS ANTIPRURIGINOSOS NE;;;;;;
2;D05;ANTIPSORIASICOS;;;;;;
3;D05A;ANTIPSORIASICOS DE USO TOPICO;;;;;;
4;D05AA;ALQUITRANES (ANTIPSORIASICOS USO TOPICO);;;;;;
5;D05AA91;BREA DE HULLA;;;;;;
5;D05AA92;BREA DE HULLA EN ASOCIACION;;;;;;
5;D05AA93;ACEITE DE ENEBRO (CADE);;;;;;
5;D05AANE;ALQUITRANES (ANTIPSORIASICOS USO TOPICO) NE;;;;;;
4;D05AC;DERIVADOS DEL ANTRACENO (ANTIPSORIASICOS TOPICOS);;;;;;
5;D05AC01;DITRANOL;;;;;;
5;D05AC51;DITRANOL EN ASOCIACION;;;;;;
4;D05AD;PSORALENOS DE USO TOPICO (ANTIPSORIASICOS);;;;;;
5;D05AD01;TRIOXISALENO;;;;;;
5;D05AD02;METOXSALENO;;;;;;
4;D05AX;OTROS ANTIPSORIASICOS DE USO TOPICO;;;;;;
5;D05AX01;FUMARICO ACIDO;;;;;;
5;D05AX02;CALCIPOTRIOL;;;;;;
5;D05AX03;CALCITRIOL;;;;;;
5;D05AX04;TACALCITOL;;;;;;
5;D05AX05;TAZAROTENO;;;;;;
5;D05AX52;CALCIPOTRIOL EN ASOCIACION;;;;;;
3;D05B;ANTIPSORIASICOS DE USO SISTEMICO;;;;;;
4;D05BA;PSORALENOS DE USO SISTEMICO (ANTIPSORIASICOS);;;;;;
5;D05BA01;TRIOXISALENO;;;;;;
5;D05BA02;METOXSALENO;;;;;;
5;D05BA03;BERGAPTEN;;;;;;
4;D05BB;RETINOIDES PARA TRATAMIENTO DE PSORIASIS (SISTEMICOS);;;;;;
5;D05BB01;ETRETINATO;;;;;;
5;D05BB02;ACITRETINA;;;;;;
4;D05BX;OTROS ANTIPSORIASICOS DE USO SISTEMICO;;;;;;
5;D05BX90;Dimetil fumarato;;;;;;
5;D05BX91;CALAGUALA EXTO (POLIPODIUM LEUCOTOMOS);;;;;;
2;D06;ANTIBIOTICOS Y QUIMIOTERAPICOS DERMATOLOGICOS;;;;;;
3;D06A;ANTIBIOTICOS DE USO TOPICO (DERMATOLOGICOS);;;;;;
4;D06AA;TETRACICLINA Y DERIVADOS (DERMATOLOGICOS);;;;;;
5;D06AA01;DEMECLOCICLINA;;;;;;
5;D06AA02;CLORTETRACICLINA;;;;;;
5;D06AA03;OXITETRACICLINA (SOLA/ASOC. OTROS ANTIB);;;;;;
4;D06AN;ANTIBIOTICOS DE USO TOPICO (DERMATOLOGICOS) NE;;;;;;
5;D06ANNE;ANTIBIOTICOS DE USO TOPICO (DERMATOLOGICOS) NE NE;;;;;;
4;D06AX;OTROS ANTIBIOTICOS DE USO TOPICO (DERMATOLOGICOS);;;;;;
5;D06AX01;FUSIDICO ACIDO;;;;;;
5;D06AX02;CLORAMFENICOL;;;;;;
5;D06AX04;NEOMICINA (SOLA O ASOC.A OTROS ANTIBIOT);;;;;;
5;D06AX05;BACITRACINA;;;;;;
5;D06AX07;GENTAMICINA;;;;;;
5;D06AX08;TIROTRICINA;;;;;;
5;D06AX09;MUPIROCINA;;;;;;
5;D06AX10;VIRGINIAMICINA;;;;;;
5;D06AX11;RIFAXIMINA;;;;;;
5;D06AX12;AMICACINA;;;;;;
5;D06AX13;RETAPAMULINA;;;;;;
5;D06AX14; Ozenoxacino;;;;;;
3;D06B;QUIMIOTERAPICOS DE USO TOPICO (DERMATOLOGICOS);;;;;;
4;D06BA;SULFONAMIDAS (QUIMIOTERAPICOS USO DERMATOLOGICO);;;;;;
5;D06BA01;SULFADIAZINA ARGENTICA;;;;;;
5;D06BA02;SULFATIAZOL;;;;;;
5;D06BA03;MAFENIDA;;;;;;
5;D06BA05;SULFANILAMIDA;;;;;;
5;D06BA06;SULFAMERAZINA;;;;;;
5;D06BA51;SULFADIAZINA ARGENTICA EN ASOCIACION;;;;;;
5;D06BA52;SULFATIAZOL EN ASOCIACION;;;;;;
5;D06BA53;MAFENIDA EN ASOCIACION;;;;;;
5;D06BA55;SULFANILAMIDA EN ASOCIACION;;;;;;
4;D06BB;ANTIVIRALES (QUIMIOTERAPICOS TOPICOS DERMATOLOGIC);;;;;;
5;D06BB01;IDOXURIDINA;;;;;;
5;D06BB02;TROMANTADINA;;;;;;
5;D06BB03;ACICLOVIR;;;;;;
5;D06BB04;PODOFILOTOXINA;;;;;;
5;D06BB06;PENCICLOVIR;;;;;;
5;D06BB07;LISOZIMA;;;;;;
5;D06BB10;IMIQUIMOD;;;;;;
5;D06BB11;Docosanol;;;;;;
5;D06BB12;SINECATEQUINAS;;;;;;
5;D06BB51;IDOXURIDINA EN ASOCIACION;;;;;;
5;D06BB53;ACICLOVIR EN ASOCIACION;;;;;;
5;D06BBNE;ANTIVIRALES (QUIMIOTERAPICOS TOPICOS DERMATOLOGIC) NE;;;;;;
4;D06BX;OTROS QUIMIOTERAPICOS (TOPICOS DERMATOLOGICOS);;;;;;
5;D06BX01;METRONIDAZOL;;;;;;
5;D06BX02;Ingenol Mebutato;;;;;;
5;D06BXNE;OTROS QUIMIOTERAPICOS (TOPICOS DERMATOLOGICOS) NE;;;;;;
2;D07;CORTICOIDES DERMATOLOGICOS;;;;;;
3;D07A;CORTICOSTEROIDES SOLOS (DERMATOLOGICOS);;;;;;
4;D07AA;CORTICOSTEROIDES DEBILES-GRUPO I (DERMATOLOGICOS);;;;;;
5;D07AA01;METILPREDNISOLONA;;;;;;
5;D07AA02;HIDROCORTISONA;;;;;;
5;D07AA03;PREDNISOLONA;;;;;;
4;D07AB;CORTICOSTEROIDES MODERAD.POTENTES-GRUPO II (DERMATOLOGICOS);;;;;;
5;D07AB01;CLOBETASONA;;;;;;
5;D07AB02;HIDROCORTISONA BUTIRATO;;;;;;
5;D07AB03;FLUMETASONA;;;;;;
5;D07AB04;FLUOCORTINA;;;;;;
5;D07AB06;FLUOROMETOLONA;;;;;;
5;D07AB07;FLUPREDNIDENO;;;;;;
5;D07AB08;DESONIDA;;;;;;
5;D07AB09;TRIAMCINOLONA;;;;;;
