ATC;Medicamento;Drug;Anatomico;Terapeutico;Farmacologico;Quimico
B05DANE;SOLUCIONES DIALISIS PERITONEAL ISOTONICAS NE;ISOTONIC PERITONEAL DIALYSIS SOLUTIONS NE;B;B05;B05D;B05DA
B05DB;SOLUCIONES DIALISIS PERITONEAL HIPERTONICAS;HYPERTONIC PERITONEAL DIALYSIS SOLUTIONS;B;B05;B05D;B05DB
B05DB91;GLUCOSA CON ELECTROLITOS DIALISIS PERITONEAL HIPERTONICA;GLUCOSE WITH ELECTROLYTES HYPERTONIC PERITONEAL DIALYSIS;B;B05;B05D;B05DB
B05DB92;SOLUCION AMINOACIDOS DIALISIS PERITONEAL HIPERTONICA;AMINO ACID SOLUTION FOR HYPERTONIC PERITONEAL DIALYSIS;B;B05;B05D;B05DB
B05DBNE;SOLUCIONES DIALISIS PERITONEAL HIPERTONICAS NE;HYPERTONIC PERITONEAL DIALYSIS SOLUTIONS NE;B;B05;B05D;B05DB
B05X;SOLUCIONES INTRAVENOSAS ADITIVAS;ADDITIVE INTRAVENOUS SOLUTIONS;B;B05;B05X;
B05XA;SOLUCIONES ELECTROLITOS (SOLUCIONES IV ADITIVAS);ELECTROLYTE SOLUTIONS (IV ADDITIVE SOLUTIONS);B;B05;B05X;B05XA
B05XA01;POTASIO CLORURO SOLUCION ELECTROLITICA (SOLUC. IV ADITIVAS);POTASSIUM CHLORIDE ELECTROLYTE SOLUTION (IV ADDITIVE SOLUTIONS);B;B05;B05X;B05XA
B05XA02;SODIO BICARBONATO SOLUCION ELECTROLITICA (SOLUC. IV ADITIVAS;SODIUM BICARBONATE ELECTROLYTE SOLUTION (SOLUTIONS IV ADDITIVES);B;B05;B05X;B05XA
B05XA03;SODIO CLORURO SOLUCION ELECTROLITICA (SOLUC. IV ADITIVAS);SODIUM CHLORIDE ELECTROLYTE SOLUTION (IV ADDITIVE SOLUTIONS);B;B05;B05X;B05XA
B05XA04;AMONIO CLORURO SOLUCION ELECTROLITICA (SOLUC. IV ADITIVAS);AMMONIUM CHLORIDE ELECTROLYTE SOLUTION (IV ADDITIVE SOLUTIONS);B;B05;B05X;B05XA
B05XA05;Sulfato de magnesio;MAGNESIUM SULPHATE;B;B05;B05X;B05XA
B05XA06;POTASIO FOSFATO (SOLUC. IV ADITIVAS);POTASSIUM PHOSPHATE (SOLUTIONS IV ADDITIVES);B;B05;B05X;B05XA
B05XA07;CALCIO CLORURO SOLUCION ELECTROLITICA (SOLUC. IV ADITIVAS);CALCIUM CHLORIDE ELECTROLYTE SOLUTION (IV ADDITIVE SOLUTIONS);B;B05;B05X;B05XA
B05XA08;SODIO ACETATO SOLUCION ELECTROLITICA (SOLUC. IV ADITIVAS);SODIUM ACETATE ELECTROLYTE SOLUTION (IV ADDITIVE SOLUTIONS);B;B05;B05X;B05XA
B05XA09;SODIO FOSFATO (SOLUC. IV ADITIVAS);SODIUM PHOSPHATE (IV ADDITIVE SOLUTIONS);B;B05;B05X;B05XA
B05XA12;ZINC CLORURO;ZINC CHLORIDE;B;B05;B05X;B05XA
B05XA14;SODIO GLICEROFOSFATO SOLUCION PARENTERAL (SOLUC. IV ADITIVAS;SODIUM GLYCEROPHOSPHATE PARENTERAL SOLUTION (IV ADDITIVE SOLUTIONS);B;B05;B05X;B05XA
B05XA16;SOLUCIONES CARDIOPLEGICAS;CARDIOPLEGIC SOLUTIONS;B;B05;B05X;B05XA
B05XA17;POTASIO ACETATO (SOLUC. IV ADITIVAS);POTASSIUM ACETATE (IV ADDITIVE SOLUTIONS);B;B05;B05X;B05XA
B05XA30;ELECTROLITOS EN ASOCIACION (SOLUC. IV ADITIVAS);ELECTROLYTES IN ASSOCIATION (IV ADDITIVE SOLUTIONS);B;B05;B05X;B05XA
B05XA31;ELECTROLITOS ASOCIADOS A OTRAS SUSTANCIAS (SOLUC. IV ADITIV);ELECTROLYTES ASSOCIATED WITH OTHER SUBSTANCES (SOLUTION IV ADDITIVE);B;B05;B05X;B05XA
B05XA91;POTASIO ACETATO (SOLUC. IV ADITIVAS);POTASSIUM ACETATE (IV ADDITIVE SOLUTIONS);B;B05;B05X;B05XA
B05XB;AMINO�CIDOS;AMINO ACIDS;B;B05;B05X;B05XB
B05XB02;GLUTAMINA;GLUTAMINE;B;B05;B05X;B05XB
B05XC;VITAMINAS (SOLUCIONES IV ADITIVAS);VITAMINS (IV ADDITIVE SOLUTIONS);B;B05;B05X;B05XC
B05XC91;COMPLEJO VITAMINICO B NUTRICION ENTERAL (SOLUC. IV ADITIVAS);VITAMIN B COMPLEX ENTERAL NUTRITION (IV ADDITIVE SOLUTIONS);B;B05;B05X;B05XC
B05XC92;MULTIVITAMINAS NUTRICION ENTERAL (SOLUC. IV ADITIVAS);MULTIVITAMINS ENTERAL NUTRITION (ADDITIVE IV SOLUTIONS);B;B05;B05X;B05XC
B05XCNE;VITAMINAS (SOLUCIONES IV ADITIVAS) NE;VITAMINS (IV ADDITIVE SOLUTIONS) NE;B;B05;B05X;B05XC
B05Z;HEMODIAL�TICOS Y HEMOFILTRADOS;HEMODIALYTICS AND HEMOFILTRATES;B;B05;B05Z;
B05ZA;CONCENTRADOS PARA HEMODIALISIS;HEMODIALYSIS CONCENTRATES;B;B05;B05Z;B05ZA
B05ZA91;CONCENTRADOS PARA HEMODIALISIS;HEMODIALYSIS CONCENTRATES;B;B05;B05Z;B05ZA
B05ZANE;CONCENTRADOS PARA HEMODIALISIS NE;HEMODIALYSIS CONCENTRATES NE;B;B05;B05Z;B05ZA
B05ZB;HEMOFILTRADOS;HEMOFILTRATES;B;B05;B05Z;B05ZB
B05ZB91;HEMOFILTRADOS;HEMOFILTRATES;B;B05;B05Z;B05ZB
B05ZBNE;HEMOFILTRADOS NE;NE HEMOFILTRATES;B;B05;B05Z;B05ZB
B06;OTROS PREPARADOS HEMATOLOGICOS;OTHER HEMATOLOGICAL PREPARATIONS;B;B06;;
B06A;OTROS PREPARADOS HEMATOLOGICOS;OTHER HEMATOLOGICAL PREPARATIONS;B;B06;B06A;
B06AA;ENZIMAS (OTROS PREPARADOS HEMATOLOGICOS);ENZYMES (OTHER HEMATOLOGICAL PREPARATIONS);B;B06;B06A;B06AA
B06AA03;HIALURONIDASA;HYALURONIDASE;B;B06;B06A;B06AA
B06AB;OTROS PREPARADOS HEMATOLOGICOS;OTHER HEMATOLOGICAL PREPARATIONS;B;B06;B06A;B06AB
B06AB01;HEMATINA;Hematin;B;B06;B06A;B06AB
B06AC;MEDICAMENTOS USADOS EN ANGIOEDEMA HEREDITARIO;MEDICINES USED IN HEREDITARY ANGIOEDEMA;B;B06;B06A;B06AC
B06AC01;Inhibidor de C1, derivado del plasma;C1 inhibitor, derived from plasma;B;B06;B06A;B06AC
B06AC02;Icatibanto;ICATIBANTO;B;B06;B06A;B06AC
B06AC04;CONESTAT ALFA;CONESTAT ALFA;B;B06;B06A;B06AC
C;APARATO CARDIOVASCULAR;CARDIOVASCULAR SYSTEM;C;;;
C01;TERAPIA DEL MIOCARDIO;MYOCARDIAL THERAPY;C;C01;;
C01A;GLICOSIDOS CARDIACOS;CARDIAC GLYCOSIDES;C;C01;C01A;
C01AA;GLICOSIDOS DE DIGITALIS (CARDIOTERAPIA);DIGITALIS GLYCOSIDES (CARDIOTHERAPY);C;C01;C01A;C01AA
C01AA01;ACETILDIGITOXINA;ACETYLDIGITOXINE;C;C01;C01A;C01AA
C01AA02;ACETILDIGOXINA;ACETYLDIGOXINE;C;C01;C01A;C01AA
C01AA04;DIGITOXINA;Digitoxin;C;C01;C01A;C01AA
C01AA05;DIGOXINA;DIGOXIN;C;C01;C01A;C01AA
C01AA06;LANATOSIDO C;LANATOSIDE C;C;C01;C01A;C01AA
C01AA07;DESLANOSIDO;DESLANOSIDE;C;C01;C01A;C01AA
C01AA08;METILDIGOXINA;METHYLDIGOXINE;C;C01;C01A;C01AA
C01B;ANTIARRITMICOS;ANTIARRYTHMICS;C;C01;C01B;
C01BA;ANTIARRITMICOS CLASE IA;CLASS IA ANTIARRYTHMICS;C;C01;C01B;C01BA
C01BA01;QUINIDINA;QUINIDINE;C;C01;C01B;C01BA
C01BA02;PROCAINAMIDA;PROCAINAMIDE;C;C01;C01B;C01BA
C01BA03;DISOPIRAMIDA;DISOPYRAMIDE;C;C01;C01B;C01BA
C01BA05;AJAMALINA;AJAMALINA;C;C01;C01B;C01BA
C01BA08;PRAJMALINA;PRAJMALINA;C;C01;C01B;C01BA
C01BA12;LORAJMINA;LORAJMINA;C;C01;C01B;C01BA
C01BA13;Hidroquinidina;HYDROQUINIDINE;C;C01;C01B;C01BA
C01BA71;QUINIDINA ASOCIADA A PSICOLEPTICO;QUINIDINE ASSOCIATED WITH PSYCHOLEPTIC;C;C01;C01B;C01BA
C01BA92;HIDROQUINIDINA;HYDROQUINIDINE;C;C01;C01B;C01BA
C01BANE;ANTIARRITMICOS CLASE IA NE;CLASS IA NE ANTIARRYTHMICS;C;C01;C01B;C01BA
C01BB;ANTIARRITMICOS CLASE IB;CLASS IB ANTIARRYTHMICS;C;C01;C01B;C01BB
C01BB01;LIDOCAINA;Lidocaine;C;C01;C01B;C01BB
C01BB02;MEXILETINA;MEXILETINE;C;C01;C01B;C01BB
C01BB03;TOCAINIDA;TOCAINIDE;C;C01;C01B;C01BB
C01BB04;APRINDINA;APRINDINA;C;C01;C01B;C01BB
C01BB91;FENITOINA;PHENYTOIN;C;C01;C01B;C01BB
C01BC;ANTIARRITMICOS CLASE IC;CLASS IC ANTIARRYTHMICS;C;C01;C01B;C01BC
C01BC03;PROPAFENONA;PROPAFENONE;C;C01;C01B;C01BC
C01BC04;FLECAINIDA;FLECAINIDE;C;C01;C01B;C01BC
C01BD;ANTIARRITMICOS CLASE III;CLASS III ANTIARRYTHMICS;C;C01;C01B;C01BD
C01BD01;AMIODARONA;Amiodarone;C;C01;C01B;C01BD
C01BD02;BRETILIO TOSILATO;BRETYLIUM TOSYLATE;C;C01;C01B;C01BD
C01BD04;DOFETILIDA;DOFETILIDE;C;C01;C01B;C01BD
C01BD05;IBUTILIDA;IBUTILIDE;C;C01;C01B;C01BD
C01BD06;TEDISAMIL;TEDISAMIL;C;C01;C01B;C01BD
C01BD07;DRONEDARONA;DRONEDARONE;C;C01;C01B;C01BD
C01BG;OTROS ANTIARRITMICOS CLASE I Y III;OTHER CLASS I AND III ANTIARRYTHMICS;C;C01;C01B;C01BG
C01BG01;MORACIZINA;MORACIZINA;C;C01;C01B;C01BG
C01BG07;CIBENZOLINA;CIBENZOLINE;C;C01;C01B;C01BG
C01BG11;VERNAKALANT;VERNAKALANT;C;C01;C01B;C01BG
C01C;ESTIMULANTES CARDIACOS, EXCLUIDOS GLICOSIDOS CARD.;CARDIAC STIMULANTS, EXCLUDING CARDIO GLYCOSIDES;C;C01;C01C;
C01CA;ADRENERGICOS Y DOPAMINERGICOS (ESTIMULANTES CARDIACOS);ADRENERGIC AND DOPAMINERGIC (CARDIAC STIMULANTS);C;C01;C01C;C01CA
C01CA01;ETILEFRINA;ETILEFRINE;C;C01;C01C;C01CA
C01CA02;ISOPRENALINA;ISOPRENALINE;C;C01;C01C;C01CA
C01CA03;NOREPINEFRINA;NOREPINEPHRINE;C;C01;C01C;C01CA
C01CA04;DOPAMINA;DOPAMINE;C;C01;C01C;C01CA
C01CA06;FENILEFRINA;Phenylephrine;C;C01;C01C;C01CA
C01CA07;DOBUTAMINA;DOBUTAMINE;C;C01;C01C;C01CA
C01CA10;METOXAMINA;METHOXAMINE;C;C01;C01C;C01CA
C01CA12;DIMETROFINA;DIMETROFINE;C;C01;C01C;C01CA
C01CA16;IBOPAMINA;IBOPAMINE;C;C01;C01C;C01CA
C01CA17;MIDODRINA;MIDODRINE;C;C01;C01C;C01CA
C01CA21;CAFEDRINA;CAPHEDRINE;C;C01;C01C;C01CA
C01CA24;ADRENALINA;ADRENALIN;C;C01;C01C;C01CA
C01CA25;AMEZINIO METILSULFATO;AMEZINIUM METHYLSULFATE;C;C01;C01C;C01CA
C01CA26;EFEDRINA;EPHEDRINE;C;C01;C01C;C01CA
C01CA30;ADRENERGICOS EN ASOCIACION;ADRENERGIC IN ASSOCIATION;C;C01;C01C;C01CA
C01CE;INHIBIDORES DE LA FOSFODIESTERASA (ESTIMULANTES CARDIACOS);PHOSPHODIESTERASE INHIBITORS (CARDIAC STIMULANTS);C;C01;C01C;C01CE
C01CE01;AMRINONA;AMRINONA;C;C01;C01C;C01CE
C01CE02;MILRINONA;MILRINONE;C;C01;C01C;C01CE
C01CE03;ENOXIMONA;ENOXIMONE;C;C01;C01C;C01CE
C01CX;OTROS ESTIMULANTES CARDIACOS;OTHER CARDIAC STIMULANTS;C;C01;C01C;C01CX
C01CX08;LEVOSIMENDAN;LEVOSIMENDAN;C;C01;C01C;C01CX
C01D;VASODILATADORES USADOS EN CARDIOTERAPIA;VASODILATORS USED IN CARDIOTHERAPY;C;C01;C01D;
C01DA;NITRATOS ORGANICOS (CARDIOTERAPIA);ORGANIC NITRATES (CARDIOTHERAPY);C;C01;C01D;C01DA
C01DA02;NITROGLICERINA;NITROGLYCERINE;C;C01;C01D;C01DA
C01DA05;PENTAERITRITILO TETRANITRATO;PENTAERYTHRITYL TETRANITRATE;C;C01;C01D;C01DA
C01DA07;PROPATILNITRATO;PROPATHYL NITRATE;C;C01;C01D;C01DA
C01DA08;ISOSORBIDA DINITRATO;ISOSORBIDE DINITRATE;C;C01;C01D;C01DA
C01DA14;ISOSORBIDA MONONITRATO;ISOSORBIDE MONONITRATE;C;C01;C01D;C01DA
C01DA52;NITROGLICERINA EN ASOCIACION;NITROGLYCERIN IN ASSOCIATION;C;C01;C01D;C01DA
C01DANE;NITRATOS ORGANICOS (CARDIOTERAPIA) NE;ORGANIC NITRATES (CARDIOTHERAPY) NE;C;C01;C01D;C01DA
C01DX;OTROS VASODILATADORES USADOS EN CARDIOTERAPIA;OTHER VASODILATORS USED IN CARDIOTHERAPY;C;C01;C01D;C01DX
C01DX03;OXIFEDRINA;Oxyfedrine;C;C01;C01D;C01DX
C01DX05;CARBOCROMENO;CARBOCHROMENE;C;C01;C01D;C01DX
C01DX06;HEXOBENDINA;HEXOBENDINE;C;C01;C01D;C01DX
C01DX09;IMOLAMINA;IMOLAMINE;C;C01;C01D;C01DX
C01DX10;DILAZEP;DILAZEP;C;C01;C01D;C01DX
C01DX12;MOLSIDOMINA;MOLSIDOMINE;C;C01;C01D;C01DX
C01DX15;CLORIDAROL;Chloridarol;C;C01;C01D;C01DX
C01DX16;NICORANDIL;NICORANDIL;C;C01;C01D;C01DX
C01DX19;NESIRITIDA;NESIRITIDE;C;C01;C01D;C01DX
C01E;OTROS PREPARADOS CARDIACOS;OTHER CARDIAC PREPARATIONS;C;C01;C01E;
C01EA;PROSTAGLANDINAS (CARDIOTERAPIA);PROSTAGLANDINS (CARDIOTHERAPY);C;C01;C01E;C01EA
C01EA01;ALPROSTADILO;ALPROSTADIL;C;C01;C01E;C01EA
C01EB;OTROS PREPARADOS CARDIACOS;OTHER CARDIAC PREPARATIONS;C;C01;C01E;C01EB
C01EB03;INDOMETACINA;Indomethacin;C;C01;C01E;C01EB
C01EB04;CRATAEGUS GLICOSIDOS;CRATAEGUS GLYCOSIDES;C;C01;C01E;C01EB
C01EB09;UBIDECARENONE;UBIDECARENONE;C;C01;C01E;C01EB
C01EB10;ADENOSINA;ADENOSINE;C;C01;C01E;C01EB
C01EB15;TRIMETAZIDINA;TRIMETAZIDINE;C;C01;C01E;C01EB
C01EB16;IBUPROFENO;IBUPROFEN;C;C01;C01E;C01EB
C01EB17;IVABRADINA;IVABRADINE;C;C01;C01E;C01EB
C01EB18;RANOLAZINA;RANOLAZINE;C;C01;C01E;C01EB
C01EB19;ICATIBANT;ICATIBANT;C;C01;C01E;C01EB
C01EB21;REGADENOSON;REGADENOSON;C;C01;C01E;C01EB
C01EB95;POTASIO IODURO;POTASSIUM IODIDE;C;C01;C01E;C01EB
C01EBNE;OTROS PREPARADOS CARDIACOS NE;OTHER CARDIAC PREPARATIONS NE;C;C01;C01E;C01EB
C02;ANTIHIPERTENSIVOS;ANTIHYPERTENSIVES;C;C02;;
C02A;ANTIADRENERGICOS DE ACCION CENTRAL (ANTIHIPERTENS);CENTRALLY ACTING ANTI-ADRENERGIC AGENTS (ANTIHYPERTENS);C;C02;C02A;
C02AA;ALCALOIDES DE LA RAUWOLFIA (ANTIHIPERTENSIVOS);RAUWOLFIA ALKALOIDS (ANTIHYPERTENSIVES);C;C02;C02A;C02AA
C02AA01;RESCINAMINA;RESINAMINE;C;C02;C02A;C02AA
C02AA02;RESERPINA;RESERPINA;C;C02;C02A;C02AA
C02AA03;RAUWOLFIA SERPENTINA ALCALOIDES;RAUWOLFIA SERPENTINA ALKALOIDS;C;C02;C02A;C02AA
C02AB;METILDOPA (ANTIHIPERTENSIVOS);METHYLDOPA (ANTIHYPERTENSIVES);C;C02;C02A;C02AB
C02AB01;METILDOPA;METHYLDOPA;C;C02;C02A;C02AB
C02AC;AGONISTAS RECEPTORES IMIDAZOLINA (ANTIHIPERTENSIVOS);IMIDAZOLINE RECEPTOR AGONISTS (ANTIHYPERTENSIVES);C;C02;C02A;C02AC
C02AC01;CLONIDINA;CLONIDINE;C;C02;C02A;C02AC
C02AC02;GUANFACINA;GUANFACINE;C;C02;C02A;C02AC
C02AC05;MOXONIDINA;MOXONIDINE;C;C02;C02A;C02AC
C02B;ANTIADRENERGICOS BLOQ. GANGLIONARES (ANTIHIPERTEN);ANTIADRENERGIC BLOCK. GANGLIONAR (ANTIHYPERTEN);C;C02;C02B;
C02BA;DERIVADOS DEL SULFONIO (ANTIHIPERTENSIVOS);SULFONIUM DERIVATIVES (ANTIHYPERTENSIVES);C;C02;C02B;C02BA
C02BA01;TRIMETAFAN;TRIMETAFAN;C;C02;C02B;C02BA
C02C;ANTIADRENERGICOS DE ACCION PERIFERICA (ANTIHIPERT);Peripherally acting antiadrenergic agents (antihypertension);C;C02;C02C;
C02CA;BLOQUEANTES ALFA-ADRENERGICOS (ANTIHIPERTENSIVOS);ALPHA-ADRENERGIC BLOCKERS (ANTIHYPERTENSIVES);C;C02;C02C;C02CA
C02CA01;PRAZOSINA;Prazosin;C;C02;C02C;C02CA
C02CA02;INDORAMINA;INDORAMINE;C;C02;C02C;C02CA
C02CA04;DOXAZOSINA;DOXAZOSIN;C;C02;C02C;C02CA
C02CA06;URAPIDIL;URAPIDIL;C;C02;C02C;C02CA
C02CANE;BLOQUEANTES ALFA-ADRENERGICOS (ANTIHIPERTENSIVOS) NE;ALPHA-ADRENERGIC BLOCKERS (ANTIHYPERTENSIVES) NE;C;C02;C02C;C02CA
C02D;ANTIHIPERTENSIVOS ACCION MUSCULO LISO ARTERIOLAS;ANTIHYPERTENSIVES SMOOTH MUSCLE ACTION ARTERIOLES;C;C02;C02D;
C02DA;DERIVADOS DE LA TIAZIDA (ANTIHIPERTENSIVOS);THIAZIDE DERIVATIVES (ANTIHYPERTENSIVES);C;C02;C02D;C02DA
C02DA01;DIAZOXIDO;DIAZOXIDE;C;C02;C02D;C02DA
C02DB;DERIVADOS DE LA HIDRAZINOFTALAZINA (ANTIHIPERTENSIVOS);HYDRAZINOPHTHALAZINE DERIVATIVES (ANTIHYPERTENSIVES);C;C02;C02D;C02DB
C02DB01;DIHIDRALAZINA;DIHYDRALAZINE;C;C02;C02D;C02DB
C02DB02;HIDRALAZINA;HYDRALAZINE;C;C02;C02D;C02DB
C02DB91;PICODRALAZINA EN ASOCIACION;Picodralazine in association;C;C02;C02D;C02DB
C02DC;DERIVADOS DE LA PIRIMIDINA (ANTIHIPERTENSIVOS);PYRIMIDINE DERIVATIVES (ANTIHYPERTENSIVES);C;C02;C02D;C02DC
C02DC01;MINOXIDIL;MINOXIDIL;C;C02;C02D;C02DC
C02DD;DERIVADOS DE LA NITROFERRICIANIDA (ANTIHIPERTENSIVOS);NITROFERRICIANIDE DERIVATIVES (ANTIHYPERTENSIVES);C;C02;C02D;C02DD
C02DD01;NITROPRUSIATO;Nitroprussate;C;C02;C02D;C02DD
C02K;OTROS ANTIHIPERTENSIVOS;OTHER ANTIHYPERTENSIVES;C;C02;C02K;
C02KX;OTROS ANTIHIPERTENSIVOS;OTHER ANTIHYPERTENSIVES;C;C02;C02K;C02KX
C02KX01;BOSENTAN;BOSENTAN;C;C02;C02K;C02KX
C02KX02;AMBRISENTAN;AMBRISENTAN;C;C02;C02K;C02KX
C02KX03;SITAXENTAN;SITAXENTAN;C;C02;C02K;C02KX
C02KX04;Macitentan;MACITENTAN;C;C02;C02K;C02KX
C02KX05;Riociguat;RIOCIGUAT;C;C02;C02K;C02KX
C02KXNE;OTROS ANTIHIPERTENSIVOS NE;OTHER ANTIHYPERTENSIVES NE;C;C02;C02K;C02KX
C02L;ANTIHIPERTENSIVOS ASOCIADOS A DIURETICOS;ANTIHYPERTENSIVES ASSOCIATED WITH DIURETICS;C;C02;C02L;
C02LA;ALCALOIDES DE RAUWOLFIA ASOCIADOS A DIURETICOS;RAUWOLFIA ALKALOIDS ASSOCIATED WITH DIURETICS;C;C02;C02L;C02LA
C02LA01;RESERPINA ASOCIADA A DIURETICO;RESERPINE ASSOCIATED WITH DIURETIC;C;C02;C02L;C02LA
C02LA50;RAUWOLFIA Y DIURETICOS ASOCIADOS A OTROS FARMACOS;RAUWOLFIA AND DIURETICS ASSOCIATED WITH OTHER DRUGS;C;C02;C02L;C02LA
C02LA51;RESERPINA Y DIURETICOS ASOCIADOS A OTROS FARMACOS;Reserpine and diuretics associated with other drugs;C;C02;C02L;C02LA
C02LB;METILDOPA ASOCIADA A DIURETICOS;METHYLDOPA ASSOCIATED WITH DIURETICS;C;C02;C02L;C02LB
C02LB91;METILDOPA ASOC. A DIURETICOS;METHYLDOPA ASSOCIATED WITH DIURETICS;C;C02;C02L;C02LB
C02LC;AGONISTAS RECEPTOR IMIDAZOLICO EN ASOCIACION CON DIURETICO;IMIDAZOLIC RECEPTOR AGONISTS IN ASSOCIATION WITH DIURETIC;C;C02;C02L;C02LC
C02LC51;CLONIDINA+DIURETICOS+OTRAS SUSTANCIAS;CLONIDINE+DIURETICS+OTHER SUBSTANCES;C;C02;C02L;C02LC
C03;DIURETICOS;DIURETICS;C;C03;;
C03A;DIURETICOS DE BAJO TECHO, TIAZIDAS;LOW ROOF DIURETICS, THIAZIDES;C;C03;C03A;
C03AA;TIAZIDAS SOLAS (DIURETICOS);THIAZIDES ALONE (DIURETICS);C;C03;C03A;C03AA
C03AA01;BENDROFLUMETIAZIDA;BENDROFLUMETHIAZIDE;C;C03;C03A;C03AA
C03AA03;HIDROCLOROTIAZIDA;HYDROCHLOROTHIAZIDE;C;C03;C03A;C03AA
C03AX;TIAZIDAS ASOCIADOS A OTRAS SUSTANCIAS (DIURETICOS);THIAZIDES ASSOCIATED WITH OTHER SUBSTANCES (DIURETICS);C;C03;C03A;C03AX
C03AX91;TECLOTIAZIDA EN ASOCIACION;TECLOTHIAZIDE IN ASSOCIATION;C;C03;C03A;C03AX
C03B;DIURETICOS DE BAJO TECHO, EXCLUIDAS TIAZIDAS;LOW-CLOUD DIURETICS, EXCLUDING THIAZIDES;C;C03;C03B;
C03BA;SULFONAMIDAS SOLAS (DIURETICOS BAJO TECHO);SULFONAMIDES ALONE (INDOOR DIURETICS);C;C03;C03B;C03BA
C03BA04;CLORTALIDONA;Chlorthalidone;C;C03;C03B;C03BA
C03BA08;METOLAZONA;METOLAZONE;C;C03;C03B;C03BA
C03BA10;XIPAMIDA;XIPAMIDE;C;C03;C03B;C03BA
C03BA11;INDAPAMIDA;INDAPAMIDE;C;C03;C03B;C03BA
C03BX;OTROS DIURETICOS DE TECHO BAJO;OTHER LOW-CEILING DIURETICS;C;C03;C03B;C03BX
C03BXNE;OTROS DIURETICOS DE TECHO BAJO NE;OTHER LOW CEILING DIURETICS NE;C;C03;C03B;C03BX
C03C;DIURETICOS DE ALTO TECHO;HIGH CEILING DIURETICS;C;C03;C03C;
C03CA;SULFONAMIDAS SOLAS (DIURETICOS ALTO TECHO);SULFONAMIDES ALONE (HIGH CEILING DIURETICS);C;C03;C03C;C03CA
C03CA01;FUROSEMIDA;Furosemide;C;C03;C03C;C03CA
C03CA02;BUMETANIDA;BUMETANIDE;C;C03;C03C;C03CA
C03CA03;PIRETANIDA;PIRETANIDE;C;C03;C03C;C03CA
C03CA04;TORASEMIDA;TORASEMIDE;C;C03;C03C;C03CA
C03CX;OTROS DIURETICOS DE ALTO TECHO;OTHER HIGH CEILING DIURETICS;C;C03;C03C;C03CX
C03CX01;ETOZOLINA;ETOZOLIN;C;C03;C03C;C03CX
C03D;DIURETICOS AHORRADORES DE POTASIO;Potassium-sparing diuretics;C;C03;C03D;
C03DA;ANTAGONISTAS DE LA ALDOSTERONA (DIURETICOS);ALDOSTERONE ANTAGONISTS (DIURETICS);C;C03;C03D;C03DA
C03DA01;ESPIRONOLACTONA;SPIRONOLACTONE;C;C03;C03D;C03DA
C03DA02;CANRENOATO POTASICO;Potassium canrenoate;C;C03;C03D;C03DA
C03DA03;CANRENONA;CANRENONE;C;C03;C03D;C03DA
C03DA04;EPLERENONA;EPLERENONE;C;C03;C03D;C03DA
C03DB;OTROS DIURETICOS AHORRADORES DE POTASIO;OTHER POTASSIUM-Sparing Diuretics;C;C03;C03D;C03DB
C03DB01;AMILORIDA;AMILORIDE;C;C03;C03D;C03DB
C03DB02;TRIAMTERENO;TRIAMTHERENE;C;C03;C03D;C03DB
C03DBNE;OTROS DIURETICOS AHORRADORES DE POTASIO NE;OTHER POTASSIUM-Sparing Diuretics NE;C;C03;C03D;C03DB
C03E;DIURETICOS AHORRADORES DE POTASIO CON OTROS DIURET;Potassium-sparing diuretics with other diuretics;C;C03;C03E;
C03EA;ASOCIACIONES DIURETICOS BAJO TECHO+AHORRADORES DE POTASIO;INDOOR DIURETICS + POTASSIUM SAVER ASSOCIATIONS;C;C03;C03E;C03EA
C03EA01;HIDROCLOROTIAZIDA+AHORRADOR DE POTASIO;HYDROCHLOROTHIAZIDE+POTASSIUM SAVER;C;C03;C03E;C03EA
C03EA04;ALTIZIDA+AHORRADOR DE POTASIO;ALTIZIDE+POTASSIUM SAVER;C;C03;C03E;C03EA
C03EA05;MEBUTIZIDA+AHORRADOR DE POTASIO;MEBUTIZIDE+POTASSIUM SAVER;C;C03;C03E;C03EA
C03EA06;CLORTALIDONA+AHORRADOR DE POTASIO;Chlorthalidone + Potassium Saver;C;C03;C03E;C03EA
C03EA13;BENDROFLUMETIAZIDA+AHORRADOR DE POTASIO;BENDROFLUMETHIAZIDE+POTASSIUM SPARE;C;C03;C03E;C03EA
C03EB;ASOCIACIONES DIRETICOS ALTO TECHO+AHORRADORES DE POTASIO;DIRETICOS HIGH CEILING + POTASSIUM SAVING ASSOCIATIONS;C;C03;C03E;C03EB
C03EB01;FUROSEMIDA+AHORRADOR DE POTASIO;Furosemide + Potassium Saver;C;C03;C03E;C03EB
C03X;OTROS DIURETICOS;OTHER DIURETICS;C;C03;C03X;
C03XA;ANTAGONISTAS DE LA VASOPRESINA (DIURETICOS);Vasopressin antagonists (diuretics);C;C03;C03X;C03XA
C03XA01;TOLVAPTAN;TOLVAPTAN;C;C03;C03X;C03XA
C03XANE;ANTAGONISTAS DE LA VASOPRESINA (DIURETICOS) NE;VASOPRESSIN ANTAGONISTS (DIURETICS) NE;C;C03;C03X;C03XA
C03XN;OTROS DIURETICOS NE;OTHER DIURETICS NE;C;C03;C03X;C03XN
C03XNNE;OTROS DIURETICOS NE NE;OTHER DIURETICS NE NE;C;C03;C03X;C03XN
C03XW;Otros diur�ticos (no existe en WHO);OTHER DIURETICS (NOT EXIST IN WHO);C;C03;C03X;C03XW
