ATC;Medicamento;Medicamento;Anatomico;Terapeutico;Farmacologico;Quimico
C10AD98;NICOTINICO ACIDO+PENTOSANOPOLISULFURICO;NICOTINICO ACIDO+PENTOSANOPOLISULFURICO;C;C10;C10A;C10AD
C10AD99;NICOTINATO XANTINOL+MUCOPOLISACARIDO;NICOTINATO XANTINOL+MUCOPOLISACARIDO;C;C10;C10A;C10AD
C10AX;OTROS MODIFICADORES DE LOS LIPIDOS;OTROS MODIFICADORES DE LOS LIPIDOS;C;C10;C10A;C10AX
C10AX02;PROBUCOL;PROBUCOL;C;C10;C10A;C10AX
C10AX03;TIADENOL;TIADENOL;C;C10;C10A;C10AX
C10AX06;TRIGLICERIDOS OMEGA-3, INCL. OTROS ESTERES Y ACIDOS;TRIGLICERIDOS OMEGA-3, INCL. OTROS ESTERES Y ACIDOS;C;C10;C10A;C10AX
C10AX08;POLICOSANOL;POLICOSANOL;C;C10;C10A;C10AX
C10AX09;EZETIMIBA;EZETIMIBA;C;C10;C10A;C10AX
C10AX10;Alipogen tiparvovec;Alipogen tiparvovec;C;C10;C10A;C10AX
C10AX12;Lomitapida;Lomitapida;C;C10;C10A;C10AX
C10AX13;Evolocumab;Evolocumab;C;C10;C10A;C10AX
C10AX14;Alirocumab;Alirocumab;C;C10;C10A;C10AX
C10AX56;TRIGLICERIDOS OMEGA-3 EN ASOCIACION;TRIGLICERIDOS OMEGA-3 EN ASOCIACION;C;C10;C10A;C10AX
C10AX90;DEXTROTIROSINA;DEXTROTIROSINA;C;C10;C10A;C10AX
C10AX91;SULODEXIDA;SULODEXIDA;C;C10;C10A;C10AX
C10AX94;HEPARINOIDE;HEPARINOIDE;C;C10;C10A;C10AX
C10AX95;SULTOSILATO DE PIPERAZINA;SULTOSILATO DE PIPERAZINA;C;C10;C10A;C10AX
C10AX97;AMILASA+LIPASA+TIROSINASA;AMILASA+LIPASA+TIROSINASA;C;C10;C10A;C10AX
C10AX99;FOSFOLIPIDOS EN ASOCIACION;FOSFOLIPIDOS EN ASOCIACION;C;C10;C10A;C10AX
C10AXNE;OTROS MODIFICADORES DE LOS LIPIDOS NE;OTROS MODIFICADORES DE LOS LIPIDOS NE;C;C10;C10A;C10AX
C10B;MODIFICADORES DE LOS LIPIDOS EN ASOCIACION;MODIFICADORES DE LOS LIPIDOS EN ASOCIACION;C;C10;C10B;
C10BA;INHIBIDORES DE LA HMG-CoA REDUCT. ASOC. A OTROS MODIFICAD.;INHIBIDORES DE LA HMG-CoA REDUCT. ASOC. A OTROS MODIFICAD.;C;C10;C10B;C10BA
C10BA01;LOVASTATINA ASOCIADA A ACIDO NICOTINICO;LOVASTATINA ASOCIADA A ACIDO NICOTINICO;C;C10;C10B;C10BA
C10BA02;SIMVASTATINA ASOCIADA A EZETIMIBA;SIMVASTATINA ASOCIADA A EZETIMIBA;C;C10;C10B;C10BA
C10BA03;ATORVASTATINA ASOCIADA A FENOFIBRATO;ATORVASTATINA ASOCIADA A FENOFIBRATO;C;C10;C10B;C10BA
C10BA04;Simvastatina y fenofibrato;Simvastatina y fenofibrato;C;C10;C10B;C10BA
C10BA05;Atorvastatina y Ezetimiba;Atorvastatina y Ezetimiba;C;C10;C10B;C10BA
C10BA06;Rosuvastatina y Ezetimiba;Rosuvastatina y Ezetimiba;C;C10;C10B;C10BA
C10BX;INHIBIDORES HMG-CoA REDUCTASA OTRAS ASOCIACIONES;INHIBIDORES HMG-CoA REDUCTASA OTRAS ASOCIACIONES;C;C10;C10B;C10BX
C10BX01;SIMVASTATINA ASOCIADA A ACIDO ACETILSALICILICO;SIMVASTATINA ASOCIADA A ACIDO ACETILSALICILICO;C;C10;C10B;C10BX
C10BX02;PRAVASTATINA ASOCIADA A ACIDO ACETILSALICILICO;PRAVASTATINA ASOCIADA A ACIDO ACETILSALICILICO;C;C10;C10B;C10BX
C10BX03;ATORVASTATINA ASOCIADA A AMLODIPINO;ATORVASTATINA ASOCIADA A AMLODIPINO;C;C10;C10B;C10BX
C10BX04;SIMVASTATINA + ACETILSALICILICO ACIDO + RAMIPRILO;SIMVASTATINA + ACETILSALICILICO ACIDO + RAMIPRILO;C;C10;C10B;C10BX
C10BX06;Atorvastatina, acido acetilsalicilico y ramipril;Atorvastatina, acido acetilsalicilico y ramipril;C;C10;C10B;C10BX
C10BX09;Rosuvastatina y amlodipino;Rosuvastatina y amlodipino;C;C10;C10B;C10BX
C10BX10;ROSUVASTATINA Y VALSARTAN;ROSUVASTATINA Y VALSARTAN;C;C10;C10B;C10BX
D;DERMATOLOGICOS;DERMATOLOGICOS;D;;;
D01;ANTIFUNGICOS DE USO TOPICO;ANTIFUNGICOS DE USO TOPICO;D;D01;;
D01A;ANTIFUNGICOS DE USO TOPICO;ANTIFUNGICOS DE USO TOPICO;D;D01;D01A;
D01AA;ANTIBIOTICOS (ANTIFUNGICOS USO TOPICO);ANTIBIOTICOS (ANTIFUNGICOS USO TOPICO);D;D01;D01A;D01AA
D01AA01;NISTATINA;NISTATINA;D;D01;D01A;D01AA
D01AA02;NATAMICINA;NATAMICINA;D;D01;D01A;D01AA
D01AA03;HACHIMICINA;HACHIMICINA;D;D01;D01A;D01AA
D01AA04;PECILOCINA;PECILOCINA;D;D01;D01A;D01AA
D01AA06;MEPARTRICINA;MEPARTRICINA;D;D01;D01A;D01AA
D01AA07;PIRROLNITRINA;PIRROLNITRINA;D;D01;D01A;D01AA
D01AA08;GRISEOFULVINA;GRISEOFULVINA;D;D01;D01A;D01AA
D01AA51;NISTATINA DEN ASOCIACION;NISTATINA DEN ASOCIACION;D;D01;D01A;D01AA
D01AC;DERIVADOS IMIDAZOL Y TRIAZOL (ANTIFUNG.USO TOPICO);DERIVADOS IMIDAZOL Y TRIAZOL (ANTIFUNG.USO TOPICO);D;D01;D01A;D01AC
D01AC01;CLOTRIMAZOL;CLOTRIMAZOL;D;D01;D01A;D01AC
D01AC02;MICONAZOL;MICONAZOL;D;D01;D01A;D01AC
D01AC03;ECONAZOL;ECONAZOL;D;D01;D01A;D01AC
D01AC04;CLOMIDAZOL;CLOMIDAZOL;D;D01;D01A;D01AC
D01AC05;ISOCONAZOL;ISOCONAZOL;D;D01;D01A;D01AC
D01AC06;TIABENDAZOL;TIABENDAZOL;D;D01;D01A;D01AC
D01AC07;TIOCONAZOL;TIOCONAZOL;D;D01;D01A;D01AC
D01AC08;KETOCONAZOL;KETOCONAZOL;D;D01;D01A;D01AC
D01AC09;SULCONAZOL;SULCONAZOL;D;D01;D01A;D01AC
D01AC10;BIFONAZOL;BIFONAZOL;D;D01;D01A;D01AC
D01AC11;OXICONAZOL;OXICONAZOL;D;D01;D01A;D01AC
D01AC12;FENTICONAZOL;FENTICONAZOL;D;D01;D01A;D01AC
D01AC13;OMOCONAZOL;OMOCONAZOL;D;D01;D01A;D01AC
D01AC14;SERTACONAZOL;SERTACONAZOL;D;D01;D01A;D01AC
D01AC15;FLUCONAZOL;FLUCONAZOL;D;D01;D01A;D01AC
D01AC16;FLUTRIMAZOL;FLUTRIMAZOL;D;D01;D01A;D01AC
D01AC17;Eberconazol;Eberconazol;D;D01;D01A;D01AC
D01AC51;CLOTRIMAZOL EN ASOCIACION;CLOTRIMAZOL EN ASOCIACION;D;D01;D01A;D01AC
D01AC52;MICONAZOL EN ASOCIACION;MICONAZOL EN ASOCIACION;D;D01;D01A;D01AC
D01AC91;EBERCONAZOL;EBERCONAZOL;D;D01;D01A;D01AC
D01AE;OTROS ANTIFUNGICOS DE USO TOPICO;OTROS ANTIFUNGICOS DE USO TOPICO;D;D01;D01A;D01AE
D01AE01;BROMOSALICILCLOROANILIDA;BROMOSALICILCLOROANILIDA;D;D01;D01A;D01AE
D01AE02;METILROSANILINA (VIOLETA DE GENCIANA);METILROSANILINA (VIOLETA DE GENCIANA);D;D01;D01A;D01AE
D01AE03;TRIBROMOMETACRESOL;TRIBROMOMETACRESOL;D;D01;D01A;D01AE
D01AE04;UNDECILENICO ACIDO;UNDECILENICO ACIDO;D;D01;D01A;D01AE
D01AE05;POLINOXILINA;POLINOXILINA;D;D01;D01A;D01AE
D01AE07;CLOROFENESINA;CLOROFENESINA;D;D01;D01A;D01AE
D01AE08;TICLATONA;TICLATONA;D;D01;D01A;D01AE
D01AE09;SULBENTINA;SULBENTINA;D;D01;D01A;D01AE
D01AE10;ETIL HIDROXIBENZOATO;ETIL HIDROXIBENZOATO;D;D01;D01A;D01AE
D01AE11;HALOPROGINA;HALOPROGINA;D;D01;D01A;D01AE
D01AE12;SALICILICO ACIDO;SALICILICO ACIDO;D;D01;D01A;D01AE
D01AE13;SULFURO SELENIO;SULFURO SELENIO;D;D01;D01A;D01AE
D01AE14;CICLOPIROX;CICLOPIROX;D;D01;D01A;D01AE
D01AE15;TERBINAFINA;TERBINAFINA;D;D01;D01A;D01AE
D01AE16;AMOROLFINA;AMOROLFINA;D;D01;D01A;D01AE
D01AE17;DIMAZOL;DIMAZOL;D;D01;D01A;D01AE
D01AE18;TOLNAFTATO;TOLNAFTATO;D;D01;D01A;D01AE
D01AE19;TOLCICLATO;TOLCICLATO;D;D01;D01A;D01AE
D01AE20;ASOCIACIONES (ANTIFUNGICOS TOPICOS);ASOCIACIONES (ANTIFUNGICOS TOPICOS);D;D01;D01A;D01AE
D01AE21;FLUCITOSINA;FLUCITOSINA;D;D01;D01A;D01AE
D01AE22;NAFTIFINA;NAFTIFINA;D;D01;D01A;D01AE
D01AE23;BUTENAFINA;BUTENAFINA;D;D01;D01A;D01AE
D01AE51;BROMOSALICILCLOROANILIDA EN ASOCIACION;BROMOSALICILCLOROANILIDA EN ASOCIACION;D;D01;D01A;D01AE
D01AE52;METILROSANILINA EN ASOCIACION;METILROSANILINA EN ASOCIACION;D;D01;D01A;D01AE
D01AE54;UNDECILENICO ACIDO EN ASOCIACION;UNDECILENICO ACIDO EN ASOCIACION;D;D01;D01A;D01AE
D01AE62;SALICILICO ACIDO EN ASOCIACION;SALICILICO ACIDO EN ASOCIACION;D;D01;D01A;D01AE
D01AENE;OTROS ANTIFUNGICOS DE USO TOPICO NE;OTROS ANTIFUNGICOS DE USO TOPICO NE;D;D01;D01A;D01AE
D01B;ANTIFUNGICOS DE USO SISTEMICO (DERMATOLOGICOS);ANTIFUNGICOS DE USO SISTEMICO (DERMATOLOGICOS);D;D01;D01B;
D01BA;ANTIBIOTICOS (ANTIFUNGICOS USO SISTEMICO);ANTIBIOTICOS (ANTIFUNGICOS USO SISTEMICO);D;D01;D01B;D01BA
D01BA01;GRISEOFULVINA;GRISEOFULVINA;D;D01;D01B;D01BA
D01BA02;TERBINAFINA;TERBINAFINA;D;D01;D01B;D01BA
D02;EMOLIENTES Y PROTECTORES DERMATOLOGICOS;EMOLIENTES Y PROTECTORES DERMATOLOGICOS;D;D02;;
D02A;EMOLIENTES Y PROTECTORES;EMOLIENTES Y PROTECTORES;D;D02;D02A;
D02AB;PRODUCTOS DE ZINC;PRODUCTOS DE ZINC;D;D02;D02A;D02AB
D02AB91;ZINC OXIDO;ZINC OXIDO;D;D02;D02A;D02AB
D02AB92;ZINC OXIDO EN ASOCIACION;ZINC OXIDO EN ASOCIACION;D;D02;D02A;D02AB
D02AB93;ZINC SULFATO;ZINC SULFATO;D;D02;D02A;D02AB
D02ABNE;PRODUCTOS DE ZINC NE;PRODUCTOS DE ZINC NE;D;D02;D02A;D02AB
D02AC;PARAFINA FLUIDA Y PRODUCTOS GRASOS;PARAFINA FLUIDA Y PRODUCTOS GRASOS;D;D02;D02A;D02AC
D02AC91;VASELINA;VASELINA;D;D02;D02A;D02AC
D02AC92;GLICEROL;GLICEROL;D;D02;D02A;D02AC
D02AC93;VASELINA+LANOLINA+CETILICO ACIDO;VASELINA+LANOLINA+CETILICO ACIDO;D;D02;D02A;D02AC
D02ACNE;PARAFINA FLUIDA Y PRODUCTOS GRASOS NE;PARAFINA FLUIDA Y PRODUCTOS GRASOS NE;D;D02;D02A;D02AC
D02AD;EMPLASTOS LIQUIDOS;EMPLASTOS LIQUIDOS;D;D02;D02A;D02AD
D02AD91;TIRAM EN ASOCIACION;TIRAM EN ASOCIACION;D;D02;D02A;D02AD
D02AD92;PELICULA PROTECTORA PIEL SANA;PELICULA PROTECTORA PIEL SANA;D;D02;D02A;D02AD
D02AF;PREPARADOS CON ACIDO SALICILICO;PREPARADOS CON ACIDO SALICILICO;D;D02;D02A;D02AF
D02AF91;SALICILICO ACIDO EN ASOCIACION;SALICILICO ACIDO EN ASOCIACION;D;D02;D02A;D02AF
D02AFNE;PREPARADOS CON ACIDO SALICILICO NE;PREPARADOS CON ACIDO SALICILICO NE;D;D02;D02A;D02AF
D02AX;OTROS EMOLIENTES Y PROTECTORES DERMATOLOGICOS;OTROS EMOLIENTES Y PROTECTORES DERMATOLOGICOS;D;D02;D02A;D02AX
D02AX91;MIRISTATO DE ISOPROPILO;MIRISTATO DE ISOPROPILO;D;D02;D02A;D02AX
D02AXNE;OTROS EMOLIENTES Y PROTECTORES DERMATOLOGICOS NE;OTROS EMOLIENTES Y PROTECTORES DERMATOLOGICOS NE;D;D02;D02A;D02AX
D02B;PROTECTORES CONTRA LA RADIACION ULTRAVIOLETA;PROTECTORES CONTRA LA RADIACION ULTRAVIOLETA;D;D02;D02B;
D02BA;PROTECTORES DE LA RADIACION ULTRAVIOLETA TOPICOS;PROTECTORES DE LA RADIACION ULTRAVIOLETA TOPICOS;D;D02;D02B;D02BA
D02BA01;AMINOBENZOICO ACIDO;AMINOBENZOICO ACIDO;D;D02;D02B;D02BA
D02BA02;OCTIL METOXICINNAMATO;OCTIL METOXICINNAMATO;D;D02;D02B;D02BA
D02BB;PROTECTORES DE LA RADIACION ULTRAVIOLETA SISTEMICO;PROTECTORES DE LA RADIACION ULTRAVIOLETA SISTEMICO;D;D02;D02B;D02BB
D02BB01;BETACAROTENO;BETACAROTENO;D;D02;D02B;D02BB
D02BB02; Afamelanotida; Afamelanotida;D;D02;D02B;D02BB
D03;PRODUCTOS PARA TRATAMIENTO DE HERIDAS Y ULCERAS;PRODUCTOS PARA TRATAMIENTO DE HERIDAS Y ULCERAS;D;D03;;
D03A;CICATRIZANTES;CICATRIZANTES;D;D03;D03A;
D03AX;OTROS CICATRIZANTES;OTROS CICATRIZANTES;D;D03;D03A;D03AX
D03AX01;CADEXOMERO IODADO;CADEXOMERO IODADO;D;D03;D03A;D03AX
D03AX02;DEXTRANOMERO;DEXTRANOMERO;D;D03;D03A;D03AX
D03AX03;DEXPANTENOL;DEXPANTENOL;D;D03;D03A;D03AX
D03AX04;CALCIO PANTOTENATO;CALCIO PANTOTENATO;D;D03;D03A;D03AX
D03AX05;HIALURONICO ACIDO;HIALURONICO ACIDO;D;D03;D03A;D03AX
D03AX06;BECAPLERMINA;BECAPLERMINA;D;D03;D03A;D03AX
D03AX10;ENOXOLONA;ENOXOLONA;D;D03;D03A;D03AX
D03AX55;ACIDO HIALURONICO EN ASOCIACION;ACIDO HIALURONICO EN ASOCIACION;D;D03;D03A;D03AX
D03AX90;PREPARADOS ANTIESCARAS;PREPARADOS ANTIESCARAS;D;D03;D03A;D03AX
D03AX91;SANGRE EXTO;SANGRE EXTO;D;D03;D03A;D03AX
D03AX92;ACEXAMICO ACIDO;ACEXAMICO ACIDO;D;D03;D03A;D03AX
D03AX93;ACEXAMICO ACIDO+NEOMICINA;ACEXAMICO ACIDO+NEOMICINA;D;D03;D03A;D03AX
D03AX94;CENTELLA ASIATICA EXTO;CENTELLA ASIATICA EXTO;D;D03;D03A;D03AX
D03AX95;CENTELLA ASIATICA EXTO+NEOMICINA;CENTELLA ASIATICA EXTO+NEOMICINA;D;D03;D03A;D03AX
D03AX96;BALSAMO DEL PERU EN ASOCIACION;BALSAMO DEL PERU EN ASOCIACION;D;D03;D03A;D03AX
D03AX97;CLORAMFENICOL EN ASOCIACION;CLORAMFENICOL EN ASOCIACION;D;D03;D03A;D03AX
D03AX98;FENOXIETANOL EN ASOCIACION;FENOXIETANOL EN ASOCIACION;D;D03;D03A;D03AX
D03AX99;SILICONAS;SILICONAS;D;D03;D03A;D03AX
D03AXNE;OTROS CICATRIZANTES NE;OTROS CICATRIZANTES NE;D;D03;D03A;D03AX
D03B;ENZIMAS (TRATAMIENTO DE HERIDAS);ENZIMAS (TRATAMIENTO DE HERIDAS);D;D03;D03B;
D03BA;ENZIMAS PROTEOLITICAS (TRATAMIENTO DE HERIDAS);ENZIMAS PROTEOLITICAS (TRATAMIENTO DE HERIDAS);D;D03;D03B;D03BA
D03BA01;TRIPSINA;TRIPSINA;D;D03;D03B;D03BA
D03BA02;COLAGENASA;COLAGENASA;D;D03;D03B;D03BA
D03BA03;Bromelainas;Bromelainas;D;D03;D03B;D03BA
D03BA51;TRIPSINA EN ASOCIACION;TRIPSINA EN ASOCIACION;D;D03;D03B;D03BA
D03BA52;COLAGENASA EN ASOCIACION;COLAGENASA EN ASOCIACION;D;D03;D03B;D03BA
D03BA91;CATALASA;CATALASA;D;D03;D03B;D03BA
D03BA93;DEXOSIRRIBONUCLEASA+FIBRINOLISINA;DEXOSIRRIBONUCLEASA+FIBRINOLISINA;D;D03;D03B;D03BA
D03BA94;ESTREPTOQUINASA+ESTREPTODORNASA;ESTREPTOQUINASA+ESTREPTODORNASA;D;D03;D03B;D03BA
D04;ANTIPRURIGINOSOS, INCLUIDOS ANTIHISTAMINICOS;ANTIPRURIGINOSOS, INCLUIDOS ANTIHISTAMINICOS;D;D04;;
D04A;ANTIPRURIGINOSOS, INCL. ANTIHISTAM.,ANESTESIC.ETC.;ANTIPRURIGINOSOS, INCL. ANTIHISTAM.,ANESTESIC.ETC.;D;D04;D04A;
D04AA;ANTIHISTAMINICOS DE USO TOPICO;ANTIHISTAMINICOS DE USO TOPICO;D;D04;D04A;D04AA
D04AA04;TRIPELENAMINA;TRIPELENAMINA;D;D04;D04A;D04AA
D04AA10;PROMETAZINA;PROMETAZINA;D;D04;D04A;D04AA
D04AA13;DIMETINDENE;DIMETINDENE;D;D04;D04A;D04AA
D04AA32;DIFENHIDRAMINA;DIFENHIDRAMINA;D;D04;D04A;D04AA
D04AA91;DEXCLORFENIRAMINA EN ASOCIACION;DEXCLORFENIRAMINA EN ASOCIACION;D;D04;D04A;D04AA
D04AANE;ANTIHISTAMINICOS DE USO TOPICO NE;ANTIHISTAMINICOS DE USO TOPICO NE;D;D04;D04A;D04AA
D04AB;ANESTESICOS DE USO TOPICO;ANESTESICOS DE USO TOPICO;D;D04;D04A;D04AB
D04AB01;LIDOCAINA;LIDOCAINA;D;D04;D04A;D04AB
D04AB04;BENZOCAINA;BENZOCAINA;D;D04;D04A;D04AB
D04AB06;TETRACAINA;TETRACAINA;D;D04;D04A;D04AB
D04AB07;PRAMOCAINA;PRAMOCAINA;D;D04;D04A;D04AB
D04AB56;TETRACAINA EN ASOCIACION;TETRACAINA EN ASOCIACION;D;D04;D04A;D04AB
D04ABNE;ANESTESICOS DE USO TOPICO NE;ANESTESICOS DE USO TOPICO NE;D;D04;D04A;D04AB
D04AX;OTROS ANTIPRURIGINOSOS;OTROS ANTIPRURIGINOSOS;D;D04;D04A;D04AX
D04AX91;CALAMINA;CALAMINA;D;D04;D04A;D04AX
D04AX92;ICTIOL EN ASOCIACION;ICTIOL EN ASOCIACION;D;D04;D04A;D04AX
D04AX93;ALCANFOR + MENTOL;ALCANFOR + MENTOL;D;D04;D04A;D04AX
D04AXNE;OTROS ANTIPRURIGINOSOS NE;OTROS ANTIPRURIGINOSOS NE;D;D04;D04A;D04AX
D05;ANTIPSORIASICOS;ANTIPSORIASICOS;D;D05;;
D05A;ANTIPSORIASICOS DE USO TOPICO;ANTIPSORIASICOS DE USO TOPICO;D;D05;D05A;
D05AA;ALQUITRANES (ANTIPSORIASICOS USO TOPICO);ALQUITRANES (ANTIPSORIASICOS USO TOPICO);D;D05;D05A;D05AA
D05AA91;BREA DE HULLA;BREA DE HULLA;D;D05;D05A;D05AA
D05AA92;BREA DE HULLA EN ASOCIACION;BREA DE HULLA EN ASOCIACION;D;D05;D05A;D05AA
D05AA93;ACEITE DE ENEBRO (CADE);ACEITE DE ENEBRO (CADE);D;D05;D05A;D05AA
D05AANE;ALQUITRANES (ANTIPSORIASICOS USO TOPICO) NE;ALQUITRANES (ANTIPSORIASICOS USO TOPICO) NE;D;D05;D05A;D05AA
D05AC;DERIVADOS DEL ANTRACENO (ANTIPSORIASICOS TOPICOS);DERIVADOS DEL ANTRACENO (ANTIPSORIASICOS TOPICOS);D;D05;D05A;D05AC
D05AC01;DITRANOL;DITRANOL;D;D05;D05A;D05AC
D05AC51;DITRANOL EN ASOCIACION;DITRANOL EN ASOCIACION;D;D05;D05A;D05AC
D05AD;PSORALENOS DE USO TOPICO (ANTIPSORIASICOS);PSORALENOS DE USO TOPICO (ANTIPSORIASICOS);D;D05;D05A;D05AD
D05AD01;TRIOXISALENO;TRIOXISALENO;D;D05;D05A;D05AD
D05AD02;METOXSALENO;METOXSALENO;D;D05;D05A;D05AD
D05AX;OTROS ANTIPSORIASICOS DE USO TOPICO;OTROS ANTIPSORIASICOS DE USO TOPICO;D;D05;D05A;D05AX
D05AX01;FUMARICO ACIDO;FUMARICO ACIDO;D;D05;D05A;D05AX
D05AX02;CALCIPOTRIOL;CALCIPOTRIOL;D;D05;D05A;D05AX
D05AX03;CALCITRIOL;CALCITRIOL;D;D05;D05A;D05AX
D05AX04;TACALCITOL;TACALCITOL;D;D05;D05A;D05AX
D05AX05;TAZAROTENO;TAZAROTENO;D;D05;D05A;D05AX
D05AX52;CALCIPOTRIOL EN ASOCIACION;CALCIPOTRIOL EN ASOCIACION;D;D05;D05A;D05AX
D05B;ANTIPSORIASICOS DE USO SISTEMICO;ANTIPSORIASICOS DE USO SISTEMICO;D;D05;D05B;
D05BA;PSORALENOS DE USO SISTEMICO (ANTIPSORIASICOS);PSORALENOS DE USO SISTEMICO (ANTIPSORIASICOS);D;D05;D05B;D05BA
D05BA01;TRIOXISALENO;TRIOXISALENO;D;D05;D05B;D05BA
D05BA02;METOXSALENO;METOXSALENO;D;D05;D05B;D05BA
D05BA03;BERGAPTEN;BERGAPTEN;D;D05;D05B;D05BA
D05BB;RETINOIDES PARA TRATAMIENTO DE PSORIASIS (SISTEMICOS);RETINOIDES PARA TRATAMIENTO DE PSORIASIS (SISTEMICOS);D;D05;D05B;D05BB
D05BB01;ETRETINATO;ETRETINATO;D;D05;D05B;D05BB
D05BB02;ACITRETINA;ACITRETINA;D;D05;D05B;D05BB
D05BX;OTROS ANTIPSORIASICOS DE USO SISTEMICO;OTROS ANTIPSORIASICOS DE USO SISTEMICO;D;D05;D05B;D05BX
D05BX90;Dimetil fumarato;Dimetil fumarato;D;D05;D05B;D05BX
D05BX91;CALAGUALA EXTO (POLIPODIUM LEUCOTOMOS);CALAGUALA EXTO (POLIPODIUM LEUCOTOMOS);D;D05;D05B;D05BX
D06;ANTIBIOTICOS Y QUIMIOTERAPICOS DERMATOLOGICOS;ANTIBIOTICOS Y QUIMIOTERAPICOS DERMATOLOGICOS;D;D06;;
D06A;ANTIBIOTICOS DE USO TOPICO (DERMATOLOGICOS);ANTIBIOTICOS DE USO TOPICO (DERMATOLOGICOS);D;D06;D06A;
D06AA;TETRACICLINA Y DERIVADOS (DERMATOLOGICOS);TETRACICLINA Y DERIVADOS (DERMATOLOGICOS);D;D06;D06A;D06AA
D06AA01;DEMECLOCICLINA;DEMECLOCICLINA;D;D06;D06A;D06AA
D06AA02;CLORTETRACICLINA;CLORTETRACICLINA;D;D06;D06A;D06AA
D06AA03;OXITETRACICLINA (SOLA/ASOC. OTROS ANTIB);OXITETRACICLINA (SOLA/ASOC. OTROS ANTIB);D;D06;D06A;D06AA
D06AN;ANTIBIOTICOS DE USO TOPICO (DERMATOLOGICOS) NE;ANTIBIOTICOS DE USO TOPICO (DERMATOLOGICOS) NE;D;D06;D06A;D06AN
D06ANNE;ANTIBIOTICOS DE USO TOPICO (DERMATOLOGICOS) NE NE;ANTIBIOTICOS DE USO TOPICO (DERMATOLOGICOS) NE NE;D;D06;D06A;D06AN
D06AX;OTROS ANTIBIOTICOS DE USO TOPICO (DERMATOLOGICOS);OTROS ANTIBIOTICOS DE USO TOPICO (DERMATOLOGICOS);D;D06;D06A;D06AX
D06AX01;FUSIDICO ACIDO;FUSIDICO ACIDO;D;D06;D06A;D06AX
D06AX02;CLORAMFENICOL;CLORAMFENICOL;D;D06;D06A;D06AX
D06AX04;NEOMICINA (SOLA O ASOC.A OTROS ANTIBIOT);NEOMICINA (SOLA O ASOC.A OTROS ANTIBIOT);D;D06;D06A;D06AX
D06AX05;BACITRACINA;BACITRACINA;D;D06;D06A;D06AX
D06AX07;GENTAMICINA;GENTAMICINA;D;D06;D06A;D06AX
D06AX08;TIROTRICINA;TIROTRICINA;D;D06;D06A;D06AX
D06AX09;MUPIROCINA;MUPIROCINA;D;D06;D06A;D06AX
D06AX10;VIRGINIAMICINA;VIRGINIAMICINA;D;D06;D06A;D06AX
D06AX11;RIFAXIMINA;RIFAXIMINA;D;D06;D06A;D06AX
D06AX12;AMICACINA;AMICACINA;D;D06;D06A;D06AX
D06AX13;RETAPAMULINA;RETAPAMULINA;D;D06;D06A;D06AX
D06AX14; Ozenoxacino; Ozenoxacino;D;D06;D06A;D06AX
D06B;QUIMIOTERAPICOS DE USO TOPICO (DERMATOLOGICOS);QUIMIOTERAPICOS DE USO TOPICO (DERMATOLOGICOS);D;D06;D06B;
D06BA;SULFONAMIDAS (QUIMIOTERAPICOS USO DERMATOLOGICO);SULFONAMIDAS (QUIMIOTERAPICOS USO DERMATOLOGICO);D;D06;D06B;D06BA
D06BA01;SULFADIAZINA ARGENTICA;SULFADIAZINA ARGENTICA;D;D06;D06B;D06BA
D06BA02;SULFATIAZOL;SULFATIAZOL;D;D06;D06B;D06BA
D06BA03;MAFENIDA;MAFENIDA;D;D06;D06B;D06BA
D06BA05;SULFANILAMIDA;SULFANILAMIDA;D;D06;D06B;D06BA
D06BA06;SULFAMERAZINA;SULFAMERAZINA;D;D06;D06B;D06BA
D06BA51;SULFADIAZINA ARGENTICA EN ASOCIACION;SULFADIAZINA ARGENTICA EN ASOCIACION;D;D06;D06B;D06BA
D06BA52;SULFATIAZOL EN ASOCIACION;SULFATIAZOL EN ASOCIACION;D;D06;D06B;D06BA
D06BA53;MAFENIDA EN ASOCIACION;MAFENIDA EN ASOCIACION;D;D06;D06B;D06BA
D06BA55;SULFANILAMIDA EN ASOCIACION;SULFANILAMIDA EN ASOCIACION;D;D06;D06B;D06BA
D06BB;ANTIVIRALES (QUIMIOTERAPICOS TOPICOS DERMATOLOGIC);ANTIVIRALES (QUIMIOTERAPICOS TOPICOS DERMATOLOGIC);D;D06;D06B;D06BB
D06BB01;IDOXURIDINA;IDOXURIDINA;D;D06;D06B;D06BB
D06BB02;TROMANTADINA;TROMANTADINA;D;D06;D06B;D06BB
D06BB03;ACICLOVIR;ACICLOVIR;D;D06;D06B;D06BB
D06BB04;PODOFILOTOXINA;PODOFILOTOXINA;D;D06;D06B;D06BB
D06BB06;PENCICLOVIR;PENCICLOVIR;D;D06;D06B;D06BB
D06BB07;LISOZIMA;LISOZIMA;D;D06;D06B;D06BB
D06BB10;IMIQUIMOD;IMIQUIMOD;D;D06;D06B;D06BB
D06BB11;Docosanol;Docosanol;D;D06;D06B;D06BB
D06BB12;SINECATEQUINAS;SINECATEQUINAS;D;D06;D06B;D06BB
D06BB51;IDOXURIDINA EN ASOCIACION;IDOXURIDINA EN ASOCIACION;D;D06;D06B;D06BB
D06BB53;ACICLOVIR EN ASOCIACION;ACICLOVIR EN ASOCIACION;D;D06;D06B;D06BB
