Disease_ID;Disease;Entity1_type;Gene_ID;Gene;Entity2_type;LADME
PA443560;BREAST NEOPLASMS;DISEASE;PA26121;CBR1;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA26122;CBR3;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA26161;CCNK;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA267;ABCB1;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA26947;CSMD1;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA27091;CYP19A1;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA27092;CYP1A1;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA27094;CYP1B1;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA27614;EDN1;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA27821;EPHA5;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA27844;ERBB2;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA27846;ERBB3;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA27848;ERCC2;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA27886;ESR2;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA28063;FCGR2A;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA28065;FCGR3A;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA28130;FGFR4;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA28237;FOXO1;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA28360;MTOR;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA29028;GSTP1;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA29340;HMMR;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA298;RRM1;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA30612;MAP4K4;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA30719;MDM4;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA31470;NCOA1;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA31744;NQO1;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA31745;NQO2;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA33290;PIGB;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA33312;PIK3R1;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA33313;PIK3R2;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA33676;PPP2R5D;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA34299;RBX1;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA343;SULT1A1;GENE;
PA443560;BREAST NEOPLASMS;DISEASE;PA34445;RNF8;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA34862;RRAS2;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA35055;HLA-A;GENE;
PA443560;BREAST NEOPLASMS;DISEASE;PA35056;HLA-B;GENE;
PA443560;BREAST NEOPLASMS;DISEASE;PA35057;HLA-C;GENE;
PA443560;BREAST NEOPLASMS;DISEASE;PA35072;HLA-DRB1;GENE;
PA443560;BREAST NEOPLASMS;DISEASE;PA354;TOP2A;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA359;TYMS;GENE;
PA443560;BREAST NEOPLASMS;DISEASE;PA36017;SOD2;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA36602;TNFRSF11B;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA36619;TNFSF11;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA36679;TP53;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA369;XRCC1;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA37179;UGT1A4;GENE;
PA443560;BREAST NEOPLASMS;DISEASE;PA37188;UGT2B15;GENE;
PA443560;BREAST NEOPLASMS;DISEASE;PA37189;UGT2B17;GENE;
PA443560;BREAST NEOPLASMS;DISEASE;PA37301;VDR;GENE;
PA443560;BREAST NEOPLASMS;DISEASE;PA37302;VEGFA;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA38100;TUBB1;GENE;
PA443560;BREAST NEOPLASMS;DISEASE;PA390;ABCG2;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA397;ABCC4;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA61;ATM;GENE;PD
PA443560;BREAST NEOPLASMS;DISEASE;PA75;CCND1;GENE;
PA447230;HIV INFECTIONS;DISEASE;PA116;ABCC2;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA121;CYP2A6;GENE;
PA447230;HIV INFECTIONS;DISEASE;PA123;CYP2B6;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA124;CYP2C19;GENE;
PA447230;HIV INFECTIONS;DISEASE;PA126;CYP2C9;GENE;
PA447230;HIV INFECTIONS;DISEASE;PA128;CYP2D6;GENE;
PA447230;HIV INFECTIONS;DISEASE;PA130;CYP3A4;GENE;
PA447230;HIV INFECTIONS;DISEASE;PA131;CYP3A5;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA134865839;SLCO1B1;GENE;
PA447230;HIV INFECTIONS;DISEASE;PA134902026;SORCS2;GENE;
PA447230;HIV INFECTIONS;DISEASE;PA134942738;CCHCR1;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA134952671;IFNL3;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA134962723;ZSCAN25;GENE;
PA447230;HIV INFECTIONS;DISEASE;PA134986024;POLR3G;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA152208656;FTO;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA166049147;IFNL4;GENE;
PA447230;HIV INFECTIONS;DISEASE;PA18;NAT2;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA182;GSTM1;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA193;HTR2A;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA227;LDLR;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA24392;ABCC10;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA244;ABCC1;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA25938;TRAF3IP2;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA267;ABCB1;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA27097;CYP24A1;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA27099;CYP27B1;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA27479;DRD3;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA28469;G6PD;GENE;
PA447230;HIV INFECTIONS;DISEASE;PA28612;GCLC;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA29349;HNF4A;GENE;
PA447230;HIV INFECTIONS;DISEASE;PA29778;IL10;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA31801;NT5C2;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA31896;OCRL;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA31945;OPRM1;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA34938;SAMHD1;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA35056;HLA-B;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA35057;HLA-C;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA35068;HLA-DQB1;GENE;
PA447230;HIV INFECTIONS;DISEASE;PA35072;HLA-DRB1;GENE;
PA447230;HIV INFECTIONS;DISEASE;PA361;UGT2B7;GENE;
PA447230;HIV INFECTIONS;DISEASE;PA36384;TCF19;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA37178;UGT1A3;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA37182;UGT1A7;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA37404;XDH;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA378;NR1I2;GENE;
PA447230;HIV INFECTIONS;DISEASE;PA386;SLC28A2;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA390;ABCG2;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA391;NR1I3;GENE;
PA447230;HIV INFECTIONS;DISEASE;PA397;ABCC4;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA419;UGT1A9;GENE;
PA447230;HIV INFECTIONS;DISEASE;PA420;UGT1A1;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA435;TNF;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA53;APOC3;GENE;PD
PA447230;HIV INFECTIONS;DISEASE;PA55;APOE;GENE;PD
PA166114457;LUNG TRANSPLANTATION;DISEASE;PA124;CYP2C19;GENE;
PA166114457;LUNG TRANSPLANTATION;DISEASE;PA130;CYP3A4;GENE;
PA166114457;LUNG TRANSPLANTATION;DISEASE;PA131;CYP3A5;GENE;PD
PA166114457;LUNG TRANSPLANTATION;DISEASE;PA267;ABCB1;GENE;
PA166114457;LUNG TRANSPLANTATION;DISEASE;PA29802;IL18;GENE;
PA166114457;LUNG TRANSPLANTATION;DISEASE;PA35844;SLCO1B3;GENE;PD
PA166129521;SEDATION;DISEASE;PA128;CYP2D6;GENE;
PA166129521;SEDATION;DISEASE;PA145148868;FASTKD3;GENE;PD
PA166129521;SEDATION;DISEASE;PA29456;HRH1;GENE;PD
PA166129521;SEDATION;DISEASE;PA30059;KCNK2;GENE;PD
PA166129521;SEDATION;DISEASE;PA31277;MTRR;GENE;PD
PA166129521;SEDATION;DISEASE;PA329;SLC22A1;GENE;
PA444575;HYPONATREMIA;DISEASE;PA35840;SLCO2A1;GENE;PD
PA160680212;LYMPHOMA, LARGE B-CELL, DIFFUSE;DISEASE;PA29016;GSTA1;GENE;PD
PA160680212;LYMPHOMA, LARGE B-CELL, DIFFUSE;DISEASE;PA420;UGT1A1;GENE;
PA443362;ANGINA PECTORIS;DISEASE;PA124;CYP2C19;GENE;
PA443362;ANGINA PECTORIS;DISEASE;PA128;CYP2D6;GENE;
PA443362;ANGINA PECTORIS;DISEASE;PA134971947;P2RY12;GENE;PD
PA443362;ANGINA PECTORIS;DISEASE;PA33529;PON1;GENE;PD
PA443362;ANGINA PECTORIS;DISEASE;PA38;ADRB1;GENE;
PA443362;ANGINA PECTORIS;DISEASE;PA420;UGT1A1;GENE;
PA445217;EXOCRINE PANCREATIC INSUFFICIENCY;DISEASE;PA109;CFTR;GENE;
PA446892;HYPERHOMOCYSTEINEMIA;DISEASE;PA245;MTHFR;GENE;
PA444366;HEART BLOCK;DISEASE;PA304;SCN5A;GENE;
PA444845;LYMPHOMA, NON-HODGKIN;DISEASE;PA116;ABCC2;GENE;PD
PA444845;LYMPHOMA, NON-HODGKIN;DISEASE;PA123;CYP2B6;GENE;
PA444845;LYMPHOMA, NON-HODGKIN;DISEASE;PA124;CYP2C19;GENE;
PA444845;LYMPHOMA, NON-HODGKIN;DISEASE;PA131;CYP3A5;GENE;
PA444845;LYMPHOMA, NON-HODGKIN;DISEASE;PA244;ABCC1;GENE;PD
PA444845;LYMPHOMA, NON-HODGKIN;DISEASE;PA245;MTHFR;GENE;PD
PA444845;LYMPHOMA, NON-HODGKIN;DISEASE;PA267;ABCB1;GENE;PD
PA444845;LYMPHOMA, NON-HODGKIN;DISEASE;PA31236;MTHFD1;GENE;PD
PA444845;LYMPHOMA, NON-HODGKIN;DISEASE;PA359;TYMS;GENE;PD
PA445468;PULMONARY FIBROSIS;DISEASE;PA134876213;TOLLIP;GENE;PD
PA443875;DERMATITIS;DISEASE;PA30737;MEG3;GENE;PD
PA445376;POLYCYSTIC OVARY SYNDROME;DISEASE;PA162403808;SLC47A1;GENE;PD
PA445376;POLYCYSTIC OVARY SYNDROME;DISEASE;PA28725;GLP1R;GENE;PD
PA445768;SUBSTANCE WITHDRAWAL SYNDROME;DISEASE;PA136;DBH;GENE;
PA445768;SUBSTANCE WITHDRAWAL SYNDROME;DISEASE;PA31945;OPRM1;GENE;
PA445301;PERIPHERAL NERVOUS SYSTEM DISEASES;DISEASE;PA125;CYP2C8;GENE;PD
PA445301;PERIPHERAL NERVOUS SYSTEM DISEASES;DISEASE;PA130;CYP3A4;GENE;
PA445301;PERIPHERAL NERVOUS SYSTEM DISEASES;DISEASE;PA131;CYP3A5;GENE;
PA445301;PERIPHERAL NERVOUS SYSTEM DISEASES;DISEASE;PA142672125;CEP72;GENE;PD
PA445301;PERIPHERAL NERVOUS SYSTEM DISEASES;DISEASE;PA267;ABCB1;GENE;PD
PA445301;PERIPHERAL NERVOUS SYSTEM DISEASES;DISEASE;PA27821;EPHA5;GENE;PD
PA445301;PERIPHERAL NERVOUS SYSTEM DISEASES;DISEASE;PA29024;GSTM3;GENE;
PA445301;PERIPHERAL NERVOUS SYSTEM DISEASES;DISEASE;PA34938;SAMHD1;GENE;PD
PA446745;BREAST NEOPLASMS, MALE;DISEASE;PA25411;BRCA1;GENE;
PA443332;AMYOTROPHIC LATERAL SCLEROSIS;DISEASE;PA30899;MOBP;GENE;PD
PA446861;HEPATITIS, AUTOIMMUNE;DISEASE;PA356;TPMT;GENE;
PA444282;OPEN-ANGLE GLAUCOMA;DISEASE;PA24346;PTGS1;GENE;PD
PA444282;OPEN-ANGLE GLAUCOMA;DISEASE;PA290;PTGFR;GENE;PD
PA444282;OPEN-ANGLE GLAUCOMA;DISEASE;PA397;ABCC4;GENE;PD
PA443626;CARCINOMA, SQUAMOUS CELL;DISEASE;PA124;CYP2C19;GENE;
PA443626;CARCINOMA, SQUAMOUS CELL;DISEASE;PA201059;APEX1;GENE;PD
PA443626;CARCINOMA, SQUAMOUS CELL;DISEASE;PA31328;MUTYH;GENE;PD
PA443626;CARCINOMA, SQUAMOUS CELL;DISEASE;PA32834;OSGEP;GENE;PD
PA443626;CARCINOMA, SQUAMOUS CELL;DISEASE;PA369;XRCC1;GENE;PD
PA165108622;DRUG INTERACTION WITH DRUG;DISEASE;PA18;NAT2;GENE;PD
PA447109;MYOPATHIES, STRUCTURAL, CONGENITAL;DISEASE;PA24455;ACTA1;GENE;
PA447109;MYOPATHIES, STRUCTURAL, CONGENITAL;DISEASE;PA31251;MTM1;GENE;
PA447109;MYOPATHIES, STRUCTURAL, CONGENITAL;DISEASE;PA31530;NEB;GENE;
PA447109;MYOPATHIES, STRUCTURAL, CONGENITAL;DISEASE;PA34896;RYR1;GENE;
PA447109;MYOPATHIES, STRUCTURAL, CONGENITAL;DISEASE;PA36692;TPM3;GENE;
PA447109;MYOPATHIES, STRUCTURAL, CONGENITAL;DISEASE;PA38079;SELENON;GENE;
PA166128365;BONE DENSITY;DISEASE;PA37301;VDR;GENE;
PA166128365;BONE DENSITY;DISEASE;PA420;UGT1A1;GENE;PD
PA445172;OSTEITIS DEFORMANS;DISEASE;PA29808;IL1B;GENE;PD
PA445172;OSTEITIS DEFORMANS;DISEASE;PA37301;VDR;GENE;PD
PA447054;STROKE;DISEASE;PA107;CES1;GENE;PD
PA447054;STROKE;DISEASE;PA124;CYP2C19;GENE;PD
PA447054;STROKE;DISEASE;PA126;CYP2C9;GENE;
PA447054;STROKE;DISEASE;PA157;F2;GENE;PD
PA447054;STROKE;DISEASE;PA161;F12;GENE;PD
PA447054;STROKE;DISEASE;PA24357;A2M;GENE;PD
PA447054;STROKE;DISEASE;PA256;NPPA;GENE;PD
PA447054;STROKE;DISEASE;PA28393;ALDH1L1;GENE;
PA447054;STROKE;DISEASE;PA293;PTGS2;GENE;
PA447054;STROKE;DISEASE;PA30886;MMP3;GENE;
PA445100;NEUROBLASTOMA;DISEASE;PA24719;ALK;GENE;
PA166128826;MULTI-CORE CONGENITAL MYOPATHY;DISEASE;PA34896;RYR1;GENE;
PA444447;HEPATOCELLULAR CARCINOMA;DISEASE;PA134920089;GALNT14;GENE;PD
PA444447;HEPATOCELLULAR CARCINOMA;DISEASE;PA254;NOS3;GENE;PD
PA444447;HEPATOCELLULAR CARCINOMA;DISEASE;PA30086;KDR;GENE;PD
PA444447;HEPATOCELLULAR CARCINOMA;DISEASE;PA35812;SLC15A2;GENE;PD
PA444447;HEPATOCELLULAR CARCINOMA;DISEASE;PA37302;VEGFA;GENE;PD
PA444447;HEPATOCELLULAR CARCINOMA;DISEASE;PA419;UGT1A9;GENE;PD
PA444447;HEPATOCELLULAR CARCINOMA;DISEASE;PA420;UGT1A1;GENE;PD
PA444447;HEPATOCELLULAR CARCINOMA;DISEASE;PA435;TNF;GENE;PD
PA444684;KIDNEY FAILURE, CHRONIC;DISEASE;PA139;ACE;GENE;
PA444684;KIDNEY FAILURE, CHRONIC;DISEASE;PA27331;CYB5R3;GENE;
PA444684;KIDNEY FAILURE, CHRONIC;DISEASE;PA35055;HLA-A;GENE;
PA444684;KIDNEY FAILURE, CHRONIC;DISEASE;PA35056;HLA-B;GENE;
PA444684;KIDNEY FAILURE, CHRONIC;DISEASE;PA35057;HLA-C;GENE;
PA445724;SPONDYLITIS, ANKYLOSING;DISEASE;PA35056;HLA-B;GENE;
PA445724;SPONDYLITIS, ANKYLOSING;DISEASE;PA36610;TNFRSF1B;GENE;PD
PA445724;SPONDYLITIS, ANKYLOSING;DISEASE;PA435;TNF;GENE;PD
PA166120929;SEVERE CUTANEOUS ADVERSE REACTIONS;DISEASE;PA126;CYP2C9;GENE;
PA166120929;SEVERE CUTANEOUS ADVERSE REACTIONS;DISEASE;PA142672032;CYCSP5;GENE;PD
PA166120929;SEVERE CUTANEOUS ADVERSE REACTIONS;DISEASE;PA18;NAT2;GENE;PD
PA166120929;SEVERE CUTANEOUS ADVERSE REACTIONS;DISEASE;PA182;GSTM1;GENE;
PA166120929;SEVERE CUTANEOUS ADVERSE REACTIONS;DISEASE;PA31686;NOTCH4;GENE;PD
PA166120929;SEVERE CUTANEOUS ADVERSE REACTIONS;DISEASE;PA33545;POU5F1;GENE;PD
PA166120929;SEVERE CUTANEOUS ADVERSE REACTIONS;DISEASE;PA33919;PSORS1C1;GENE;PD
PA166120929;SEVERE CUTANEOUS ADVERSE REACTIONS;DISEASE;PA33921;PSORS1C3;GENE;PD
PA166120929;SEVERE CUTANEOUS ADVERSE REACTIONS;DISEASE;PA35055;HLA-A;GENE;PD
PA166120929;SEVERE CUTANEOUS ADVERSE REACTIONS;DISEASE;PA35056;HLA-B;GENE;PD
PA166120929;SEVERE CUTANEOUS ADVERSE REACTIONS;DISEASE;PA35057;HLA-C;GENE;PD
PA166120929;SEVERE CUTANEOUS ADVERSE REACTIONS;DISEASE;PA35068;HLA-DQB1;GENE;PD
PA166120929;SEVERE CUTANEOUS ADVERSE REACTIONS;DISEASE;PA35072;HLA-DRB1;GENE;PD
PA166123311;CATECHOLAMINERGIC POLYMORPHIC VENTRICULAR TACHYCARDIA;DISEASE;PA300;RYR2;GENE;
PA444437;HEPATITIS B;DISEASE;PA166049147;IFNL4;GENE;
PA446827;HEMATOLOGIC NEOPLASMS;DISEASE;PA165378332;ADORA2A-AS1;GENE;PD
PA446827;HEMATOLOGIC NEOPLASMS;DISEASE;PA24584;ADORA2A;GENE;PD
PA446827;HEMATOLOGIC NEOPLASMS;DISEASE;PA35056;HLA-B;GENE;
PA446827;HEMATOLOGIC NEOPLASMS;DISEASE;PA35057;HLA-C;GENE;
PA446827;HEMATOLOGIC NEOPLASMS;DISEASE;PA35072;HLA-DRB1;GENE;
PA166163391;STATIN-RELATED MYOPATHY;DISEASE;PA134865839;SLCO1B1;GENE;PD
PA166163391;STATIN-RELATED MYOPATHY;DISEASE;PA390;ABCG2;GENE;PD
PA166163391;STATIN-RELATED MYOPATHY;DISEASE;PA85;CACNA1S;GENE;
PA445503;RECTAL NEOPLASMS;DISEASE;PA134956204;C18ORF56;GENE;
PA445503;RECTAL NEOPLASMS;DISEASE;PA145;DPYD;GENE;
PA445503;RECTAL NEOPLASMS;DISEASE;PA155;ERCC1;GENE;PD
PA445503;RECTAL NEOPLASMS;DISEASE;PA24933;AREG;GENE;PD
PA445503;RECTAL NEOPLASMS;DISEASE;PA27664;EGF;GENE;PD
PA445503;RECTAL NEOPLASMS;DISEASE;PA29028;GSTP1;GENE;PD
PA445503;RECTAL NEOPLASMS;DISEASE;PA359;TYMS;GENE;
PA445503;RECTAL NEOPLASMS;DISEASE;PA369;XRCC1;GENE;PD
PA447322;THERAPY-RELATED ACUTE MYELOID LEUKEMIA (T-ML);DISEASE;PA130;CYP3A4;GENE;
PA445968;TURNER SYNDROME;DISEASE;PA102;CDK4;GENE;
PA166232141;AMPLIFICATION OF SEXUAL BEHAVIOR;DISEASE;PA31945;OPRM1;GENE;PD
PA443672;TRANSIENT ISCHEMIC ATTACK;DISEASE;PA107;CES1;GENE;PD
PA443672;TRANSIENT ISCHEMIC ATTACK;DISEASE;PA124;CYP2C19;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA111;CHRM2;GENE;
PA445876;TOBACCO USE DISORDER;DISEASE;PA113;CHRNA3;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA115;CHRNB2;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA117;COMT;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA121;CYP2A6;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA123;CYP2B6;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA124;CYP2C19;GENE;
PA445876;TOBACCO USE DISORDER;DISEASE;PA126;CYP2C9;GENE;
PA445876;TOBACCO USE DISORDER;DISEASE;PA134872551;ANKK1;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA134968284;ADGRL3;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA140;DDC;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA147;DRD1;GENE;
PA445876;TOBACCO USE DISORDER;DISEASE;PA165478483;HYKK;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA166;FMO3;GENE;
PA445876;TOBACCO USE DISORDER;DISEASE;PA26490;CHRNA4;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA26491;CHRNA5;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA26496;CHRNB4;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA27093;CYP1A2;GENE;
PA445876;TOBACCO USE DISORDER;DISEASE;PA27101;CYP2A13;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA27478;DRD2;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA27810;EPB41;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA28545;GALR1;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA28983;GRIN3A;GENE;
PA445876;TOBACCO USE DISORDER;DISEASE;PA29286;HINT1;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA29556;HTR3B;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA311;SLC6A3;GENE;
PA445876;TOBACCO USE DISORDER;DISEASE;PA312;SLC6A4;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA31945;OPRM1;GENE;PD
PA445876;TOBACCO USE DISORDER;DISEASE;PA33878;PSMA4;GENE;
PA445876;TOBACCO USE DISORDER;DISEASE;PA37186;UGT2B10;GENE;
PA445876;TOBACCO USE DISORDER;DISEASE;PA425;ACE2;GENE;
PA166048926;LEAD POISONING, NERVOUS SYSTEM, CHILDHOOD;DISEASE;PA28469;G6PD;GENE;PD
PA444329;GRAVES DISEASE;DISEASE;PA35056;HLA-B;GENE;PD
PA444329;GRAVES DISEASE;DISEASE;PA35066;HLA-DQA1;GENE;PD
PA444329;GRAVES DISEASE;DISEASE;PA35068;HLA-DQB1;GENE;PD
PA444329;GRAVES DISEASE;DISEASE;PA35072;HLA-DRB1;GENE;PD
PA165108952;LI-FRAUMENI SYNDROME;DISEASE;PA36679;TP53;GENE;
PA445113;NEUTROPENIA;DISEASE;PA118;SLC31A1;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA125;CYP2C8;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA131;CYP3A5;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA134871907;TMEM43;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA134897613;ENOSF1;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA134944221;PERP;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA134952132;GNL3;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA134956204;C18ORF56;GENE;
PA445113;NEUTROPENIA;DISEASE;PA134963132;NUDT15;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA145;DPYD;GENE;
PA445113;NEUTROPENIA;DISEASE;PA152208656;FTO;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA164726680;TP53AIP1;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA182;GSTM1;GENE;
PA445113;NEUTROPENIA;DISEASE;PA183;GSTT1;GENE;
PA445113;NEUTROPENIA;DISEASE;PA202;INSR;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA203;IRS1;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA244;ABCC1;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA245;MTHFR;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA252;NOS1;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA26122;CBR3;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA26161;CCNK;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA267;ABCB1;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA28181;FLT3;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA28237;FOXO1;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA29028;GSTP1;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA29340;HMMR;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA29973;ITPA;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA30737;MEG3;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA33290;PIGB;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA33313;PIK3R2;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA33676;PPP2R5D;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA34299;RBX1;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA34890;RXRA;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA354;TOP2A;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA356;TPMT;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA359;TYMS;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA36679;TP53;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA37182;UGT1A7;GENE;
PA445113;NEUTROPENIA;DISEASE;PA37413;XPC;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA387;SLC28A1;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA391;NR1I3;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA397;ABCC4;GENE;
PA445113;NEUTROPENIA;DISEASE;PA420;UGT1A1;GENE;PD
PA445113;NEUTROPENIA;DISEASE;PA98;CDA;GENE;PD
PA445030;MYOTONIA;DISEASE;PA35006;SCN4A;GENE;PD
PA444067;EPILEPSY, IDIOPATHIC GENERALIZED;DISEASE;PA267;ABCB1;GENE;PD
PA445451;PSORIASIS;DISEASE;PA134871999;CDKAL1;GENE;PD
